cutoff_start_datetime,cutoff_end_datetime,buy_date
2016-01-13 17:00:01,2016-01-19 17:00:00,2016-01-21
2016-01-20 17:00:01,2016-01-26 17:00:00,2016-01-28
2016-01-27 17:00:01,2016-02-02 17:00:00,2016-02-04
2016-02-03 17:00:01,2016-02-09 17:00:00,2016-02-11
2016-02-10 17:00:01,2016-02-16 17:00:00,2016-02-18
2016-02-17 17:00:01,2016-02-23 17:00:00,2016-02-25
2016-02-24 17:00:01,2016-03-02 17:00:00,2016-03-04
2016-03-03 17:00:01,2016-03-09 17:00:00,2016-03-11
2016-03-10 17:00:01,2016-03-16 17:00:00,2016-03-18
2016-03-17 17:00:01,2016-03-23 17:00:00,2016-03-25
2016-03-24 17:00:01,2016-03-30 17:00:00,2016-04-01
2016-03-31 17:00:01,2016-04-06 17:00:00,2016-04-08
2016-04-07 17:00:01,2016-04-13 17:00:00,2016-04-15
2016-04-14 17:00:01,2016-04-20 17:00:00,2016-04-22
2016-04-21 17:00:01,2016-04-27 17:00:00,2016-04-29
2016-04-28 17:00:01,2016-05-04 17:00:00,2016-05-06
2016-05-05 17:00:01,2016-05-11 17:00:00,2016-05-13
2016-05-12 17:00:01,2016-05-18 17:00:00,2016-05-20
2016-05-19 17:00:01,2016-05-25 17:00:00,2016-05-27
2016-05-26 17:00:01,2016-06-01 17:00:00,2016-06-03
2016-06-02 17:00:01,2016-06-08 17:00:00,2016-06-10
2016-06-09 17:00:01,2016-06-15 17:00:00,2016-06-17
2016-06-16 17:00:01,2016-06-22 17:00:00,2016-06-24
2016-06-23 17:00:01,2016-06-29 17:00:00,2016-07-01
2016-06-30 17:00:01,2016-07-06 17:00:00,2016-07-08
2016-07-07 17:00:01,2016-07-13 17:00:00,2016-07-15
2016-07-14 17:00:01,2016-07-20 17:00:00,2016-07-22
2016-07-21 17:00:01,2016-07-27 17:00:00,2016-07-29
2016-07-28 17:00:01,2016-08-03 17:00:00,2016-08-05
2016-08-04 17:00:01,2016-08-10 17:00:00,2016-08-12
2016-08-11 17:00:01,2016-08-17 17:00:00,2016-08-19
2016-08-18 17:00:01,2016-08-24 17:00:00,2016-08-26
2016-08-25 17:00:01,2016-08-31 17:00:00,2016-09-02
2016-09-01 17:00:01,2016-09-07 17:00:00,2016-09-09
2016-09-08 17:00:01,2016-09-14 17:00:00,2016-09-16
2016-09-15 17:00:01,2016-09-21 17:00:00,2016-09-23
2016-09-22 17:00:01,2016-09-28 17:00:00,2016-09-30
2016-09-29 17:00:01,2016-10-05 17:00:00,2016-10-07
2016-10-06 17:00:01,2016-10-12 17:00:00,2016-10-14
2016-10-13 17:00:01,2016-10-19 17:00:00,2016-10-21
2016-10-20 17:00:01,2016-10-26 17:00:00,2016-10-28
2016-10-27 17:00:01,2016-11-02 17:00:00,2016-11-04
2016-11-03 17:00:01,2016-11-09 17:00:00,2016-11-11
2016-11-10 17:00:01,2016-11-16 17:00:00,2016-11-18
2016-11-17 17:00:01,2016-11-23 17:00:00,2016-11-25
2016-11-24 17:00:01,2016-11-30 17:00:00,2016-12-02
2016-12-01 17:00:01,2016-12-07 17:00:00,2016-12-09
2016-12-08 17:00:01,2016-12-14 17:00:00,2016-12-16
2016-12-15 17:00:01,2016-12-21 17:00:00,2016-12-23
2016-12-23 17:00:01,2016-12-28 17:00:00,2016-12-30
