Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
RDEADB1,0,0,18,18,LSTST,25000,1000000,0.22
RDEADB1,0,0,19,19,LSTST,25000,1000000,0.23
RDEADB1,0,0,20,20,LSTST,25000,1000000,0.23
RDEADB1,0,0,21,21,LSTST,25000,1000000,0.24
RDEADB1,0,0,22,22,LSTST,25000,1000000,0.25
RDEADB1,0,0,23,23,LSTST,25000,1000000,0.27
RDEADB1,0,0,24,24,LSTST,25000,1000000,0.28
RDEADB1,0,0,25,25,LSTST,25000,1000000,0.29
RDEADB1,0,0,26,26,LSTST,25000,1000000,0.3
RDEADB1,0,0,27,27,LSTST,25000,1000000,0.31
RDEADB1,0,0,28,28,LSTST,25000,1000000,0.33
RDEADB1,0,0,29,29,LSTST,25000,1000000,0.34
RDEADB1,0,0,30,30,LSTST,25000,1000000,0.35
RDEADB1,0,0,31,31,LSTST,25000,1000000,0.38
RDEADB1,0,0,32,32,LSTST,25000,1000000,0.4
RDEADB1,0,0,33,33,LSTST,25000,1000000,0.43
RDEADB1,0,0,34,34,LSTST,25000,1000000,0.46
RDEADB1,0,0,35,35,LSTST,25000,1000000,0.49
RDEADB1,0,0,36,36,LSTST,25000,1000000,0.51
RDEADB1,0,0,37,37,LSTST,25000,1000000,0.54
RDEADB1,0,0,38,38,LSTST,25000,1000000,0.57
RDEADB1,0,0,39,39,LSTST,25000,1000000,0.59
RDEADB1,0,0,40,40,LSTST,25000,1000000,0.62
RDEADB1,1,0,18,18,LSTST,25000,1000000,0.2
RDEADB1,1,0,19,19,LSTST,25000,1000000,0.2
RDEADB1,1,0,20,20,LSTST,25000,1000000,0.2
RDEADB1,1,0,21,21,LSTST,25000,1000000,0.21
RDEADB1,1,0,22,22,LSTST,25000,1000000,0.22
RDEADB1,1,0,23,23,LSTST,25000,1000000,0.23
RDEADB1,1,0,24,24,LSTST,25000,1000000,0.24
RDEADB1,1,0,25,25,LSTST,25000,1000000,0.26
RDEADB1,1,0,26,26,LSTST,25000,1000000,0.27
RDEADB1,1,0,27,27,LSTST,25000,1000000,0.28
RDEADB1,1,0,28,28,LSTST,25000,1000000,0.29
RDEADB1,1,0,29,29,LSTST,25000,1000000,0.3
RDEADB1,1,0,30,30,LSTST,25000,1000000,0.31
RDEADB1,1,0,31,31,LSTST,25000,1000000,0.34
RDEADB1,1,0,32,32,LSTST,25000,1000000,0.36
RDEADB1,1,0,33,33,LSTST,25000,1000000,0.39
RDEADB1,1,0,34,34,LSTST,25000,1000000,0.41
RDEADB1,1,0,35,35,LSTST,25000,1000000,0.44
RDEADB1,1,0,36,36,LSTST,25000,1000000,0.46
RDEADB1,1,0,37,37,LSTST,25000,1000000,0.49
RDEADB1,1,0,38,38,LSTST,25000,1000000,0.51
RDEADB1,1,0,39,39,LSTST,25000,1000000,0.54
RDEADB1,1,0,40,40,LSTST,25000,1000000,0.56
RDEADB1,0,1,18,18,LSTST,25000,1000000,0.22
RDEADB1,0,1,19,19,LSTST,25000,1000000,0.23
RDEADB1,0,1,20,20,LSTST,25000,1000000,0.23
RDEADB1,0,1,21,21,LSTST,25000,1000000,0.24
RDEADB1,0,1,22,22,LSTST,25000,1000000,0.25
RDEADB1,0,1,23,23,LSTST,25000,1000000,0.27
RDEADB1,0,1,24,24,LSTST,25000,1000000,0.28
RDEADB1,0,1,25,25,LSTST,25000,1000000,0.29
RDEADB1,0,1,26,26,LSTST,25000,1000000,0.3
