Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
LSTTERM10,0,0,18,18,LSTST,25000,99000,2.55
LSTTERM10,0,0,19,19,LSTST,25000,99000,2.56
LSTTERM10,0,0,20,20,LSTST,25000,99000,2.57
LSTTERM10,0,0,21,21,LSTST,25000,99000,2.58
LSTTERM10,0,0,22,22,LSTST,25000,99000,2.6
LSTTERM10,0,0,23,23,LSTST,25000,99000,2.61
LSTTERM10,0,0,24,24,LSTST,25000,99000,2.62
LSTTERM10,0,0,25,25,LSTST,25000,99000,2.64
LSTTERM10,0,0,26,26,LSTST,25000,99000,2.65
LSTTERM10,0,0,27,27,LSTST,25000,99000,2.66
LSTTERM10,0,0,28,28,LSTST,25000,99000,2.67
LSTTERM10,0,0,29,29,LSTST,25000,99000,2.69
LSTTERM10,0,0,30,30,LSTST,25000,99000,2.7
LSTTERM10,0,0,31,31,LSTST,25000,99000,2.75
LSTTERM10,0,0,32,32,LSTST,25000,99000,2.8
LSTTERM10,0,0,33,33,LSTST,25000,99000,2.85
LSTTERM10,0,0,34,34,LSTST,25000,99000,2.9
LSTTERM10,0,0,35,35,LSTST,25000,99000,2.95
LSTTERM10,0,0,36,36,LSTST,25000,99000,2.99
LSTTERM10,0,0,37,37,LSTST,25000,99000,3.04
LSTTERM10,0,0,38,38,LSTST,25000,99000,3.09
LSTTERM10,0,0,39,39,LSTST,25000,99000,3.14
LSTTERM10,0,0,40,40,LSTST,25000,99000,3.19
LSTTERM10,0,0,41,41,LSTST,25000,99000,3.34
LSTTERM10,0,0,42,42,LSTST,25000,99000,3.49
LSTTERM10,0,0,43,43,LSTST,25000,99000,3.65
LSTTERM10,0,0,44,44,LSTST,25000,99000,3.8
LSTTERM10,0,0,45,45,LSTST,25000,99000,3.95
LSTTERM10,0,0,46,46,LSTST,25000,99000,4.1
LSTTERM10,0,0,47,47,LSTST,25000,99000,4.25
LSTTERM10,0,0,48,48,LSTST,25000,99000,4.41
LSTTERM10,0,0,49,49,LSTST,25000,99000,4.56
LSTTERM10,0,0,50,50,LSTST,25000,99000,4.71
LSTTERM10,0,0,51,51,LSTST,25000,99000,5.1
LSTTERM10,0,0,52,52,LSTST,25000,99000,5.49
LSTTERM10,0,0,53,53,LSTST,25000,99000,5.88
LSTTERM10,0,0,54,54,LSTST,25000,99000,6.27
LSTTERM10,0,0,55,55,LSTST,25000,99000,6.66
LSTTERM10,0,0,56,56,LSTST,25000,99000,7.05
LSTTERM10,0,0,57,57,LSTST,25000,99000,7.44
LSTTERM10,0,0,58,58,LSTST,25000,99000,7.83
LSTTERM10,0,0,59,59,LSTST,25000,99000,8.22
LSTTERM10,0,0,60,60,LSTST,25000,99000,8.61
LSTTERM10,0,0,61,61,LSTST,25000,99000,9.59
LSTTERM10,0,0,62,62,LSTST,25000,99000,10.57
LSTTERM10,0,0,63,63,LSTST,25000,99000,11.56
LSTTERM10,0,0,64,64,LSTST,25000,99000,12.54
LSTTERM10,0,0,65,65,LSTST,25000,99000,13.52
LSTTERM10,0,0,66,66,LSTST,25000,99000,14.5
LSTTERM10,0,0,67,67,LSTST,25000,99000,15.48
LSTTERM10,0,0,68,68,LSTST,25000,99000,16.47
LSTTERM10,0,0,69,69,LSTST,25000,99000,17.45
LSTTERM10,0,0,70,70,LSTST,25000,99000,18.43
LSTTERM10,0,1,18,18,LSTST,25000,99000,3.68
LSTTERM10,0,1,19,19,LSTST,25000,99000,3.73
LSTTERM10,0,1,20,20,LSTST,25000,99000,3.78
LSTTERM10,0,1,21,21,LSTST,25000,99000,3.83
LSTTERM10,0,1,22,22,LSTST,25000,99000,3.89
LSTTERM10,0,1,23,23,LSTST,25000,99000,3.94
LSTTERM10,0,1,24,24,LSTST,25000,99000,3.99
LSTTERM10,0,1,25,25,LSTST,25000,99000,4.05
LSTTERM10,0,1,26,26,LSTST,25000,99000,4.1
LSTTERM10,0,1,27,27,LSTST,25000,99000,4.15
LSTTERM10,0,1,28,28,LSTST,25000,99000,4.2
