Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
LSTCTR1,,,20,60,PF,5000,25000,8
LSTADB1,,,20,65,PF,25000,250000,1
LSTCTR1,,,20,60,ST,5000,25000,8
LSTADB1,,,20,65,ST,25000,250000,1
LSTCTR1,,,20,60,RB,5000,25000,8
LSTADB1,,,20,65,RB,25000,250000,1
LSTCTR1,,,20,60,RD,5000,25000,8
LSTADB1,,,20,65,RD,25000,250000,1
LSTTERM10,1,0,18,35,PF,25000,99999,0.62
LSTTERM10,1,0,36,36,PF,25000,99999,0.66
LSTTERM10,1,0,37,37,PF,25000,99999,0.7
LSTTERM10,1,0,38,38,PF,25000,99999,0.74
LSTTERM10,1,0,39,39,PF,25000,99999,0.79
LSTTERM10,1,0,40,40,PF,25000,99999,0.87
LSTTERM10,1,0,41,41,PF,25000,99999,0.93
LSTTERM10,1,0,42,42,PF,25000,99999,0.98
LSTTERM10,1,0,43,43,PF,25000,99999,1.04
LSTTERM10,1,0,44,44,PF,25000,99999,1.13
LSTTERM10,1,0,45,45,PF,25000,99999,1.22
LSTTERM10,1,0,46,46,PF,25000,99999,1.38
LSTTERM10,1,0,47,47,PF,25000,99999,1.55
LSTTERM10,1,0,48,48,PF,25000,99999,1.7
LSTTERM10,1,0,49,49,PF,25000,99999,1.85
LSTTERM10,1,0,50,50,PF,25000,99999,2.04
LSTTERM10,1,0,51,51,PF,25000,99999,2.2
LSTTERM10,1,0,52,52,PF,25000,99999,2.41
LSTTERM10,1,0,53,53,PF,25000,99999,2.74
LSTTERM10,1,0,54,54,PF,25000,99999,3.09
LSTTERM10,1,0,55,55,PF,25000,99999,3.51
LSTTERM10,1,0,56,56,PF,25000,99999,4.02
LSTTERM10,1,0,57,57,PF,25000,99999,4.59
LSTTERM10,1,0,58,58,PF,25000,99999,5.2
LSTTERM10,1,0,59,59,PF,25000,99999,5.9
LSTTERM10,1,0,60,60,PF,25000,99999,6.67
LSTTERM10,1,0,61,61,PF,25000,99999,7.41
LSTTERM10,1,0,62,62,PF,25000,99999,8.22
LSTTERM10,1,0,63,63,PF,25000,99999,9.11
LSTTERM10,1,0,64,64,PF,25000,99999,10.08
LSTTERM10,1,0,65,65,PF,25000,99999,11.13
LSTTERM10,1,0,18,35,ST,25000,99999,1.34
LSTTERM10,1,0,36,36,ST,25000,99999,1.4
LSTTERM10,1,0,37,37,ST,25000,99999,1.49
LSTTERM10,1,0,38,38,ST,25000,99999,1.54
LSTTERM10,1,0,39,39,ST,25000,99999,1.6
LSTTERM10,1,0,40,40,ST,25000,99999,1.71
LSTTERM10,1,0,41,41,ST,25000,99999,1.8
LSTTERM10,1,0,42,42,ST,25000,99999,1.87
LSTTERM10,1,0,43,43,ST,25000,99999,1.98
LSTTERM10,1,0,44,44,ST,25000,99999,2.09
LSTTERM10,1,0,45,45,ST,25000,99999,2.23
LSTTERM10,1,0,46,46,ST,25000,99999,2.41
LSTTERM10,1,0,47,47,ST,25000,99999,2.6
LSTTERM10,1,0,48,48,ST,25000,99999,2.77
LSTTERM10,1,0,49,49,ST,25000,99999,2.95
LSTTERM10,1,0,50,50,ST,25000,99999,3.19
LSTTERM10,1,0,51,51,ST,25000,99999,3.55
LSTTERM10,1,0,52,52,ST,25000,99999,3.96
LSTTERM10,1,0,53,53,ST,25000,99999,4.44
LSTTERM10,1,0,54,54,ST,25000,99999,4.97
LSTTERM10,1,0,55,55,ST,25000,99999,5.59
LSTTERM10,1,0,56,56,ST,25000,99999,6.18
LSTTERM10,1,0,57,57,ST,25000,99999,6.86
LSTTERM10,1,0,58,58,ST,25000,99999,7.59
LSTTERM10,1,0,59,59,ST,25000,99999,8.41
LSTTERM10,1,0,60,60,ST,25000,99999,9.33
LSTTERM10,1,0,61,61,ST,25000,99999,10.53
LSTTERM10,1,0,62,62,ST,25000,99999,11.85
LSTTERM10,1,0,63,63,ST,25000,99999,13.29
LSTTERM10,1,0,64,64,ST,25000,99999,14.87
LSTTERM10,1,0,65,65,ST,25000,99999,16.6
LSTTERM10,1,1,18,33,ST,25000,99999,2.64
LSTTERM10,1,1,34,34,ST,25000,99999,2.65
LSTTERM10,1,1,35,35,ST,25000,99999,2.76
LSTTERM10,1,1,36,36,ST,25000,99999,2.87
