Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
LSTTERM30,1,0,18,18,LSTPP,301000,499000,1.02
LSTTERM30,1,0,19,19,LSTPP,301000,499000,1.03
LSTTERM30,1,0,20,20,LSTPP,301000,499000,1.04
LSTTERM30,1,0,21,21,LSTPP,301000,499000,1.06
LSTTERM30,1,0,22,22,LSTPP,301000,499000,1.07
LSTTERM30,1,0,23,23,LSTPP,301000,499000,1.09
LSTTERM30,1,0,24,24,LSTPP,301000,499000,1.1
LSTTERM30,1,0,25,25,LSTPP,301000,499000,1.12
LSTTERM30,1,0,26,26,LSTPP,301000,499000,1.13
LSTTERM30,1,0,27,27,LSTPP,301000,499000,1.15
LSTTERM30,1,0,28,28,LSTPP,301000,499000,1.16
LSTTERM30,1,0,29,29,LSTPP,301000,499000,1.18
LSTTERM30,1,0,30,30,LSTPP,301000,499000,1.19
LSTTERM30,1,0,31,31,LSTPP,301000,499000,1.29
LSTTERM30,1,0,32,32,LSTPP,301000,499000,1.39
LSTTERM30,1,0,33,33,LSTPP,301000,499000,1.5
LSTTERM30,1,0,34,34,LSTPP,301000,499000,1.6
LSTTERM30,1,0,35,35,LSTPP,301000,499000,1.7
LSTTERM30,1,0,36,36,LSTPP,301000,499000,1.8
LSTTERM30,1,0,37,37,LSTPP,301000,499000,1.9
LSTTERM30,1,0,38,38,LSTPP,301000,499000,2.01
LSTTERM30,1,0,39,39,LSTPP,301000,499000,2.11
LSTTERM30,1,0,40,40,LSTPP,301000,499000,2.21
LSTTERM30,1,0,41,41,LSTPP,301000,499000,2.52
LSTTERM30,1,0,42,42,LSTPP,301000,499000,2.84
LSTTERM30,1,0,43,43,LSTPP,301000,499000,3.15
LSTTERM30,1,0,44,44,LSTPP,301000,499000,3.47
LSTTERM30,1,0,45,45,LSTPP,301000,499000,3.78
LSTTERM30,1,0,46,46,LSTPP,301000,499000,4.09
LSTTERM30,1,0,47,47,LSTPP,301000,499000,4.41
LSTTERM30,1,0,48,48,LSTPP,301000,499000,4.72
LSTTERM30,1,0,49,49,LSTPP,301000,499000,5.04
LSTTERM30,1,0,50,50,LSTPP,301000,499000,5.35
LSTTERM30,1,0,18,18,LSTPF,301000,499000,1.15
LSTTERM30,1,0,19,19,LSTPF,301000,499000,1.18
LSTTERM30,1,0,20,20,LSTPF,301000,499000,1.2
