Option cd,Gender,tobacco use,min age,max age,class,min level,max level, rate 
LSTTERM10,1,0,60,60,LSTPF,100000,249999, 10.82 
LSTTERM10,1,0,61,61,LSTPF,100000,249999, 12.02 
LSTTERM10,1,0,62,62,LSTPF,100000,249999, 13.32 
LSTTERM10,1,0,63,63,LSTPF,100000,249999, 14.77 
LSTTERM10,1,0,64,64,LSTPF,100000,249999, 16.35 
LSTTERM10,1,0,65,65,LSTPF,100000,249999, 18.05 
LSTTERM10,1,0,60,60,LSTST,100000,249999, 15.12 
LSTTERM10,1,0,61,61,LSTST,100000,249999, 17.07 
LSTTERM10,1,0,62,62,LSTST,100000,249999, 19.20 
LSTTERM10,1,0,63,63,LSTST,100000,249999, 21.55 
LSTTERM10,1,0,64,64,LSTST,100000,249999, 24.10 
LSTTERM10,1,0,65,65,LSTST,100000,249999, 26.90 
LSTTERM10,1,1,60,60,LSTST,100000,249999, 36.32 
LSTTERM10,1,1,61,61,LSTST,100000,249999, 40.02 
LSTTERM10,1,1,62,62,LSTST,100000,249999, 43.95 
LSTTERM10,1,1,63,63,LSTST,100000,249999, 48.15 
LSTTERM10,1,1,64,64,LSTST,100000,249999, 52.57 
LSTTERM10,1,1,65,65,LSTST,100000,249999, 57.22 
LSTTERM10,0,0,60,60,LSTPF,100000,249999, 6.65 
LSTTERM10,0,0,61,61,LSTPF,100000,249999, 7.35 
LSTTERM10,0,0,62,62,LSTPF,100000,249999, 8.15 
LSTTERM10,0,0,63,63,LSTPF,100000,249999, 9.00 
LSTTERM10,0,0,64,64,LSTPF,100000,249999, 9.95 
LSTTERM10,0,0,65,65,LSTPF,100000,249999, 11.00 
LSTTERM10,0,0,60,60,LSTST,100000,249999, 10.45 
LSTTERM10,0,0,61,61,LSTST,100000,249999, 12.12 
LSTTERM10,0,0,62,62,LSTST,100000,249999, 13.97 
LSTTERM10,0,0,63,63,LSTST,100000,249999, 16.00 
LSTTERM10,0,0,64,64,LSTST,100000,249999, 18.22 
LSTTERM10,0,0,65,65,LSTST,100000,249999, 20.70 
LSTTERM10,0,1,60,60,LSTST,100000,249999, 29.50 
LSTTERM10,0,1,61,61,LSTST,100000,249999, 31.92 
LSTTERM10,0,1,62,62,LSTST,100000,249999, 34.57 
LSTTERM10,0,1,63,63,LSTST,100000,249999, 37.45 
LSTTERM10,0,1,64,64,LSTST,100000,249999, 40.57 
LSTTERM10,0,1,65,65,LSTST,100000,249999, 44.02 
LSTTERM15,1,0,60,60,LSTPF,100000,249999, 14.27 
LSTTERM15,1,0,61,61,LSTPF,100000,249999, 16.52 
LSTTERM15,1,0,62,62,LSTPF,100000,249999, 18.97 
LSTTERM15,1,0,63,63,LSTPF,100000,249999, 21.67 
LSTTERM15,1,0,64,64,LSTPF,100000,249999, 24.60 
LSTTERM15,1,0,65,65,LSTPF,100000,249999, 27.80 
LSTTERM15,1,0,60,60,LSTST,100000,249999, 20.85 
LSTTERM15,1,0,61,61,LSTST,100000,249999, 24.37 
LSTTERM15,1,0,62,62,LSTST,100000,249999, 28.25 
LSTTERM15,1,0,63,63,LSTST,100000,249999, 32.45 
LSTTERM15,1,0,64,64,LSTST,100000,249999, 37.02 
LSTTERM15,1,0,65,65,LSTST,100000,249999, 42.07 
LSTTERM15,1,1,60,60,LSTST,100000,249999, 49.50 
LSTTERM15,1,1,61,61,LSTST,100000,249999, 55.40 
LSTTERM15,1,1,62,62,LSTST,100000,249999, 61.72 
LSTTERM15,1,1,63,63,LSTST,100000,249999, 68.45 
LSTTERM15,1,1,64,64,LSTST,100000,249999, 75.60 
LSTTERM15,1,1,65,65,LSTST,100000,249999, 83.27 
LSTTERM15,0,0,60,60,LSTPF,100000,249999, 10.52 
LSTTERM15,0,0,61,61,LSTPF,100000,249999, 11.55 
LSTTERM15,0,0,62,62,LSTPF,100000,249999, 12.67 
LSTTERM15,0,0,63,63,LSTPF,100000,249999, 13.90 
LSTTERM15,0,0,64,64,LSTPF,100000,249999, 15.27 
LSTTERM15,0,0,65,65,LSTPF,100000,249999, 16.75 
LSTTERM15,0,0,60,60,LSTST,100000,249999, 15.70 
LSTTERM15,0,0,61,61,LSTST,100000,249999, 17.72 
LSTTERM15,0,0,62,62,LSTST,100000,249999, 19.95 
LSTTERM15,0,0,63,63,LSTST,100000,249999, 22.37 
LSTTERM15,0,0,64,64,LSTST,100000,249999, 25.02 
LSTTERM15,0,0,65,65,LSTST,100000,249999, 27.95 
LSTTERM15,0,1,60,60,LSTST,100000,249999, 37.07 
LSTTERM15,0,1,61,61,LSTST,100000,249999, 40.87 
LSTTERM15,0,1,62,62,LSTST,100000,249999, 44.97 
LSTTERM15,0,1,63,63,LSTST,100000,249999, 49.35 
LSTTERM15,0,1,64,64,LSTST,100000,249999, 54.10 
LSTTERM15,0,1,65,65,LSTST,100000,249999, 59.20 
LSTTERM20,1,0,60,60,LSTPF,100000,249999, 19.62 
LSTTERM20,1,0,60,60,LSTST,100000,249999, 28.87 
LSTTERM20,1,1,60,60,LSTST,100000,249999, 59.87 
LSTTERM20,0,0,60,60,LSTPF,100000,249999, 12.77 
LSTTERM20,0,0,60,60,LSTST,100000,249999, 24.77 
LSTTERM20,0,1,60,60,LSTST,100000,249999, 45.35 
