Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
LSTWP,0,0,18,18,LSTST,25000,1000000,0.22
LSTWP,0,0,19,19,LSTST,25000,1000000,0.23
LSTWP,0,0,20,20,LSTST,25000,1000000,0.23
LSTWP,0,0,21,21,LSTST,25000,1000000,0.24
LSTWP,0,0,22,22,LSTST,25000,1000000,0.25
LSTWP,0,0,23,23,LSTST,25000,1000000,0.27
LSTWP,0,0,24,24,LSTST,25000,1000000,0.28
LSTWP,0,0,25,25,LSTST,25000,1000000,0.29
LSTWP,0,0,26,26,LSTST,25000,1000000,0.3
LSTWP,0,0,27,27,LSTST,25000,1000000,0.31
LSTWP,0,0,28,28,LSTST,25000,1000000,0.33
LSTWP,0,0,29,29,LSTST,25000,1000000,0.34
LSTWP,0,0,30,30,LSTST,25000,1000000,0.35
LSTWP,0,0,31,31,LSTST,25000,1000000,0.38
LSTWP,0,0,32,32,LSTST,25000,1000000,0.4
LSTWP,0,0,33,33,LSTST,25000,1000000,0.43
LSTWP,0,0,34,34,LSTST,25000,1000000,0.46
LSTWP,0,0,35,35,LSTST,25000,1000000,0.49
LSTWP,0,0,36,36,LSTST,25000,1000000,0.51
LSTWP,0,0,37,37,LSTST,25000,1000000,0.54
LSTWP,0,0,38,38,LSTST,25000,1000000,0.57
LSTWP,0,0,39,39,LSTST,25000,1000000,0.59
LSTWP,0,0,40,40,LSTST,25000,1000000,0.62
LSTWP,1,0,18,18,LSTST,25000,1000000,0.2
LSTWP,1,0,19,19,LSTST,25000,1000000,0.2
LSTWP,1,0,20,20,LSTST,25000,1000000,0.2
LSTWP,1,0,21,21,LSTST,25000,1000000,0.21
LSTWP,1,0,22,22,LSTST,25000,1000000,0.22
LSTWP,1,0,23,23,LSTST,25000,1000000,0.23
LSTWP,1,0,24,24,LSTST,25000,1000000,0.24
LSTWP,1,0,25,25,LSTST,25000,1000000,0.26
LSTWP,1,0,26,26,LSTST,25000,1000000,0.27
LSTWP,1,0,27,27,LSTST,25000,1000000,0.28
LSTWP,1,0,28,28,LSTST,25000,1000000,0.29
LSTWP,1,0,29,29,LSTST,25000,1000000,0.3
LSTWP,1,0,30,30,LSTST,25000,1000000,0.31
LSTWP,1,0,31,31,LSTST,25000,1000000,0.34
LSTWP,1,0,32,32,LSTST,25000,1000000,0.36
LSTWP,1,0,33,33,LSTST,25000,1000000,0.39
LSTWP,1,0,34,34,LSTST,25000,1000000,0.41
LSTWP,1,0,35,35,LSTST,25000,1000000,0.44
LSTWP,1,0,36,36,LSTST,25000,1000000,0.46
LSTWP,1,0,37,37,LSTST,25000,1000000,0.49
LSTWP,1,0,38,38,LSTST,25000,1000000,0.51
LSTWP,1,0,39,39,LSTST,25000,1000000,0.54
LSTWP,1,0,40,40,LSTST,25000,1000000,0.56
LSTWP,0,1,18,18,LSTST,25000,1000000,0.22
LSTWP,0,1,19,19,LSTST,25000,1000000,0.23
LSTWP,0,1,20,20,LSTST,25000,1000000,0.23
LSTWP,0,1,21,21,LSTST,25000,1000000,0.24
LSTWP,0,1,22,22,LSTST,25000,1000000,0.25
LSTWP,0,1,23,23,LSTST,25000,1000000,0.27
LSTWP,0,1,24,24,LSTST,25000,1000000,0.28
LSTWP,0,1,25,25,LSTST,25000,1000000,0.29
LSTWP,0,1,26,26,LSTST,25000,1000000,0.3
LSTWP,0,1,27,27,LSTST,25000,1000000,0.31
LSTWP,0,1,28,28,LSTST,25000,1000000,0.33
LSTWP,0,1,29,29,LSTST,25000,1000000,0.34
LSTWP,0,1,30,30,LSTST,25000,1000000,0.35
LSTWP,0,1,31,31,LSTST,25000,1000000,0.38
LSTWP,0,1,32,32,LSTST,25000,1000000,0.4
LSTWP,0,1,33,33,LSTST,25000,1000000,0.43
LSTWP,0,1,34,34,LSTST,25000,1000000,0.46
LSTWP,0,1,35,35,LSTST,25000,1000000,0.49
LSTWP,0,1,36,36,LSTST,25000,1000000,0.51
LSTWP,0,1,37,37,LSTST,25000,1000000,0.54
LSTWP,0,1,38,38,LSTST,25000,1000000,0.57
LSTWP,0,1,39,39,LSTST,25000,1000000,0.59
LSTWP,0,1,40,40,LSTST,25000,1000000,0.62
LSTWP,1,1,18,18,LSTST,25000,1000000,0.2
LSTWP,1,1,19,19,LSTST,25000,1000000,0.2
LSTWP,1,1,20,20,LSTST,25000,1000000,0.2
LSTWP,1,1,21,21,LSTST,25000,1000000,0.21
LSTWP,1,1,22,22,LSTST,25000,1000000,0.22
LSTWP,1,1,23,23,LSTST,25000,1000000,0.23
LSTWP,1,1,24,24,LSTST,25000,1000000,0.24
LSTWP,1,1,25,25,LSTST,25000,1000000,0.26
LSTWP,1,1,26,26,LSTST,25000,1000000,0.27
LSTWP,1,1,27,27,LSTST,25000,1000000,0.28
LSTWP,1,1,28,28,LSTST,25000,1000000,0.29
LSTWP,1,1,29,29,LSTST,25000,1000000,0.3
LSTWP,1,1,30,30,LSTST,25000,1000000,0.31
LSTWP,1,1,31,31,LSTST,25000,1000000,0.34
LSTWP,1,1,32,32,LSTST,25000,1000000,0.36
LSTWP,1,1,33,33,LSTST,25000,1000000,0.39
LSTWP,1,1,34,34,LSTST,25000,1000000,0.41
LSTWP,1,1,35,35,LSTST,25000,1000000,0.44
LSTWP,1,1,36,36,LSTST,25000,1000000,0.46
LSTWP,1,1,37,37,LSTST,25000,1000000,0.49
LSTWP,1,1,38,38,LSTST,25000,1000000,0.51
LSTWP,1,1,39,39,LSTST,25000,1000000,0.54
LSTWP,1,1,40,40,LSTST,25000,1000000,0.56
LSTWP,0,0,18,18,LSTSE,25000,1000000,0.26
LSTWP,0,0,19,19,LSTSE,25000,1000000,0.27
LSTWP,0,0,20,20,LSTSE,25000,1000000,0.27
LSTWP,0,0,21,21,LSTSE,25000,1000000,0.29
LSTWP,0,0,22,22,LSTSE,25000,1000000,0.31
LSTWP,0,0,23,23,LSTSE,25000,1000000,0.32
LSTWP,0,0,24,24,LSTSE,25000,1000000,0.34
LSTWP,0,0,25,25,LSTSE,25000,1000000,0.36
LSTWP,0,0,26,26,LSTSE,25000,1000000,0.38
LSTWP,0,0,27,27,LSTSE,25000,1000000,0.4
LSTWP,0,0,28,28,LSTSE,25000,1000000,0.41
LSTWP,0,0,29,29,LSTSE,25000,1000000,0.43
LSTWP,0,0,30,30,LSTSE,25000,1000000,0.45
LSTWP,0,0,31,31,LSTSE,25000,1000000,0.5
LSTWP,0,0,32,32,LSTSE,25000,1000000,0.54
LSTWP,0,0,33,33,LSTSE,25000,1000000,0.59
LSTWP,0,0,34,34,LSTSE,25000,1000000,0.63
LSTWP,0,0,35,35,LSTSE,25000,1000000,0.68
LSTWP,0,0,36,36,LSTSE,25000,1000000,0.73
LSTWP,0,0,37,37,LSTSE,25000,1000000,0.77
LSTWP,0,0,38,38,LSTSE,25000,1000000,0.82
LSTWP,0,0,39,39,LSTSE,25000,1000000,0.86
LSTWP,0,0,40,40,LSTSE,25000,1000000,0.91
LSTWP,1,0,18,18,LSTSE,25000,1000000,0.24
LSTWP,1,0,19,19,LSTSE,25000,1000000,0.25
LSTWP,1,0,20,20,LSTSE,25000,1000000,0.25
LSTWP,1,0,21,21,LSTSE,25000,1000000,0.26
LSTWP,1,0,22,22,LSTSE,25000,1000000,0.28
LSTWP,1,0,23,23,LSTSE,25000,1000000,0.29
LSTWP,1,0,24,24,LSTSE,25000,1000000,0.31
LSTWP,1,0,25,25,LSTSE,25000,1000000,0.32
LSTWP,1,0,26,26,LSTSE,25000,1000000,0.33
LSTWP,1,0,27,27,LSTSE,25000,1000000,0.35
LSTWP,1,0,28,28,LSTSE,25000,1000000,0.36
LSTWP,1,0,29,29,LSTSE,25000,1000000,0.38
LSTWP,1,0,30,30,LSTSE,25000,1000000,0.39
LSTWP,1,0,31,31,LSTSE,25000,1000000,0.43
LSTWP,1,0,32,32,LSTSE,25000,1000000,0.47
LSTWP,1,0,33,33,LSTSE,25000,1000000,0.51
LSTWP,1,0,34,34,LSTSE,25000,1000000,0.55
LSTWP,1,0,35,35,LSTSE,25000,1000000,0.6
LSTWP,1,0,36,36,LSTSE,25000,1000000,0.64
LSTWP,1,0,37,37,LSTSE,25000,1000000,0.68
LSTWP,1,0,38,38,LSTSE,25000,1000000,0.72
LSTWP,1,0,39,39,LSTSE,25000,1000000,0.76
