Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
GIBRALTAR_L_ADB,1,1,18,18,TC,25000,500000,1.75
GIBRALTAR_L_ADB,1,0,37,37,TC,25000,500000,2.95
GIBRALTAR_L_ADB,1,1,19,19,TC,25000,500000,1.82
GIBRALTAR_L_ADB,1,0,31,31,PF,25000,500000,1.63
GIBRALTAR_L_ADB,1,1,21,21,PF,25000,500000,1.36
GIBRALTAR_L_ADB,0,1,35,35,PF,25000,500000,1.96
GIBRALTAR_L_ADB,0,1,28,28,TF,25000,500000,2.45
GIBRALTAR_L_ADB,0,1,32,32,TC,25000,500000,2.5
GIBRALTAR_L_ADB,1,1,35,35,PF,25000,500000,1.96
GIBRALTAR_L_ADB,0,1,33,33,TF,25000,500000,2.86
GIBRALTAR_L_ADB,1,0,24,24,TC,25000,500000,2.05
GIBRALTAR_L_ADB,1,1,24,24,TF,25000,500000,2.26
GIBRALTAR_L_ADB,1,1,31,31,ST,25000,500000,1.86
GIBRALTAR_L_ADB,0,0,31,31,ST,25000,500000,1.86
GIBRALTAR_L_ADB,0,0,38,38,ST,25000,500000,2.4
GIBRALTAR_L_ADB,1,1,35,35,PP,25000,500000,1.68
GIBRALTAR_L_ADB,0,1,31,31,PF,25000,500000,1.63
GIBRALTAR_L_ADB,1,1,20,20,PF,25000,500000,1.32
GIBRALTAR_L_ADB,1,0,39,39,ST,25000,500000,2.4
GIBRALTAR_L_ADB,1,0,20,20,TC,25000,500000,1.88
GIBRALTAR_L_ADB,0,0,39,39,PP,25000,500000,1.8
GIBRALTAR_L_ADB,0,1,23,23,PF,25000,500000,1.4
GIBRALTAR_L_ADB,0,0,32,32,TC,25000,500000,2.5
GIBRALTAR_L_ADB,0,1,32,32,ST,25000,500000,2
GIBRALTAR_L_ADB,0,1,18,18,PP,25000,500000,1.05
GIBRALTAR_L_ADB,0,1,19,19,PP,25000,500000,1.09
GIBRALTAR_L_ADB,1,0,27,27,TC,25000,500000,2.18
GIBRALTAR_L_ADB,1,1,30,30,ST,25000,500000,1.81
GIBRALTAR_L_ADB,1,1,20,20,PP,25000,500000,1.13
GIBRALTAR_L_ADB,1,0,21,21,PF,25000,500000,1.36
GIBRALTAR_L_ADB,0,1,32,32,PP,25000,500000,1.5
GIBRALTAR_L_ADB,0,0,31,31,PF,25000,500000,1.63
