Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
GIBRALTAR_L_TERMDWP,0,0,18,18,ST,25000,1000000,0.22
GIBRALTAR_L_TERMDWP,0,0,19,19,ST,25000,1000000,0.23
GIBRALTAR_L_TERMDWP,0,0,20,20,ST,25000,1000000,0.23
GIBRALTAR_L_TERMDWP,0,0,21,21,ST,25000,1000000,0.24
GIBRALTAR_L_TERMDWP,0,0,22,22,ST,25000,1000000,0.25
GIBRALTAR_L_TERMDWP,0,0,23,23,ST,25000,1000000,0.27
GIBRALTAR_L_TERMDWP,0,0,24,24,ST,25000,1000000,0.28
GIBRALTAR_L_TERMDWP,0,0,25,25,ST,25000,1000000,0.29
GIBRALTAR_L_TERMDWP,0,0,26,26,ST,25000,1000000,0.3
GIBRALTAR_L_TERMDWP,0,0,27,27,ST,25000,1000000,0.31
GIBRALTAR_L_TERMDWP,0,0,28,28,ST,25000,1000000,0.33
GIBRALTAR_L_TERMDWP,0,0,29,29,ST,25000,1000000,0.34
GIBRALTAR_L_TERMDWP,0,0,30,30,ST,25000,1000000,0.35
GIBRALTAR_L_TERMDWP,0,0,31,31,ST,25000,1000000,0.38
GIBRALTAR_L_TERMDWP,0,0,32,32,ST,25000,1000000,0.4
GIBRALTAR_L_TERMDWP,0,0,33,33,ST,25000,1000000,0.43
GIBRALTAR_L_TERMDWP,0,0,34,34,ST,25000,1000000,0.46
GIBRALTAR_L_TERMDWP,0,0,35,35,ST,25000,1000000,0.49
GIBRALTAR_L_TERMDWP,0,0,36,36,ST,25000,1000000,0.51
GIBRALTAR_L_TERMDWP,0,0,37,37,ST,25000,1000000,0.54
GIBRALTAR_L_TERMDWP,0,0,38,38,ST,25000,1000000,0.57
GIBRALTAR_L_TERMDWP,0,0,39,39,ST,25000,1000000,0.59
GIBRALTAR_L_TERMDWP,0,0,40,40,ST,25000,1000000,0.62
GIBRALTAR_L_TERMDWP,0,0,41,41,ST,25000,1000000,0.7
GIBRALTAR_L_TERMDWP,0,0,42,42,ST,25000,1000000,0.78
GIBRALTAR_L_TERMDWP,0,0,43,43,ST,25000,1000000,0.85
GIBRALTAR_L_TERMDWP,0,0,44,44,ST,25000,1000000,0.93
GIBRALTAR_L_TERMDWP,0,0,45,45,ST,25000,1000000,1.01
GIBRALTAR_L_TERMDWP,0,0,46,46,ST,25000,1000000,1.09
