Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
GIBRALTAR_L_TERM10,0,0,29,29,ST,20000,300000,2.74
GIBRALTAR_L_TERM10,0,0,51,51,PF,20000,300000,4.53
GIBRALTAR_L_TERM10,1,0,60,60,ST,20000,300000,11.47
GIBRALTAR_L_TERM10,0,1,22,22,PF,20000,300000,3.46
GIBRALTAR_L_TERM10,1,0,33,33,TC,20000,300000,4.06
GIBRALTAR_L_TERM10,0,1,49,49,ST,20000,300000,9.92
GIBRALTAR_L_TERM10,1,0,49,49,PF,20000,300000,4.88
GIBRALTAR_L_TERM10,0,0,23,23,PF,20000,300000,2.32
GIBRALTAR_L_TERM10,1,1,54,54,ST,20000,300000,18.98
GIBRALTAR_L_TERM10,1,0,44,44,PF,20000,300000,3.94
GIBRALTAR_L_TERM10,1,0,42,42,PP,20000,300000,3.06
GIBRALTAR_L_TERM10,1,0,57,57,PF,20000,300000,8.56
GIBRALTAR_L_TERM10,0,1,21,21,ST,20000,300000,3.89
GIBRALTAR_L_TERM10,0,1,43,43,ST,20000,300000,7.29
GIBRALTAR_L_TERM10,0,0,67,67,PF,20000,300000,13.78
GIBRALTAR_L_TERM10,0,0,61,61,PF,20000,300000,8.52
GIBRALTAR_L_TERM10,0,0,47,47,TC,20000,300000,5.39
GIBRALTAR_L_TERM10,0,1,50,50,PP,20000,300000,7.76
GIBRALTAR_L_TERM10,1,1,48,48,PP,20000,300000,8.83
GIBRALTAR_L_TERM10,1,0,27,27,TC,20000,300000,3.78
GIBRALTAR_L_TERM10,1,1,31,31,TC,20000,300000,6.61
GIBRALTAR_L_TERM10,0,1,59,59,TC,20000,300000,27.23
GIBRALTAR_L_TERM10,1,1,34,34,ST,20000,300000,5.95
GIBRALTAR_L_TERM10,1,0,67,67,PP,20000,300000,15.87
GIBRALTAR_L_TERM10,0,1,49,49,PF,20000,300000,8.68
GIBRALTAR_L_TERM10,1,1,46,46,ST,20000,300000,10.65
GIBRALTAR_L_TERM10,1,1,63,63,PP,20000,300000,27.46
GIBRALTAR_L_TERM10,0,0,35,35,PF,20000,300000,2.63
GIBRALTAR_L_TERM10,0,1,34,34,PP,20000,300000,3.76
GIBRALTAR_L_TERM10,0,0,44,44,PF,20000,300000,3.38
GIBRALTAR_L_TERM10,0,1,69,69,TC,20000,300000,55.84
GIBRALTAR_L_TERM10,0,0,65,65,PP,20000,300000,10.30
GIBRALTAR_L_TERM10,1,1,61,61,PP,20000,300000,23.17
GIBRALTAR_L_TERM10,1,1,70,70,ST,20000,300000,56.60
GIBRALTAR_L_TERM10,0,1,44,44,PF,20000,300000,6.76
GIBRALTAR_L_TERM10,0,0,66,66,TF,20000,300000,20.26
GIBRALTAR_L_TERM10,1,1,45,45,ST,20000,300000,10.07
GIBRALTAR_L_TERM10,1,1,40,40,ST,20000,300000,7.24
GIBRALTAR_L_TERM10,1,0,69,69,TC,20000,300000,29.90
GIBRALTAR_L_TERM10,0,1,45,45,PF,20000,300000,7.15
GIBRALTAR_L_TERM10,1,0,62,62,TF,20000,300000,19.57
GIBRALTAR_L_TERM10,0,0,49,49,TF,20000,300000,6.38
GIBRALTAR_L_TERM10,0,0,41,41,TF,20000,300000,4.66
GIBRALTAR_L_TERM10,1,0,68,68,ST,20000,300000,22.54
GIBRALTAR_L_TERM10,1,0,35,35,TC,20000,300000,4.21
GIBRALTAR_L_TERM10,0,0,66,66,PP,20000,300000,11.05
GIBRALTAR_L_TERM10,0,0,29,29,PP,20000,300000,2.05
GIBRALTAR_L_TERM10,1,1,58,58,PP,20000,300000,18.77
GIBRALTAR_L_TERM10,0,0,55,55,PF,20000,300000,5.92
GIBRALTAR_L_TERM10,0,0,24,24,ST,20000,300000,2.67
GIBRALTAR_L_TERM10,1,1,26,26,TC,20000,300000,6.15
GIBRALTAR_L_TERM10,0,1,19,19,PF,20000,300000,3.31
