Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
GIBRALTAR_L_WL,0,0,73,73,PP,20000,300000,40.68
GIBRALTAR_L_WL,1,0,71,71,PF,20000,300000,41.47
GIBRALTAR_L_WL,0,1,52,52,TF,20000,300000,28.16
GIBRALTAR_L_WL,1,1,40,40,TF,20000,300000,18.56
GIBRALTAR_L_WL,1,0,50,50,TF,20000,300000,19.86
GIBRALTAR_L_WL,1,0,21,21,TC,20000,300000,6.23
GIBRALTAR_L_WL,0,1,26,26,TC,20000,300000,9.07
GIBRALTAR_L_WL,0,1,50,50,PP,20000,300000,13.58
GIBRALTAR_L_WL,1,0,78,78,ST,20000,300000,109.45
GIBRALTAR_L_WL,0,1,47,47,TC,20000,300000,20.32
GIBRALTAR_L_WL,0,0,77,77,TC,20000,300000,104.72
GIBRALTAR_L_WL,1,0,74,74,PF,20000,300000,64.74
GIBRALTAR_L_WL,1,0,48,48,PF,20000,300000,11.76
GIBRALTAR_L_WL,1,0,48,48,TC,20000,300000,16.81
GIBRALTAR_L_WL,0,0,31,31,PF,20000,300000,5.21
GIBRALTAR_L_WL,0,1,46,46,TF,20000,300000,21.5
GIBRALTAR_L_WL,0,1,75,75,ST,20000,300000,108.87
GIBRALTAR_L_WL,1,1,52,52,TC,20000,300000,29.46
GIBRALTAR_L_WL,1,1,51,51,TC,20000,300000,27.81
GIBRALTAR_L_WL,1,1,72,72,PF,20000,300000,73.3
GIBRALTAR_L_WL,0,0,38,38,TF,20000,300000,10.56
GIBRALTAR_L_WL,1,1,58,58,ST,20000,300000,31.49
GIBRALTAR_L_WL,0,1,25,25,TC,20000,300000,8.8
GIBRALTAR_L_WL,1,0,49,49,PP,20000,300000,10.46
GIBRALTAR_L_WL,1,1,64,64,ST,20000,300000,43.43
GIBRALTAR_L_WL,0,1,48,48,PP,20000,300000,12.65
GIBRALTAR_L_WL,0,1,66,66,ST,20000,300000,42.39
GIBRALTAR_L_WL,1,1,21,21,ST,20000,300000,7
GIBRALTAR_L_WL,1,0,37,37,TC,20000,300000,10.74
GIBRALTAR_L_WL,0,1,51,51,ST,20000,300000,19.29
GIBRALTAR_L_WL,1,0,58,58,PP,20000,300000,15.96
GIBRALTAR_L_WL,1,0,40,40,TC,20000,300000,11.85
GIBRALTAR_L_WL,0,0,65,65,PF,20000,300000,22.48
GIBRALTAR_L_WL,0,0,34,34,PP,20000,300000,5.02
GIBRALTAR_L_WL,1,0,63,63,TF,20000,300000,38.03
GIBRALTAR_L_WL,1,0,24,24,TF,20000,300000,7.54
GIBRALTAR_L_WL,1,1,48,48,ST,20000,300000,19.45
GIBRALTAR_L_WL,1,1,49,49,PP,20000,300000,15.14
GIBRALTAR_L_WL,1,1,30,30,TF,20000,300000,12.61
GIBRALTAR_L_WL,1,1,54,54,TC,20000,300000,32.76
GIBRALTAR_L_WL,1,1,72,72,PP,20000,300000,62.83
GIBRALTAR_L_WL,0,0,33,33,TF,20000,300000,8.86
GIBRALTAR_L_WL,1,0,35,35,PP,20000,300000,6.01
GIBRALTAR_L_WL,0,0,40,40,ST,20000,300000,8.17
GIBRALTAR_L_WL,0,1,21,21,TC,20000,300000,7.7
GIBRALTAR_L_WL,1,1,70,70,TC,20000,300000,71.73
GIBRALTAR_L_WL,0,0,43,43,TC,20000,300000,11.72
GIBRALTAR_L_WL,1,1,50,50,TC,20000,300000,26.17
GIBRALTAR_L_WL,0,1,52,52,PP,20000,300000,15.36
GIBRALTAR_L_WL,0,0,27,27,TF,20000,300000,7.24
GIBRALTAR_L_WL,1,1,46,46,PF,20000,300000,15.71
GIBRALTAR_L_WL,0,1,33,33,PF,20000,300000,8.13
GIBRALTAR_L_WL,0,1,24,24,ST,20000,300000,6.81
GIBRALTAR_L_WL,0,1,45,45,PF,20000,300000,13.15
GIBRALTAR_L_WL,0,1,24,24,TF,20000,300000,9.38
GIBRALTAR_L_WL,0,1,21,21,PP,20000,300000,4.61
GIBRALTAR_L_WL,1,0,52,52,PP,20000,300000,12.11
GIBRALTAR_L_WL,1,0,56,56,ST,20000,300000,19.58
GIBRALTAR_L_WL,1,0,37,37,PP,20000,300000,6.45
GIBRALTAR_L_WL,1,1,42,42,TC,20000,300000,18.73
GIBRALTAR_L_WL,0,1,80,80,PF,20000,300000,146.21
GIBRALTAR_L_WL,0,1,56,56,TF,20000,300000,34.71
GIBRALTAR_L_WL,1,1,38,38,PF,20000,300000,11.05
GIBRALTAR_L_WL,1,1,37,37,TC,20000,300000,15.25
GIBRALTAR_L_WL,0,1,73,73,TF,20000,300000,117.67
GIBRALTAR_L_WL,1,0,77,77,TC,20000,300000,125.74
GIBRALTAR_L_WL,0,1,28,28,PP,20000,300000,5.79
GIBRALTAR_L_WL,0,1,43,43,PF,20000,300000,12.07
GIBRALTAR_L_WL,0,0,68,68,PP,20000,300000,22.15
GIBRALTAR_L_WL,0,1,49,49,PF,20000,300000,15.3
GIBRALTAR_L_WL,1,0,41,41,TC,20000,300000,12.47
GIBRALTAR_L_WL,0,0,74,74,PP,20000,300000,46.22
GIBRALTAR_L_WL,0,0,78,78,TC,20000,300000,113.95
GIBRALTAR_L_WL,0,0,50,50,TF,20000,300000,16.72
GIBRALTAR_L_WL,1,0,71,71,TF,20000,300000,65.18
GIBRALTAR_L_WL,0,1,24,24,PF,20000,300000,5.96
GIBRALTAR_L_WL,0,0,27,27,TC,20000,300000,6.58
GIBRALTAR_L_WL,0,1,49,49,ST,20000,300000,17.48
GIBRALTAR_L_WL,0,1,58,58,TF,20000,300000,38
GIBRALTAR_L_WL,1,0,35,35,TF,20000,300000,11
GIBRALTAR_L_WL,0,0,39,39,PP,20000,300000,5.94
GIBRALTAR_L_WL,1,0,64,64,PF,20000,300000,25.56
GIBRALTAR_L_WL,0,0,75,75,TF,20000,300000,94.89
GIBRALTAR_L_WL,0,1,39,39,PF,20000,300000,10.12
GIBRALTAR_L_WL,1,0,76,76,TC,20000,300000,114.66
GIBRALTAR_L_WL,1,1,35,35,TC,20000,300000,14.16
GIBRALTAR_L_WL,1,1,47,47,TF,20000,300000,25.71
GIBRALTAR_L_WL,0,1,75,75,PP,20000,300000,81.66
GIBRALTAR_L_WL,0,1,80,80,TF,20000,300000,229.76
GIBRALTAR_L_WL,0,0,44,44,TF,20000,300000,13.43
GIBRALTAR_L_WL,0,1,75,75,TF,20000,300000,149.7
GIBRALTAR_L_WL,1,0,40,40,PP,20000,300000,7.11
GIBRALTAR_L_WL,1,1,46,46,TC,20000,300000,22.45
GIBRALTAR_L_WL,0,1,43,43,TF,20000,300000,18.97
GIBRALTAR_L_WL,0,0,65,65,TF,20000,300000,35.32
GIBRALTAR_L_WL,0,1,38,38,ST,20000,300000,11.19
GIBRALTAR_L_WL,0,0,67,67,TF,20000,300000,38.85
GIBRALTAR_L_WL,1,0,68,68,PP,20000,300000,26.58
GIBRALTAR_L_WL,0,1,51,51,TF,20000,300000,26.51
GIBRALTAR_L_WL,0,0,60,60,TF,20000,300000,26.5
GIBRALTAR_L_WL,0,1,26,26,TF,20000,300000,9.99
GIBRALTAR_L_WL,0,1,45,45,ST,20000,300000,15.03
GIBRALTAR_L_WL,1,0,65,65,TC,20000,300000,38.46
GIBRALTAR_L_WL,1,0,28,28,TF,20000,300000,8.49
GIBRALTAR_L_WL,0,0,54,54,PF,20000,300000,13.14
GIBRALTAR_L_WL,1,1,78,78,PP,20000,300000,122.21
