UW Class,Min Age,Max Age,Height,Min Weight,Max Weight,Gender,Smoker,Plan Code,MinFaceAmount,MaxFaceAmount
PF,18,99,144.78,39.46253619,79.37866475,,,,300001,9999999
PF,18,99,147.32,40.8233133,82.10021897,,,,300001,9999999
PF,18,99,149.86,42.18409041,85.27536556,,,,300001,9999999
PF,18,99,152.4,43.99845989,87.99691978,,,,300001,9999999
PF,18,99,154.94,45.359237,91.17206637,,,,300001,9999999
PF,18,99,157.48,46.72001411,93.89362059,,,,300001,9999999
PF,18,99,160.02,48.08079122,97.06876718,,,,300001,9999999
PF,18,99,162.56,49.8951607,100.2439138,,,,300001,9999999
PF,18,99,165.1,51.25593781,103.4190604,,,,300001,9999999
PF,18,99,167.64,53.07030729,106.594207,,,,300001,9999999
PF,18,99,170.18,54.4310844,109.7693535,,,,300001,9999999
PF,18,99,172.72,56.24545388,112.9445001,,,,300001,9999999
PF,18,99,175.26,57.60623099,116.5732391,,,,300001,9999999
PF,18,99,177.8,59.42060047,119.7483857,,,,300001,9999999
PF,18,99,180.34,61.23496995,123.3771246,,,,300001,9999999
PF,18,99,182.88,63.04933943,127.0058636,,,,300001,9999999
PF,18,99,185.42,64.86370891,130.6346026,,,,300001,9999999
PF,18,99,187.96,66.67807839,133.8097492,,,,300001,9999999
PF,18,99,190.5,68.49244787,137.8920805,,,,300001,9999999
PF,18,99,193.04,70.30681735,141.5208194,,,,300001,9999999
PF,18,99,195.58,72.12118683,145.1495584,,,,300001,9999999
PF,18,99,198.12,73.93555631,148.7782974,,,,300001,9999999
PF,18,99,200.66,75.74992579,152.8606287,,,,300001,9999999
PF,18,99,203.2,77.56429527,156.4893677,,,,300001,9999999
ST,18,99,144.78,35.38020486,39.00894382,,,,300001,9999999
ST,18,99,147.32,36.74098197,40.36972093,,,,300001,9999999
ST,18,99,149.86,37.64816671,41.73049804,,,,300001,9999999
ST,18,99,152.4,39.00894382,43.54486752,,,,300001,9999999
ST,18,99,154.94,40.36972093,44.90564463,,,,300001,9999999
ST,18,99,157.48,41.73049804,46.26642174,,,,300001,9999999
ST,18,99,160.02,43.09127515,47.62719885,,,,300001,9999999
ST,18,99,162.56,44.45205226,49.44156833,,,,300001,9999999
ST,18,99,165.1,45.81282937,50.80234544,,,,300001,9999999
ST,18,99,167.64,47.17360648,52.61671492,,,,300001,9999999
ST,18,99,170.18,48.53438359,53.97749203,,,,300001,9999999
ST,18,99,172.72,50.34875307,55.79186151,,,,300001,9999999
ST,18,99,175.26,51.70953018,57.15263862,,,,300001,9999999
ST,18,99,177.8,53.07030729,58.9670081,,,,300001,9999999
ST,18,99,180.34,54.88467677,60.78137758,,,,300001,9999999
ST,18,99,182.88,56.24545388,62.59574706,,,,300001,9999999
ST,18,99,185.42,57.60623099,64.41011654,,,,300001,9999999
