Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
WL,1,0,1,99,ST,25000,99000,8.28
WL,0,0,1,99,ST,25000,99000,7.24
WL,1,0,1,99,ST,100000,300000,7
WL,0,0,1,99,ST,100000,300000,5.9
WL,1,0,1,99,ST,301000,499000,6.62
WL,0,0,1,99,ST,301000,499000,5.62
WL,1,0,1,99,ST,500000,1000000,6.43
WL,0,0,1,99,ST,500000,1000000,5.43
TERM10,1,0,1,99,ST,25000,99000,3.02
TERM10,0,0,1,99,ST,25000,99000,2.7
TERM10,1,0,1,99,ST,100000,300000,1.51
TERM10,0,0,1,99,ST,100000,300000,1.3
TERM10,1,0,1,99,ST,301000,499000,1.38
TERM10,0,0,1,99,ST,301000,499000,1.11
TERM10,1,0,1,99,ST,500000,1000000,1.16
TERM10,0,0,1,99,ST,500000,1000000,0.9
TERM15,1,0,1,99,ST,25000,99000,3.05
TERM15,0,0,1,99,ST,25000,99000,2.78
TERM15,1,0,1,99,ST,100000,300000,1.56
TERM15,0,0,1,99,ST,100000,300000,1.34
TERM15,1,0,1,99,ST,301000,499000,1.42
TERM15,0,0,1,99,ST,301000,499000,1.14
TERM15,1,0,1,99,ST,500000,1000000,1.2
TERM15,0,0,1,99,ST,500000,1000000,0.93
TERM20,1,0,1,99,ST,25000,99000,3.14
TERM20,0,0,1,99,ST,25000,99000,2.87
TERM20,1,0,1,99,ST,100000,300000,1.69
TERM20,0,0,1,99,ST,100000,300000,1.38
TERM20,1,0,1,99,ST,301000,499000,1.48
TERM20,0,0,1,99,ST,301000,499000,1.48
TERM20,1,0,1,99,ST,500000,1000000,1.28
TERM20,0,0,1,99,ST,500000,1000000,0.97
TERM30,1,0,1,99,ST,25000,99000,3.63
TERM30,0,0,1,99,ST,25000,99000,3.32
TERM30,1,0,1,99,ST,100000,300000,2.22
TERM30,0,0,1,99,ST,100000,300000,1.9
TERM30,1,0,1,99,ST,301000,499000,1.99
TERM30,0,0,1,99,ST,301000,499000,1.53
TERM30,1,0,1,99,ST,500000,1000000,1.74
TERM30,0,0,1,99,ST,500000,1000000,1.3
GIR,1,0,1,99,ST,25000,200000,2.26
GIR,0,0,1,99,ST,25000,200000,2.26
TERMDWP,1,0,1,99,ST,25000,1000000,0.31
TERMDWP,0,0,1,99,ST,25000,1000000,0.35
TERM30DWP,1,0,1,99,ST,25000,1000000,0.39
TERM30DWP,0,0,1,99,ST,25000,1000000,0.45
WLDWP,1,0,1,99,ST,25000,1000000,1.36
WLDWP,0,0,1,99,ST,25000,1000000,1.58
