Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
TERMDWP,0,0,18,18,ST,25000,1000000,0.22
TERMDWP,0,0,19,19,ST,25000,1000000,0.23
TERMDWP,0,0,20,20,ST,25000,1000000,0.23
TERMDWP,0,0,21,21,ST,25000,1000000,0.24
TERMDWP,0,0,22,22,ST,25000,1000000,0.25
TERMDWP,0,0,23,23,ST,25000,1000000,0.27
TERMDWP,0,0,24,24,ST,25000,1000000,0.28
TERMDWP,0,0,25,25,ST,25000,1000000,0.29
TERMDWP,0,0,26,26,ST,25000,1000000,0.3
TERMDWP,0,0,27,27,ST,25000,1000000,0.31
TERMDWP,0,0,28,28,ST,25000,1000000,0.33
TERMDWP,0,0,29,29,ST,25000,1000000,0.34
TERMDWP,0,0,30,30,ST,25000,1000000,0.35
TERMDWP,0,0,31,31,ST,25000,1000000,0.38
TERMDWP,0,0,32,32,ST,25000,1000000,0.4
TERMDWP,0,0,33,33,ST,25000,1000000,0.43
TERMDWP,0,0,34,34,ST,25000,1000000,0.46
TERMDWP,0,0,35,35,ST,25000,1000000,0.49
TERMDWP,0,0,36,36,ST,25000,1000000,0.51
TERMDWP,0,0,37,37,ST,25000,1000000,0.54
TERMDWP,0,0,38,38,ST,25000,1000000,0.57
TERMDWP,0,0,39,39,ST,25000,1000000,0.59
TERMDWP,0,0,40,40,ST,25000,1000000,0.62
TERMDWP,0,0,41,41,ST,25000,1000000,0.7
TERMDWP,0,0,42,42,ST,25000,1000000,0.78
TERMDWP,0,0,43,43,ST,25000,1000000,0.85
TERMDWP,0,0,44,44,ST,25000,1000000,0.93
TERMDWP,0,0,45,45,ST,25000,1000000,1.01
TERMDWP,0,0,46,46,ST,25000,1000000,1.09
TERMDWP,0,0,47,47,ST,25000,1000000,1.17
TERMDWP,0,0,48,48,ST,25000,1000000,1.24
TERMDWP,0,0,49,49,ST,25000,1000000,1.32
TERMDWP,0,0,50,50,ST,25000,1000000,1.4
TERMDWP,0,0,51,51,ST,25000,1000000,1.64
TERMDWP,0,0,52,52,ST,25000,1000000,1.88
TERMDWP,0,0,53,53,ST,25000,1000000,2.11
TERMDWP,0,0,54,54,ST,25000,1000000,2.35
TERMDWP,0,0,55,55,ST,25000,1000000,2.59
TERMDWP,0,0,56,56,ST,25000,1000000,2.83
TERMDWP,0,0,57,57,ST,25000,1000000,3.06
TERMDWP,0,0,58,58,ST,25000,1000000,3.3
TERMDWP,0,0,59,59,ST,25000,1000000,3.3
TERMDWP,1,0,18,18,ST,25000,1000000,0.2
TERMDWP,1,0,19,19,ST,25000,1000000,0.2
TERMDWP,1,0,20,20,ST,25000,1000000,0.2
TERMDWP,1,0,21,21,ST,25000,1000000,0.21
TERMDWP,1,0,22,22,ST,25000,1000000,0.22
TERMDWP,1,0,23,23,ST,25000,1000000,0.23
TERMDWP,1,0,24,24,ST,25000,1000000,0.24
TERMDWP,1,0,25,25,ST,25000,1000000,0.26
TERMDWP,1,0,26,26,ST,25000,1000000,0.27
TERMDWP,1,0,27,27,ST,25000,1000000,0.28
TERMDWP,1,0,28,28,ST,25000,1000000,0.29
TERMDWP,1,0,29,29,ST,25000,1000000,0.3
TERMDWP,1,0,30,30,ST,25000,1000000,0.31
TERMDWP,1,0,31,31,ST,25000,1000000,0.34
TERMDWP,1,0,32,32,ST,25000,1000000,0.36
TERMDWP,1,0,33,33,ST,25000,1000000,0.39
TERMDWP,1,0,34,34,ST,25000,1000000,0.41
TERMDWP,1,0,35,35,ST,25000,1000000,0.44
TERMDWP,1,0,36,36,ST,25000,1000000,0.46
TERMDWP,1,0,37,37,ST,25000,1000000,0.49
TERMDWP,1,0,38,38,ST,25000,1000000,0.51
TERMDWP,1,0,39,39,ST,25000,1000000,0.54
TERMDWP,1,0,40,40,ST,25000,1000000,0.56
TERMDWP,1,0,41,41,ST,25000,1000000,0.66
TERMDWP,1,0,42,42,ST,25000,1000000,0.77
TERMDWP,1,0,43,43,ST,25000,1000000,0.87
TERMDWP,1,0,44,44,ST,25000,1000000,0.98
TERMDWP,1,0,45,45,ST,25000,1000000,1.08
TERMDWP,1,0,46,46,ST,25000,1000000,1.18
TERMDWP,1,0,47,47,ST,25000,1000000,1.29
TERMDWP,1,0,48,48,ST,25000,1000000,1.39
TERMDWP,1,0,49,49,ST,25000,1000000,1.5
TERMDWP,1,0,50,50,ST,25000,1000000,1.6
TERMDWP,1,0,51,51,ST,25000,1000000,1.85
TERMDWP,1,0,52,52,ST,25000,1000000,2.1
TERMDWP,1,0,53,53,ST,25000,1000000,2.35
TERMDWP,1,0,54,54,ST,25000,1000000,2.6
TERMDWP,1,0,55,55,ST,25000,1000000,2.85
TERMDWP,1,0,56,56,ST,25000,1000000,3.1
TERMDWP,1,0,57,57,ST,25000,1000000,3.35
TERMDWP,1,0,58,58,ST,25000,1000000,3.6
TERMDWP,1,0,59,59,ST,25000,1000000,3.6
TERMDWP,0,1,18,18,ST,25000,1000000,0.22
TERMDWP,0,1,19,19,ST,25000,1000000,0.23
TERMDWP,0,1,20,20,ST,25000,1000000,0.23
TERMDWP,0,1,21,21,ST,25000,1000000,0.24
TERMDWP,0,1,22,22,ST,25000,1000000,0.25
TERMDWP,0,1,23,23,ST,25000,1000000,0.27
TERMDWP,0,1,24,24,ST,25000,1000000,0.28
TERMDWP,0,1,25,25,ST,25000,1000000,0.29
TERMDWP,0,1,26,26,ST,25000,1000000,0.3
TERMDWP,0,1,27,27,ST,25000,1000000,0.31
TERMDWP,0,1,28,28,ST,25000,1000000,0.33
TERMDWP,0,1,29,29,ST,25000,1000000,0.34
TERMDWP,0,1,30,30,ST,25000,1000000,0.35
TERMDWP,0,1,31,31,ST,25000,1000000,0.38
TERMDWP,0,1,32,32,ST,25000,1000000,0.4
TERMDWP,0,1,33,33,ST,25000,1000000,0.43
TERMDWP,0,1,34,34,ST,25000,1000000,0.46
TERMDWP,0,1,35,35,ST,25000,1000000,0.49
TERMDWP,0,1,36,36,ST,25000,1000000,0.51
TERMDWP,0,1,37,37,ST,25000,1000000,0.54
TERMDWP,0,1,38,38,ST,25000,1000000,0.57
TERMDWP,0,1,39,39,ST,25000,1000000,0.59
TERMDWP,0,1,40,40,ST,25000,1000000,0.62
TERMDWP,0,1,41,41,ST,25000,1000000,0.7
TERMDWP,0,1,42,42,ST,25000,1000000,0.78
TERMDWP,0,1,43,43,ST,25000,1000000,0.85
TERMDWP,0,1,44,44,ST,25000,1000000,0.93
TERMDWP,0,1,45,45,ST,25000,1000000,1.01
TERMDWP,0,1,46,46,ST,25000,1000000,1.09
TERMDWP,0,1,47,47,ST,25000,1000000,1.17
TERMDWP,0,1,48,48,ST,25000,1000000,1.24
TERMDWP,0,1,49,49,ST,25000,1000000,1.32
TERMDWP,0,1,50,50,ST,25000,1000000,1.4
TERMDWP,0,1,51,51,ST,25000,1000000,1.64
TERMDWP,0,1,52,52,ST,25000,1000000,1.88
TERMDWP,0,1,53,53,ST,25000,1000000,2.11
TERMDWP,0,1,54,54,ST,25000,1000000,2.35
TERMDWP,0,1,55,55,ST,25000,1000000,2.59
TERMDWP,0,1,56,56,ST,25000,1000000,2.83
TERMDWP,0,1,57,57,ST,25000,1000000,3.06
TERMDWP,0,1,58,58,ST,25000,1000000,3.3
TERMDWP,0,1,59,59,ST,25000,1000000,3.3
TERMDWP,1,1,18,18,ST,25000,1000000,0.2
TERMDWP,1,1,19,19,ST,25000,1000000,0.2
TERMDWP,1,1,20,20,ST,25000,1000000,0.2
TERMDWP,1,1,21,21,ST,25000,1000000,0.21
TERMDWP,1,1,22,22,ST,25000,1000000,0.22
TERMDWP,1,1,23,23,ST,25000,1000000,0.23
TERMDWP,1,1,24,24,ST,25000,1000000,0.24
TERMDWP,1,1,25,25,ST,25000,1000000,0.26
TERMDWP,1,1,26,26,ST,25000,1000000,0.27
TERMDWP,1,1,27,27,ST,25000,1000000,0.28
TERMDWP,1,1,28,28,ST,25000,1000000,0.29
TERMDWP,1,1,29,29,ST,25000,1000000,0.3
TERMDWP,1,1,30,30,ST,25000,1000000,0.31
TERMDWP,1,1,31,31,ST,25000,1000000,0.34
TERMDWP,1,1,32,32,ST,25000,1000000,0.36
TERMDWP,1,1,33,33,ST,25000,1000000,0.39
TERMDWP,1,1,34,34,ST,25000,1000000,0.41
TERMDWP,1,1,35,35,ST,25000,1000000,0.44
TERMDWP,1,1,36,36,ST,25000,1000000,0.46
TERMDWP,1,1,37,37,ST,25000,1000000,0.49
