Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
GIR,0,0,18,18,ST,25000,200000,1.75
GIR,0,0,19,19,ST,25000,200000,1.82
GIR,0,0,20,20,ST,25000,200000,1.88
GIR,0,0,21,21,ST,25000,200000,1.94
GIR,0,0,22,22,ST,25000,200000,1.97
GIR,0,0,23,23,ST,25000,200000,2.00
GIR,0,0,24,24,ST,25000,200000,2.05
GIR,0,0,25,25,ST,25000,200000,2.10
GIR,0,0,26,26,ST,25000,200000,2.14
GIR,0,0,27,27,ST,25000,200000,2.18
GIR,0,0,28,28,ST,25000,200000,2.23
GIR,0,0,29,29,ST,25000,200000,2.25
GIR,0,0,30,30,ST,25000,200000,2.26
GIR,0,0,31,31,ST,25000,200000,2.33
GIR,0,0,32,32,ST,25000,200000,2.50
GIR,0,0,33,33,ST,25000,200000,2.60
GIR,0,0,34,34,ST,25000,200000,2.70
GIR,0,0,35,35,ST,25000,200000,2.80
GIR,0,0,36,36,ST,25000,200000,2.90
GIR,0,0,37,37,ST,25000,200000,2.95
GIR,0,0,38,38,ST,25000,200000,3.00
GIR,0,0,39,39,ST,25000,200000,3.00
GIR,1,0,18,18,ST,25000,200000,1.75
GIR,1,0,19,19,ST,25000,200000,1.82
GIR,1,0,20,20,ST,25000,200000,1.88
GIR,1,0,21,21,ST,25000,200000,1.94
GIR,1,0,22,22,ST,25000,200000,1.97
GIR,1,0,23,23,ST,25000,200000,2.00
GIR,1,0,24,24,ST,25000,200000,2.05
GIR,1,0,25,25,ST,25000,200000,2.10
GIR,1,0,26,26,ST,25000,200000,2.14
GIR,1,0,27,27,ST,25000,200000,2.18
GIR,1,0,28,28,ST,25000,200000,2.23
GIR,1,0,29,29,ST,25000,200000,2.25
GIR,1,0,30,30,ST,25000,200000,2.26
GIR,1,0,31,31,ST,25000,200000,2.33
GIR,1,0,32,32,ST,25000,200000,2.50
GIR,1,0,33,33,ST,25000,200000,2.60
GIR,1,0,34,34,ST,25000,200000,2.70
GIR,1,0,35,35,ST,25000,200000,2.80
GIR,1,0,36,36,ST,25000,200000,2.90
GIR,1,0,37,37,ST,25000,200000,2.95
GIR,1,0,38,38,ST,25000,200000,3.00
GIR,1,0,39,39,ST,25000,200000,3.00
GIR,0,1,18,18,ST,25000,200000,1.75
GIR,0,1,19,19,ST,25000,200000,1.82
GIR,0,1,20,20,ST,25000,200000,1.88
GIR,0,1,21,21,ST,25000,200000,1.94
GIR,0,1,22,22,ST,25000,200000,1.97
GIR,0,1,23,23,ST,25000,200000,2.00
GIR,0,1,24,24,ST,25000,200000,2.05
GIR,0,1,25,25,ST,25000,200000,2.10
GIR,0,1,26,26,ST,25000,200000,2.14
GIR,0,1,27,27,ST,25000,200000,2.18
GIR,0,1,28,28,ST,25000,200000,2.23
GIR,0,1,29,29,ST,25000,200000,2.25
GIR,0,1,30,30,ST,25000,200000,2.26
GIR,0,1,31,31,ST,25000,200000,2.33
GIR,0,1,32,32,ST,25000,200000,2.50
GIR,0,1,33,33,ST,25000,200000,2.60
GIR,0,1,34,34,ST,25000,200000,2.70
GIR,0,1,35,35,ST,25000,200000,2.80
GIR,0,1,36,36,ST,25000,200000,2.90
GIR,0,1,37,37,ST,25000,200000,2.95
GIR,0,1,38,38,ST,25000,200000,3.00
GIR,0,1,39,39,ST,25000,200000,3.00
GIR,1,1,18,18,ST,25000,200000,1.75
GIR,1,1,19,19,ST,25000,200000,1.82
GIR,1,1,20,20,ST,25000,200000,1.88
GIR,1,1,21,21,ST,25000,200000,1.94
GIR,1,1,22,22,ST,25000,200000,1.97
GIR,1,1,23,23,ST,25000,200000,2.00
GIR,1,1,24,24,ST,25000,200000,2.05
GIR,1,1,25,25,ST,25000,200000,2.10
GIR,1,1,26,26,ST,25000,200000,2.14
GIR,1,1,27,27,ST,25000,200000,2.18
GIR,1,1,28,28,ST,25000,200000,2.23
GIR,1,1,29,29,ST,25000,200000,2.25
GIR,1,1,30,30,ST,25000,200000,2.26
GIR,1,1,31,31,ST,25000,200000,2.33
GIR,1,1,32,32,ST,25000,200000,2.50
GIR,1,1,33,33,ST,25000,200000,2.60
GIR,1,1,34,34,ST,25000,200000,2.70
GIR,1,1,35,35,ST,25000,200000,2.80
GIR,1,1,36,36,ST,25000,200000,2.90
GIR,1,1,37,37,ST,25000,200000,2.95
GIR,1,1,38,38,ST,25000,200000,3.00
GIR,1,1,39,39,ST,25000,200000,3.00
GIR,0,0,18,18,PP,25000,200000,1.75
GIR,0,0,19,19,PP,25000,200000,1.82
GIR,0,0,20,20,PP,25000,200000,1.88
GIR,0,0,21,21,PP,25000,200000,1.94
GIR,0,0,22,22,PP,25000,200000,1.97
GIR,0,0,23,23,PP,25000,200000,2.00
GIR,0,0,24,24,PP,25000,200000,2.05
GIR,0,0,25,25,PP,25000,200000,2.10
GIR,0,0,26,26,PP,25000,200000,2.14
GIR,0,0,27,27,PP,25000,200000,2.18
GIR,0,0,28,28,PP,25000,200000,2.23
GIR,0,0,29,29,PP,25000,200000,2.25
GIR,0,0,30,30,PP,25000,200000,2.26
GIR,0,0,31,31,PP,25000,200000,2.33
GIR,0,0,32,32,PP,25000,200000,2.50
GIR,0,0,33,33,PP,25000,200000,2.60
GIR,0,0,34,34,PP,25000,200000,2.70
GIR,0,0,35,35,PP,25000,200000,2.80
GIR,0,0,36,36,PP,25000,200000,2.90
GIR,0,0,37,37,PP,25000,200000,2.95
GIR,0,0,38,38,PP,25000,200000,3.00
GIR,0,0,39,39,PP,25000,200000,3.00
GIR,1,0,18,18,PP,25000,200000,1.75
GIR,1,0,19,19,PP,25000,200000,1.82
GIR,1,0,20,20,PP,25000,200000,1.88
GIR,1,0,21,21,PP,25000,200000,1.94
