Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
TERM20,0,0,18,18,ST,25000,99000,2.64
TERM20,0,0,19,19,ST,25000,99000,2.66
TERM20,0,0,20,20,ST,25000,99000,2.68
TERM20,0,0,21,21,ST,25000,99000,2.7
TERM20,0,0,22,22,ST,25000,99000,2.72
TERM20,0,0,23,23,ST,25000,99000,2.74
TERM20,0,0,24,24,ST,25000,99000,2.76
TERM20,0,0,25,25,ST,25000,99000,2.78
TERM20,0,0,26,26,ST,25000,99000,2.79
TERM20,0,0,27,27,ST,25000,99000,2.81
TERM20,0,0,28,28,ST,25000,99000,2.83
TERM20,0,0,29,29,ST,25000,99000,2.85
TERM20,0,0,30,30,ST,25000,99000,2.87
TERM20,0,0,31,31,ST,25000,99000,2.92
TERM20,0,0,32,32,ST,25000,99000,2.97
TERM20,0,0,33,33,ST,25000,99000,3.03
TERM20,0,0,34,34,ST,25000,99000,3.08
TERM20,0,0,35,35,ST,25000,99000,3.13
TERM20,0,0,36,36,ST,25000,99000,3.18
TERM20,0,0,37,37,ST,25000,99000,3.23
TERM20,0,0,38,38,ST,25000,99000,3.29
TERM20,0,0,39,39,ST,25000,99000,3.34
TERM20,0,0,40,40,ST,25000,99000,3.39
TERM20,0,0,41,41,ST,25000,99000,3.56
TERM20,0,0,42,42,ST,25000,99000,3.74
TERM20,0,0,43,43,ST,25000,99000,3.91
TERM20,0,0,44,44,ST,25000,99000,4.08
TERM20,0,0,45,45,ST,25000,99000,4.26
TERM20,0,0,46,46,ST,25000,99000,4.43
TERM20,0,0,47,47,ST,25000,99000,4.6
TERM20,0,0,48,48,ST,25000,99000,4.77
TERM20,0,0,49,49,ST,25000,99000,4.95
TERM20,0,0,50,50,ST,25000,99000,5.12
TERM20,0,0,51,51,ST,25000,99000,5.65
TERM20,0,0,52,52,ST,25000,99000,6.19
TERM20,0,0,53,53,ST,25000,99000,6.72
TERM20,0,0,54,54,ST,25000,99000,7.25
TERM20,0,0,55,55,ST,25000,99000,7.79
TERM20,0,0,56,56,ST,25000,99000,8.32
TERM20,0,0,57,57,ST,25000,99000,8.85
TERM20,0,0,58,58,ST,25000,99000,9.38
TERM20,0,0,59,59,ST,25000,99000,9.92
TERM20,0,0,60,60,ST,25000,99000,10.45
TERM20,0,1,18,18,ST,25000,99000,3.88
TERM20,0,1,19,19,ST,25000,99000,3.95
TERM20,0,1,20,20,ST,25000,99000,4.01
TERM20,0,1,21,21,ST,25000,99000,4.07
TERM20,0,1,22,22,ST,25000,99000,4.13
TERM20,0,1,23,23,ST,25000,99000,4.18
TERM20,0,1,24,24,ST,25000,99000,4.24
TERM20,0,1,25,25,ST,25000,99000,4.3
TERM20,0,1,26,26,ST,25000,99000,4.36
TERM20,0,1,27,27,ST,25000,99000,4.42
TERM20,0,1,28,28,ST,25000,99000,4.47
TERM20,0,1,29,29,ST,25000,99000,4.53
TERM20,0,1,30,30,ST,25000,99000,4.59
TERM20,0,1,31,31,ST,25000,99000,4.77
TERM20,0,1,32,32,ST,25000,99000,4.95
TERM20,0,1,33,33,ST,25000,99000,5.13
TERM20,0,1,34,34,ST,25000,99000,5.31
TERM20,0,1,35,35,ST,25000,99000,5.49
TERM20,0,1,36,36,ST,25000,99000,5.67
TERM20,0,1,37,37,ST,25000,99000,5.85
TERM20,0,1,38,38,ST,25000,99000,6.03
TERM20,0,1,39,39,ST,25000,99000,6.21
TERM20,0,1,40,40,ST,25000,99000,6.39
TERM20,0,1,41,41,ST,25000,99000,6.93
TERM20,0,1,42,42,ST,25000,99000,7.47
TERM20,0,1,43,43,ST,25000,99000,8.01
TERM20,0,1,44,44,ST,25000,99000,8.55
TERM20,0,1,45,45,ST,25000,99000,9.09
TERM20,0,1,46,46,ST,25000,99000,9.63
TERM20,0,1,47,47,ST,25000,99000,10.17
TERM20,0,1,48,48,ST,25000,99000,10.71
TERM20,0,1,49,49,ST,25000,99000,11.25
TERM20,0,1,50,50,ST,25000,99000,11.79
TERM20,0,1,51,51,ST,25000,99000,13.28
TERM20,0,1,52,52,ST,25000,99000,14.78
TERM20,0,1,53,53,ST,25000,99000,16.27
TERM20,0,1,54,54,ST,25000,99000,17.77
TERM20,0,1,55,55,ST,25000,99000,19.26
TERM20,0,1,56,56,ST,25000,99000,20.75
TERM20,0,1,57,57,ST,25000,99000,22.25
TERM20,0,1,58,58,ST,25000,99000,23.74
TERM20,0,1,59,59,ST,25000,99000,25.24
TERM20,0,1,60,60,ST,25000,99000,26.73
TERM20,1,0,18,18,ST,25000,99000,3.01
TERM20,1,0,19,19,ST,25000,99000,3.02
TERM20,1,0,20,20,ST,25000,99000,3.03
TERM20,1,0,21,21,ST,25000,99000,3.04
TERM20,1,0,22,22,ST,25000,99000,3.05
TERM20,1,0,23,23,ST,25000,99000,3.06
TERM20,1,0,24,24,ST,25000,99000,3.07
TERM20,1,0,25,25,ST,25000,99000,3.09
TERM20,1,0,26,26,ST,25000,99000,3.1
TERM20,1,0,27,27,ST,25000,99000,3.11
TERM20,1,0,28,28,ST,25000,99000,3.12
TERM20,1,0,29,29,ST,25000,99000,3.13
TERM20,1,0,30,30,ST,25000,99000,3.14
TERM20,1,0,31,31,ST,25000,99000,3.21
TERM20,1,0,32,32,ST,25000,99000,3.28
TERM20,1,0,33,33,ST,25000,99000,3.34
TERM20,1,0,34,34,ST,25000,99000,3.41
TERM20,1,0,35,35,ST,25000,99000,3.48
TERM20,1,0,36,36,ST,25000,99000,3.55
TERM20,1,0,37,37,ST,25000,99000,3.62
TERM20,1,0,38,38,ST,25000,99000,3.68
TERM20,1,0,39,39,ST,25000,99000,3.75
TERM20,1,0,40,40,ST,25000,99000,3.82
TERM20,1,0,41,41,ST,25000,99000,4.07
TERM20,1,0,42,42,ST,25000,99000,4.32
TERM20,1,0,43,43,ST,25000,99000,4.57
TERM20,1,0,44,44,ST,25000,99000,4.82
TERM20,1,0,45,45,ST,25000,99000,5.07
TERM20,1,0,46,46,ST,25000,99000,5.31
TERM20,1,0,47,47,ST,25000,99000,5.56
TERM20,1,0,48,48,ST,25000,99000,5.81
TERM20,1,0,49,49,ST,25000,99000,6.06
TERM20,1,0,50,50,ST,25000,99000,6.31
TERM20,1,0,51,51,ST,25000,99000,7.06
TERM20,1,0,52,52,ST,25000,99000,7.82
TERM20,1,0,53,53,ST,25000,99000,8.57
TERM20,1,0,54,54,ST,25000,99000,9.32
TERM20,1,0,55,55,ST,25000,99000,10.08
TERM20,1,0,56,56,ST,25000,99000,10.83
TERM20,1,0,57,57,ST,25000,99000,11.58
TERM20,1,0,58,58,ST,25000,99000,12.33
TERM20,1,0,59,59,ST,25000,99000,13.09
TERM20,1,0,60,60,ST,25000,99000,13.84
TERM20,1,1,18,18,ST,25000,99000,4.8
TERM20,1,1,19,19,ST,25000,99000,4.84
TERM20,1,1,20,20,ST,25000,99000,4.88
TERM20,1,1,21,21,ST,25000,99000,4.92
TERM20,1,1,22,22,ST,25000,99000,4.97
TERM20,1,1,23,23,ST,25000,99000,5.01
TERM20,1,1,24,24,ST,25000,99000,5.05
TERM20,1,1,25,25,ST,25000,99000,5.1
TERM20,1,1,26,26,ST,25000,99000,5.14
TERM20,1,1,27,27,ST,25000,99000,5.18
TERM20,1,1,28,28,ST,25000,99000,5.22
TERM20,1,1,29,29,ST,25000,99000,5.27
TERM20,1,1,30,30,ST,25000,99000,5.31
TERM20,1,1,31,31,ST,25000,99000,5.55
TERM20,1,1,32,32,ST,25000,99000,5.79
TERM20,1,1,33,33,ST,25000,99000,6.04
TERM20,1,1,34,34,ST,25000,99000,6.28
TERM20,1,1,35,35,ST,25000,99000,6.52
TERM20,1,1,36,36,ST,25000,99000,6.76
TERM20,1,1,37,37,ST,25000,99000,7
TERM20,1,1,38,38,ST,25000,99000,7.25
TERM20,1,1,39,39,ST,25000,99000,7.49
TERM20,1,1,40,40,ST,25000,99000,7.73
TERM20,1,1,41,41,ST,25000,99000,8.4
TERM20,1,1,42,42,ST,25000,99000,9.06
TERM20,1,1,43,43,ST,25000,99000,9.73
TERM20,1,1,44,44,ST,25000,99000,10.39
TERM20,1,1,45,45,ST,25000,99000,11.06
TERM20,1,1,46,46,ST,25000,99000,11.73
TERM20,1,1,47,47,ST,25000,99000,12.39
TERM20,1,1,48,48,ST,25000,99000,13.06
TERM20,1,1,49,49,ST,25000,99000,13.72
TERM20,1,1,50,50,ST,25000,99000,14.39
TERM20,1,1,51,51,ST,25000,99000,16.15
TERM20,1,1,52,52,ST,25000,99000,17.9
TERM20,1,1,53,53,ST,25000,99000,19.66
TERM20,1,1,54,54,ST,25000,99000,21.41
TERM20,1,1,55,55,ST,25000,99000,23.17
TERM20,1,1,56,56,ST,25000,99000,24.92
TERM20,1,1,57,57,ST,25000,99000,26.68
TERM20,1,1,58,58,ST,25000,99000,28.43
TERM20,1,1,59,59,ST,25000,99000,30.19
TERM20,1,1,60,60,ST,25000,99000,31.94
