Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate,rate_usage,rate_type,rate_basis_id,rate_basis_value,rate_availability
TERM30,1,0,18,18,PF,100000,300000,1.52,,,,,
TERM30,1,0,19,19,PF,100000,300000,1.56,,,,,
TERM30,1,0,20,20,PF,100000,300000,1.59,,,,,
TERM30,1,0,21,21,PF,100000,300000,1.61,,,,,
TERM30,1,0,22,22,PF,100000,300000,1.64,,,,,
TERM30,1,0,23,23,PF,100000,300000,1.66,,,,,
TERM30,1,0,24,24,PF,100000,300000,1.69,,,,,
TERM30,1,0,25,25,PF,100000,300000,1.71,,,,,
TERM30,1,0,26,26,PF,100000,300000,1.73,,,,,
TERM30,1,0,27,27,PF,100000,300000,1.76,,,,,
TERM30,1,0,28,28,PF,100000,300000,1.78,,,,,
TERM30,1,0,29,29,PF,100000,300000,1.81,,,,,
TERM30,1,0,30,30,PF,100000,300000,1.83,,,,,
TERM30,1,0,31,31,PF,100000,300000,1.95,,,,,
TERM30,1,0,32,32,PF,100000,300000,2.07,,,,,
TERM30,1,0,33,33,PF,100000,300000,2.18,,,,,
TERM30,1,0,34,34,PF,100000,300000,2.3,,,,,
TERM30,1,0,35,35,PF,100000,300000,2.42,,,,,
TERM30,1,0,36,36,PF,100000,300000,2.54,,,,,
TERM30,1,0,37,37,PF,100000,300000,2.66,,,,,
TERM30,1,0,38,38,PF,100000,300000,2.77,,,,,
TERM30,1,0,39,39,PF,100000,300000,2.89,,,,,
TERM30,1,0,40,40,PF,100000,300000,3.01,,,,,
TERM30,1,0,41,41,PF,100000,300000,3.33,,,,,
TERM30,1,0,42,42,PF,100000,300000,3.65,,,,,
TERM30,1,0,43,43,PF,100000,300000,3.97,,,,,
TERM30,1,0,44,44,PF,100000,300000,4.29,,,,,
TERM30,1,0,45,45,PF,100000,300000,4.61,,,,,
TERM30,1,0,46,46,PF,100000,300000,4.92,,,,,
TERM30,1,0,47,47,PF,100000,300000,5.24,,,,,
TERM30,1,0,48,48,PF,100000,300000,5.56,,,,,
TERM30,1,0,49,49,PF,100000,300000,5.88,,,,,
TERM30,1,0,50,50,PF,100000,300000,6.2,,,,,
