Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
TERM15,1,0,18,18,TC,301000,499000,2.24
TERM15,1,0,19,19,TC,301000,499000,2.2575
TERM15,1,0,20,20,TC,301000,499000,2.275
TERM15,1,0,21,21,TC,301000,499000,2.2925
TERM15,1,0,22,22,TC,301000,499000,2.31
TERM15,1,0,23,23,TC,301000,499000,2.345
TERM15,1,0,24,24,TC,301000,499000,2.3625
TERM15,1,0,25,25,TC,301000,499000,2.38
TERM15,1,0,26,26,TC,301000,499000,2.3975
TERM15,1,0,27,27,TC,301000,499000,2.415
TERM15,1,0,28,28,TC,301000,499000,2.45
TERM15,1,0,29,29,TC,301000,499000,2.4675
TERM15,1,0,30,30,TC,301000,499000,2.485
TERM15,1,0,31,31,TC,301000,499000,2.6075
TERM15,1,0,32,32,TC,301000,499000,2.73
TERM15,1,0,33,33,TC,301000,499000,2.835
TERM15,1,0,34,34,TC,301000,499000,2.9575
TERM15,1,0,35,35,TC,301000,499000,3.08
TERM15,1,0,36,36,TC,301000,499000,3.2025
TERM15,1,0,37,37,TC,301000,499000,3.325
TERM15,1,0,38,38,TC,301000,499000,3.43
TERM15,1,0,39,39,TC,301000,499000,3.5525
TERM15,1,0,40,40,TC,301000,499000,3.675
TERM15,1,0,41,41,TC,301000,499000,4.06
TERM15,1,0,42,42,TC,301000,499000,4.4275
TERM15,1,0,43,43,TC,301000,499000,4.8125
TERM15,1,0,44,44,TC,301000,499000,5.18
TERM15,1,0,45,45,TC,301000,499000,5.565
TERM15,1,0,46,46,TC,301000,499000,5.9325
TERM15,1,0,47,47,TC,301000,499000,6.3175
TERM15,1,0,48,48,TC,301000,499000,6.685
TERM15,1,0,49,49,TC,301000,499000,7.07
TERM15,1,0,50,50,TC,301000,499000,7.4375
TERM15,1,0,51,51,TC,301000,499000,8.4525
TERM15,1,0,52,52,TC,301000,499000,9.485
TERM15,1,0,53,53,TC,301000,499000,10.5
TERM15,1,0,54,54,TC,301000,499000,11.515
TERM15,1,0,55,55,TC,301000,499000,12.5475
TERM15,1,0,56,56,TC,301000,499000,13.5625
TERM15,1,0,57,57,TC,301000,499000,14.5775
TERM15,1,0,58,58,TC,301000,499000,15.5925
TERM15,1,0,59,59,TC,301000,499000,16.625
TERM15,1,0,60,60,TC,301000,499000,17.64
TERM15,1,0,61,61,TC,301000,499000,19.67
TERM15,1,0,62,62,TC,301000,499000,21.7175
TERM15,1,0,63,63,TC,301000,499000,23.7475
TERM15,1,0,64,64,TC,301000,499000,25.795
TERM15,1,0,65,65,TC,301000,499000,27.825
TERM15,1,1,18,18,TC,301000,499000,3.8325
TERM15,1,1,19,19,TC,301000,499000,3.92
TERM15,1,1,20,20,TC,301000,499000,4.0075
TERM15,1,1,21,21,TC,301000,499000,4.095
TERM15,1,1,22,22,TC,301000,499000,4.2
TERM15,1,1,23,23,TC,301000,499000,4.2875
TERM15,1,1,24,24,TC,301000,499000,4.3925
TERM15,1,1,25,25,TC,301000,499000,4.48
TERM15,1,1,26,26,TC,301000,499000,4.5675
TERM15,1,1,27,27,TC,301000,499000,4.6725
TERM15,1,1,28,28,TC,301000,499000,4.76
TERM15,1,1,29,29,TC,301000,499000,4.865
TERM15,1,1,30,30,TC,301000,499000,4.9525
TERM15,1,1,31,31,TC,301000,499000,5.3025
TERM15,1,1,32,32,TC,301000,499000,5.6525
TERM15,1,1,33,33,TC,301000,499000,6.0025
TERM15,1,1,34,34,TC,301000,499000,6.3525
TERM15,1,1,35,35,TC,301000,499000,6.72
TERM15,1,1,36,36,TC,301000,499000,7.07
TERM15,1,1,37,37,TC,301000,499000,7.42
TERM15,1,1,38,38,TC,301000,499000,7.77
TERM15,1,1,39,39,TC,301000,499000,8.12
TERM15,1,1,40,40,TC,301000,499000,8.47
TERM15,1,1,41,41,TC,301000,499000,9.45
TERM15,1,1,42,42,TC,301000,499000,10.43
TERM15,1,1,43,43,TC,301000,499000,11.3925
TERM15,1,1,44,44,TC,301000,499000,12.3725
TERM15,1,1,45,45,TC,301000,499000,13.3525
TERM15,1,1,46,46,TC,301000,499000,14.3325
TERM15,1,1,47,47,TC,301000,499000,15.3125
TERM15,1,1,48,48,TC,301000,499000,16.275
TERM15,1,1,49,49,TC,301000,499000,17.255
TERM15,1,1,50,50,TC,301000,499000,18.235
TERM15,1,1,51,51,TC,301000,499000,20.4575
TERM15,1,1,52,52,TC,301000,499000,22.6625
TERM15,1,1,53,53,TC,301000,499000,24.885
TERM15,1,1,54,54,TC,301000,499000,27.1075
TERM15,1,1,55,55,TC,301000,499000,29.33
TERM15,1,1,56,56,TC,301000,499000,31.535
TERM15,1,1,57,57,TC,301000,499000,33.7575
TERM15,1,1,58,58,TC,301000,499000,35.98
TERM15,1,1,59,59,TC,301000,499000,38.185
TERM15,1,1,60,60,TC,301000,499000,40.4075
TERM15,1,1,61,61,TC,301000,499000,44.3625
TERM15,1,1,62,62,TC,301000,499000,48.3175
TERM15,1,1,63,63,TC,301000,499000,52.255
TERM15,1,1,64,64,TC,301000,499000,56.21
TERM15,1,1,65,65,TC,301000,499000,60.165
TERM15,0,0,18,18,TC,301000,499000,1.575
TERM15,0,0,19,19,TC,301000,499000,1.61
TERM15,0,0,20,20,TC,301000,499000,1.6275
TERM15,0,0,21,21,TC,301000,499000,1.6625
TERM15,0,0,22,22,TC,301000,499000,1.6975
TERM15,0,0,23,23,TC,301000,499000,1.7325
TERM15,0,0,24,24,TC,301000,499000,1.7675
TERM15,0,0,25,25,TC,301000,499000,1.82
TERM15,0,0,26,26,TC,301000,499000,1.855
TERM15,0,0,27,27,TC,301000,499000,1.89
