Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
TERM20,1,0,18,18,TF,301000,499000,3.3
TERM20,1,0,19,19,TF,301000,499000,3.325
TERM20,1,0,20,20,TF,301000,499000,3.35
TERM20,1,0,21,21,TF,301000,499000,3.375
TERM20,1,0,22,22,TF,301000,499000,3.425
TERM20,1,0,23,23,TF,301000,499000,3.45
TERM20,1,0,24,24,TF,301000,499000,3.5
TERM20,1,0,25,25,TF,301000,499000,3.525
TERM20,1,0,26,26,TF,301000,499000,3.55
TERM20,1,0,27,27,TF,301000,499000,3.6
TERM20,1,0,28,28,TF,301000,499000,3.625
TERM20,1,0,29,29,TF,301000,499000,3.675
TERM20,1,0,30,30,TF,301000,499000,3.7
TERM20,1,0,31,31,TF,301000,499000,3.925
TERM20,1,0,32,32,TF,301000,499000,4.15
TERM20,1,0,33,33,TF,301000,499000,4.375
TERM20,1,0,34,34,TF,301000,499000,4.6
TERM20,1,0,35,35,TF,301000,499000,4.85
TERM20,1,0,36,36,TF,301000,499000,5.075
TERM20,1,0,37,37,TF,301000,499000,5.3
TERM20,1,0,38,38,TF,301000,499000,5.525
TERM20,1,0,39,39,TF,301000,499000,5.75
TERM20,1,0,40,40,TF,301000,499000,5.975
TERM20,1,0,41,41,TF,301000,499000,6.625
TERM20,1,0,42,42,TF,301000,499000,7.275
TERM20,1,0,43,43,TF,301000,499000,7.9
TERM20,1,0,44,44,TF,301000,499000,8.55
TERM20,1,0,45,45,TF,301000,499000,9.2
TERM20,1,0,46,46,TF,301000,499000,9.85
TERM20,1,0,47,47,TF,301000,499000,10.5
TERM20,1,0,48,48,TF,301000,499000,11.125
TERM20,1,0,49,49,TF,301000,499000,11.775
TERM20,1,0,50,50,TF,301000,499000,12.425
TERM20,1,0,51,51,TF,301000,499000,14.225
TERM20,1,0,52,52,TF,301000,499000,16.025
TERM20,1,0,53,53,TF,301000,499000,17.825
TERM20,1,0,54,54,TF,301000,499000,19.625
TERM20,1,0,55,55,TF,301000,499000,21.45
TERM20,1,0,56,56,TF,301000,499000,23.25
TERM20,1,0,57,57,TF,301000,499000,25.05
TERM20,1,0,58,58,TF,301000,499000,26.85
TERM20,1,0,59,59,TF,301000,499000,28.65
TERM20,1,0,60,60,TF,301000,499000,30.45
TERM20,1,1,18,18,TF,301000,499000,5.55
TERM20,1,1,19,19,TF,301000,499000,5.725
TERM20,1,1,20,20,TF,301000,499000,5.9
TERM20,1,1,21,21,TF,301000,499000,6.075
TERM20,1,1,22,22,TF,301000,499000,6.25
TERM20,1,1,23,23,TF,301000,499000,6.45
TERM20,1,1,24,24,TF,301000,499000,6.625
TERM20,1,1,25,25,TF,301000,499000,6.8
TERM20,1,1,26,26,TF,301000,499000,6.975
TERM20,1,1,27,27,TF,301000,499000,7.15
TERM20,1,1,28,28,TF,301000,499000,7.35
TERM20,1,1,29,29,TF,301000,499000,7.525
TERM20,1,1,30,30,TF,301000,499000,7.7
TERM20,1,1,31,31,TF,301000,499000,8.35
TERM20,1,1,32,32,TF,301000,499000,9
TERM20,1,1,33,33,TF,301000,499000,9.65
TERM20,1,1,34,34,TF,301000,499000,10.3
TERM20,1,1,35,35,TF,301000,499000,10.975
TERM20,1,1,36,36,TF,301000,499000,11.625
TERM20,1,1,37,37,TF,301000,499000,12.275
TERM20,1,1,38,38,TF,301000,499000,12.925
TERM20,1,1,39,39,TF,301000,499000,13.575
TERM20,1,1,40,40,TF,301000,499000,14.225
TERM20,1,1,41,41,TF,301000,499000,15.775
TERM20,1,1,42,42,TF,301000,499000,17.325
TERM20,1,1,43,43,TF,301000,499000,18.875
TERM20,1,1,44,44,TF,301000,499000,20.425
TERM20,1,1,45,45,TF,301000,499000,22
TERM20,1,1,46,46,TF,301000,499000,23.55
TERM20,1,1,47,47,TF,301000,499000,25.1
TERM20,1,1,48,48,TF,301000,499000,26.65
TERM20,1,1,49,49,TF,301000,499000,28.2
TERM20,1,1,50,50,TF,301000,499000,29.75
TERM20,1,1,51,51,TF,301000,499000,33.45
TERM20,1,1,52,52,TF,301000,499000,37.15
TERM20,1,1,53,53,TF,301000,499000,40.85
TERM20,1,1,54,54,TF,301000,499000,44.55
TERM20,1,1,55,55,TF,301000,499000,48.25
TERM20,1,1,56,56,TF,301000,499000,51.925
TERM20,1,1,57,57,TF,301000,499000,55.625
TERM20,1,1,58,58,TF,301000,499000,59.325
TERM20,1,1,59,59,TF,301000,499000,63.025
TERM20,1,1,60,60,TF,301000,499000,66.725
TERM20,0,0,18,18,TF,301000,499000,2.35
TERM20,0,0,19,19,TF,301000,499000,2.375
TERM20,0,0,20,20,TF,301000,499000,2.4
TERM20,0,0,21,21,TF,301000,499000,2.45
TERM20,0,0,22,22,TF,301000,499000,2.5
TERM20,0,0,23,23,TF,301000,499000,2.575
TERM20,0,0,24,24,TF,301000,499000,2.625
TERM20,0,0,25,25,TF,301000,499000,2.675
TERM20,0,0,26,26,TF,301000,499000,2.725
TERM20,0,0,27,27,TF,301000,499000,2.775
TERM20,0,0,28,28,TF,301000,499000,2.85
TERM20,0,0,29,29,TF,301000,499000,2.9
TERM20,0,0,30,30,TF,301000,499000,2.95
TERM20,0,0,31,31,TF,301000,499000,3.125
TERM20,0,0,32,32,TF,301000,499000,3.3
TERM20,0,0,33,33,TF,301000,499000,3.45
TERM20,0,0,34,34,TF,301000,499000,3.625
TERM20,0,0,35,35,TF,301000,499000,3.8
TERM20,0,0,36,36,TF,301000,499000,3.975
TERM20,0,0,37,37,TF,301000,499000,4.15
TERM20,0,0,38,38,TF,301000,499000,4.3
TERM20,0,0,39,39,TF,301000,499000,4.475
TERM20,0,0,40,40,TF,301000,499000,4.65
TERM20,0,0,41,41,TF,301000,499000,5.125
TERM20,0,0,42,42,TF,301000,499000,5.6
TERM20,0,0,43,43,TF,301000,499000,6.075
TERM20,0,0,44,44,TF,301000,499000,6.55
TERM20,0,0,45,45,TF,301000,499000,7.025
TERM20,0,0,46,46,TF,301000,499000,7.5
TERM20,0,0,47,47,TF,301000,499000,7.975
TERM20,0,0,48,48,TF,301000,499000,8.45
TERM20,0,0,49,49,TF,301000,499000,8.925
TERM20,0,0,50,50,TF,301000,499000,9.4
TERM20,0,0,51,51,TF,301000,499000,10.725
TERM20,0,0,52,52,TF,301000,499000,12.025
TERM20,0,0,53,53,TF,301000,499000,13.35
TERM20,0,0,54,54,TF,301000,499000,14.65
TERM20,0,0,55,55,TF,301000,499000,15.975
TERM20,0,0,56,56,TF,301000,499000,17.275
TERM20,0,0,57,57,TF,301000,499000,18.6
TERM20,0,0,58,58,TF,301000,499000,19.9
TERM20,0,0,59,59,TF,301000,499000,21.225
TERM20,0,0,60,60,TF,301000,499000,22.525
TERM20,0,1,18,18,TF,301000,499000,3.5
TERM20,0,1,19,19,TF,301000,499000,3.675
TERM20,0,1,20,20,TF,301000,499000,3.85
TERM20,0,1,21,21,TF,301000,499000,4.05
TERM20,0,1,22,22,TF,301000,499000,4.225
TERM20,0,1,23,23,TF,301000,499000,4.425
TERM20,0,1,24,24,TF,301000,499000,4.6
TERM20,0,1,25,25,TF,301000,499000,4.8
TERM20,0,1,26,26,TF,301000,499000,4.975
TERM20,0,1,27,27,TF,301000,499000,5.175
TERM20,0,1,28,28,TF,301000,499000,5.35
TERM20,0,1,29,29,TF,301000,499000,5.55
TERM20,0,1,30,30,TF,301000,499000,5.725
TERM20,0,1,31,31,TF,301000,499000,6.225
TERM20,0,1,32,32,TF,301000,499000,6.725
TERM20,0,1,33,33,TF,301000,499000,7.225
TERM20,0,1,34,34,TF,301000,499000,7.725
TERM20,0,1,35,35,TF,301000,499000,8.25
TERM20,0,1,36,36,TF,301000,499000,8.75
TERM20,0,1,37,37,TF,301000,499000,9.25
TERM20,0,1,38,38,TF,301000,499000,9.75
TERM20,0,1,39,39,TF,301000,499000,10.25
TERM20,0,1,40,40,TF,301000,499000,10.75
TERM20,0,1,41,41,TF,301000,499000,12.025
TERM20,0,1,42,42,TF,301000,499000,13.325
TERM20,0,1,43,43,TF,301000,499000,14.6
TERM20,0,1,44,44,TF,301000,499000,15.875
TERM20,0,1,45,45,TF,301000,499000,17.175
TERM20,0,1,46,46,TF,301000,499000,18.45
TERM20,0,1,47,47,TF,301000,499000,19.725
TERM20,0,1,48,48,TF,301000,499000,21
TERM20,0,1,49,49,TF,301000,499000,22.3
TERM20,0,1,50,50,TF,301000,499000,23.575
TERM20,0,1,51,51,TF,301000,499000,26.9
TERM20,0,1,52,52,TF,301000,499000,30.2
TERM20,0,1,53,53,TF,301000,499000,33.525
TERM20,0,1,54,54,TF,301000,499000,36.85
TERM20,0,1,55,55,TF,301000,499000,40.175
TERM20,0,1,56,56,TF,301000,499000,43.475
TERM20,0,1,57,57,TF,301000,499000,46.8
TERM20,0,1,58,58,TF,301000,499000,50.125
TERM20,0,1,59,59,TF,301000,499000,53.425
TERM20,0,1,60,60,TF,301000,499000,56.75
