Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
WL,1,0,18,18,TC,500000,1000000,5.25
WL,1,0,19,19,TC,500000,1000000,5.3
WL,1,0,20,20,TC,500000,1000000,5.35
WL,1,0,21,21,TC,500000,1000000,5.625
WL,1,0,22,22,TC,500000,1000000,5.8875
WL,1,0,23,23,TC,500000,1000000,6.1625
WL,1,0,24,24,TC,500000,1000000,6.425
WL,1,0,25,25,TC,500000,1000000,6.7
WL,1,0,26,26,TC,500000,1000000,6.9625
WL,1,0,27,27,TC,500000,1000000,7.2375
WL,1,0,28,28,TC,500000,1000000,7.5
WL,1,0,29,29,TC,500000,1000000,7.775
WL,1,0,30,30,TC,500000,1000000,8.0375
WL,1,0,31,31,TC,500000,1000000,8.5125
WL,1,0,32,32,TC,500000,1000000,8.975
WL,1,0,33,33,TC,500000,1000000,9.45
WL,1,0,34,34,TC,500000,1000000,9.9125
WL,1,0,35,35,TC,500000,1000000,10.3875
WL,1,0,36,36,TC,500000,1000000,10.8625
WL,1,0,37,37,TC,500000,1000000,11.325
WL,1,0,38,38,TC,500000,1000000,11.8
WL,1,0,39,39,TC,500000,1000000,12.2625
WL,1,0,40,40,TC,500000,1000000,12.7375
WL,1,0,41,41,TC,500000,1000000,13.5125
WL,1,0,42,42,TC,500000,1000000,14.3
WL,1,0,43,43,TC,500000,1000000,15.075
WL,1,0,44,44,TC,500000,1000000,15.8625
WL,1,0,45,45,TC,500000,1000000,16.6375
WL,1,0,46,46,TC,500000,1000000,17.4125
WL,1,0,47,47,TC,500000,1000000,18.2
WL,1,0,48,48,TC,500000,1000000,18.975
WL,1,0,49,49,TC,500000,1000000,19.7625
WL,1,0,50,50,TC,500000,1000000,20.5375
WL,1,0,51,51,TC,500000,1000000,21.8875
WL,1,0,52,52,TC,500000,1000000,23.2375
WL,1,0,53,53,TC,500000,1000000,24.5875
WL,1,0,54,54,TC,500000,1000000,25.9375
WL,1,0,55,55,TC,500000,1000000,27.2875
