Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
WL,1,0,18,18,TF,25000,99000,9.83125
WL,1,0,19,19,TF,25000,99000,9.88
WL,1,0,20,20,TF,25000,99000,9.9125
WL,1,0,21,21,TF,25000,99000,10.27
WL,1,0,22,22,TF,25000,99000,10.6275
WL,1,0,23,23,TF,25000,99000,10.985
WL,1,0,24,24,TF,25000,99000,11.32625
WL,1,0,25,25,TF,25000,99000,11.68375
WL,1,0,26,26,TF,25000,99000,12.04125
WL,1,0,27,27,TF,25000,99000,12.39875
WL,1,0,28,28,TF,25000,99000,12.75625
WL,1,0,29,29,TF,25000,99000,13.0975
WL,1,0,30,30,TF,25000,99000,13.455
WL,1,0,31,31,TF,25000,99000,14.0725
WL,1,0,32,32,TF,25000,99000,14.67375
WL,1,0,33,33,TF,25000,99000,15.29125
WL,1,0,34,34,TF,25000,99000,15.8925
WL,1,0,35,35,TF,25000,99000,16.51
WL,1,0,36,36,TF,25000,99000,17.1275
WL,1,0,37,37,TF,25000,99000,17.72875
WL,1,0,38,38,TF,25000,99000,18.34625
WL,1,0,39,39,TF,25000,99000,18.9475
WL,1,0,40,40,TF,25000,99000,19.565
WL,1,0,41,41,TF,25000,99000,20.58875
WL,1,0,42,42,TF,25000,99000,21.6125
WL,1,0,43,43,TF,25000,99000,22.63625
WL,1,0,44,44,TF,25000,99000,23.66
WL,1,0,45,45,TF,25000,99000,24.68375
WL,1,0,46,46,TF,25000,99000,25.7075
WL,1,0,47,47,TF,25000,99000,26.73125
WL,1,0,48,48,TF,25000,99000,27.755
WL,1,0,49,49,TF,25000,99000,28.77875
WL,1,0,50,50,TF,25000,99000,29.8025
WL,1,0,51,51,TF,25000,99000,31.57375
WL,1,0,52,52,TF,25000,99000,33.32875
WL,1,0,53,53,TF,25000,99000,35.1
WL,1,0,54,54,TF,25000,99000,36.855
WL,1,0,55,55,TF,25000,99000,38.62625
WL,1,0,56,56,TF,25000,99000,40.3975
WL,1,0,57,57,TF,25000,99000,42.1525
WL,1,0,58,58,TF,25000,99000,43.92375
WL,1,0,59,59,TF,25000,99000,45.67875
WL,1,0,60,60,TF,25000,99000,47.45
WL,1,0,61,61,TF,25000,99000,50.65125
WL,1,0,62,62,TF,25000,99000,53.86875
WL,1,0,63,63,TF,25000,99000,57.07
WL,1,0,64,64,TF,25000,99000,60.2875
WL,1,0,65,65,TF,25000,99000,63.48875
WL,1,0,66,66,TF,25000,99000,66.69
WL,1,0,67,67,TF,25000,99000,69.9075
WL,1,0,68,68,TF,25000,99000,73.10875
WL,1,0,69,69,TF,25000,99000,76.32625
WL,1,0,70,70,TF,25000,99000,79.5275
WL,1,0,71,71,TF,25000,99000,97.825
WL,1,0,72,72,TF,25000,99000,116.10625
WL,1,0,73,73,TF,25000,99000,134.40375
WL,1,0,74,74,TF,25000,99000,152.685
WL,1,0,75,75,TF,25000,99000,170.9825
WL,1,0,76,76,TF,25000,99000,189.28
WL,1,0,77,77,TF,25000,99000,207.56125
WL,1,0,78,78,TF,25000,99000,225.85875
WL,1,0,79,79,TF,25000,99000,244.15625
WL,1,0,80,80,TF,25000,99000,262.4375
WL,1,1,18,18,TF,25000,99000,13.845
WL,1,1,19,19,TF,25000,99000,13.89375
WL,1,1,20,20,TF,25000,99000,13.9425
WL,1,1,21,21,TF,25000,99000,14.44625
WL,1,1,22,22,TF,25000,99000,14.93375
WL,1,1,23,23,TF,25000,99000,15.4375
WL,1,1,24,24,TF,25000,99000,15.925
WL,1,1,25,25,TF,25000,99000,16.42875
WL,1,1,26,26,TF,25000,99000,16.9325
WL,1,1,27,27,TF,25000,99000,17.42
WL,1,1,28,28,TF,25000,99000,17.92375
WL,1,1,29,29,TF,25000,99000,18.41125
WL,1,1,30,30,TF,25000,99000,18.915
WL,1,1,31,31,TF,25000,99000,19.80875
WL,1,1,32,32,TF,25000,99000,20.7025
WL,1,1,33,33,TF,25000,99000,21.59625
WL,1,1,34,34,TF,25000,99000,22.49
WL,1,1,35,35,TF,25000,99000,23.38375
WL,1,1,36,36,TF,25000,99000,24.2775
WL,1,1,37,37,TF,25000,99000,25.17125
WL,1,1,38,38,TF,25000,99000,26.065
WL,1,1,39,39,TF,25000,99000,26.95875
WL,1,1,40,40,TF,25000,99000,27.8525
WL,1,1,41,41,TF,25000,99000,29.38
WL,1,1,42,42,TF,25000,99000,30.92375
WL,1,1,43,43,TF,25000,99000,32.45125
WL,1,1,44,44,TF,25000,99000,33.995
WL,1,1,45,45,TF,25000,99000,35.5225
WL,1,1,46,46,TF,25000,99000,37.05
WL,1,1,47,47,TF,25000,99000,38.59375
WL,1,1,48,48,TF,25000,99000,40.12125
WL,1,1,49,49,TF,25000,99000,41.665
WL,1,1,50,50,TF,25000,99000,43.1925
WL,1,1,51,51,TF,25000,99000,45.9225
WL,1,1,52,52,TF,25000,99000,48.63625
WL,1,1,53,53,TF,25000,99000,51.36625
WL,1,1,54,54,TF,25000,99000,54.08
WL,1,1,55,55,TF,25000,99000,56.81
WL,1,1,56,56,TF,25000,99000,59.54
WL,1,1,57,57,TF,25000,99000,62.25375
WL,1,1,58,58,TF,25000,99000,64.98375
WL,1,1,59,59,TF,25000,99000,67.6975
WL,1,1,60,60,TF,25000,99000,70.4275
WL,1,1,61,61,TF,25000,99000,75.22125
WL,1,1,62,62,TF,25000,99000,80.015
WL,1,1,63,63,TF,25000,99000,84.825
WL,1,1,64,64,TF,25000,99000,89.61875
WL,1,1,65,65,TF,25000,99000,94.4125
WL,1,1,66,66,TF,25000,99000,99.20625
WL,1,1,67,67,TF,25000,99000,104
WL,1,1,68,68,TF,25000,99000,108.81
WL,1,1,69,69,TF,25000,99000,113.60375
WL,1,1,70,70,TF,25000,99000,118.3975
WL,1,1,71,71,TF,25000,99000,145.6325
WL,1,1,72,72,TF,25000,99000,172.8675
WL,1,1,73,73,TF,25000,99000,200.08625
WL,1,1,74,74,TF,25000,99000,227.32125
WL,1,1,75,75,TF,25000,99000,254.55625
WL,1,1,76,76,TF,25000,99000,281.79125
WL,1,1,77,77,TF,25000,99000,309.01
WL,1,1,78,78,TF,25000,99000,336.245
