Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
WL,1,0,18,18,PP,500000,1000000,3.74
WL,1,0,19,19,PP,500000,1000000,3.78
WL,1,0,20,20,PP,500000,1000000,3.83
WL,1,0,21,21,PP,500000,1000000,4.04
WL,1,0,22,22,PP,500000,1000000,4.25
WL,1,0,23,23,PP,500000,1000000,4.45
WL,1,0,24,24,PP,500000,1000000,4.66
WL,1,0,25,25,PP,500000,1000000,4.87
WL,1,0,26,26,PP,500000,1000000,5.08
WL,1,0,27,27,PP,500000,1000000,5.29
WL,1,0,28,28,PP,500000,1000000,5.49
WL,1,0,29,29,PP,500000,1000000,5.7
WL,1,0,30,30,PP,500000,1000000,5.91
WL,1,0,31,31,PP,500000,1000000,6.24
WL,1,0,32,32,PP,500000,1000000,6.58
WL,1,0,33,33,PP,500000,1000000,6.91
WL,1,0,34,34,PP,500000,1000000,7.24
WL,1,0,35,35,PP,500000,1000000,7.58
WL,1,0,36,36,PP,500000,1000000,7.91
WL,1,0,37,37,PP,500000,1000000,8.24
WL,1,0,38,38,PP,500000,1000000,8.57
WL,1,0,39,39,PP,500000,1000000,8.91
WL,1,0,40,40,PP,500000,1000000,9.24
WL,1,0,41,41,PP,500000,1000000,9.78
WL,1,0,42,42,PP,500000,1000000,10.33
WL,1,0,43,43,PP,500000,1000000,10.87
WL,1,0,44,44,PP,500000,1000000,11.41
WL,1,0,45,45,PP,500000,1000000,11.96
WL,1,0,46,46,PP,500000,1000000,12.5
WL,1,0,47,47,PP,500000,1000000,13.04
WL,1,0,48,48,PP,500000,1000000,13.58
WL,1,0,49,49,PP,500000,1000000,14.13
WL,1,0,50,50,PP,500000,1000000,14.67
WL,1,0,51,51,PP,500000,1000000,15.57
WL,1,0,52,52,PP,500000,1000000,16.47
WL,1,0,53,53,PP,500000,1000000,17.37
WL,1,0,54,54,PP,500000,1000000,18.27
WL,1,0,55,55,PP,500000,1000000,19.17
WL,1,0,56,56,PP,500000,1000000,20.06
WL,1,0,57,57,PP,500000,1000000,20.96
WL,1,0,58,58,PP,500000,1000000,21.86
WL,1,0,59,59,PP,500000,1000000,22.76
WL,1,0,60,60,PP,500000,1000000,23.66
WL,1,0,61,61,PP,500000,1000000,25.35
WL,1,0,62,62,PP,500000,1000000,27.04
WL,1,0,63,63,PP,500000,1000000,28.73
WL,1,0,64,64,PP,500000,1000000,30.42
WL,1,0,65,65,PP,500000,1000000,32.11
WL,1,0,66,66,PP,500000,1000000,33.79
WL,1,0,67,67,PP,500000,1000000,35.48
WL,1,0,68,68,PP,500000,1000000,37.17
WL,1,0,69,69,PP,500000,1000000,38.86
WL,1,0,70,70,PP,500000,1000000,40.55
WL,1,0,71,71,PP,500000,1000000,49.88
WL,1,0,72,72,PP,500000,1000000,59.2
WL,1,0,73,73,PP,500000,1000000,68.53
WL,1,0,74,74,PP,500000,1000000,77.86
WL,1,0,75,75,PP,500000,1000000,87.19
WL,1,0,76,76,PP,500000,1000000,96.51
WL,1,0,77,77,PP,500000,1000000,105.84
WL,1,0,78,78,PP,500000,1000000,115.17
WL,1,0,79,79,PP,500000,1000000,124.49
WL,1,0,80,80,PP,500000,1000000,133.82
WL,1,0,18,18,PF,500000,1000000,3.98
WL,1,0,19,19,PF,500000,1000000,4.01
WL,1,0,20,20,PF,500000,1000000,4.04
WL,1,0,21,21,PF,500000,1000000,4.26
WL,1,0,22,22,PF,500000,1000000,4.47
WL,1,0,23,23,PF,500000,1000000,4.69
WL,1,0,24,24,PF,500000,1000000,4.9
WL,1,0,25,25,PF,500000,1000000,5.12
WL,1,0,26,26,PF,500000,1000000,5.34
WL,1,0,27,27,PF,500000,1000000,5.55
WL,1,0,28,28,PF,500000,1000000,5.77
WL,1,0,29,29,PF,500000,1000000,5.98
WL,1,0,30,30,PF,500000,1000000,6.2
WL,1,0,31,31,PF,500000,1000000,6.54
WL,1,0,32,32,PF,500000,1000000,6.88
WL,1,0,33,33,PF,500000,1000000,7.21
WL,1,0,34,34,PF,500000,1000000,7.55
WL,1,0,35,35,PF,500000,1000000,7.89
WL,1,0,36,36,PF,500000,1000000,8.23
WL,1,0,37,37,PF,500000,1000000,8.57
WL,1,0,38,38,PF,500000,1000000,8.9
WL,1,0,39,39,PF,500000,1000000,9.24
WL,1,0,40,40,PF,500000,1000000,9.58
WL,1,0,41,41,PF,500000,1000000,10.12
WL,1,0,42,42,PF,500000,1000000,10.67
WL,1,0,43,43,PF,500000,1000000,11.21
WL,1,0,44,44,PF,500000,1000000,11.75
WL,1,0,45,45,PF,500000,1000000,12.3
WL,1,0,46,46,PF,500000,1000000,12.84
WL,1,0,47,47,PF,500000,1000000,13.38
WL,1,0,48,48,PF,500000,1000000,13.92
WL,1,0,49,49,PF,500000,1000000,14.47
WL,1,0,50,50,PF,500000,1000000,15.01
WL,1,0,51,51,PF,500000,1000000,15.92
WL,1,0,52,52,PF,500000,1000000,16.83
WL,1,0,53,53,PF,500000,1000000,17.74
WL,1,0,54,54,PF,500000,1000000,18.65
WL,1,0,55,55,PF,500000,1000000,19.56
WL,1,0,56,56,PF,500000,1000000,20.47
WL,1,0,57,57,PF,500000,1000000,21.38
WL,1,0,58,58,PF,500000,1000000,22.29
WL,1,0,59,59,PF,500000,1000000,23.2
WL,1,0,60,60,PF,500000,1000000,24.11
WL,1,0,61,61,PF,500000,1000000,25.78
WL,1,0,62,62,PF,500000,1000000,27.44
WL,1,0,63,63,PF,500000,1000000,29.11
WL,1,0,64,64,PF,500000,1000000,30.78
WL,1,0,65,65,PF,500000,1000000,32.45
WL,1,0,66,66,PF,500000,1000000,34.11
WL,1,0,67,67,PF,500000,1000000,35.78
WL,1,0,68,68,PF,500000,1000000,37.45
WL,1,0,69,69,PF,500000,1000000,39.11
WL,1,0,70,70,PF,500000,1000000,40.78
WL,1,0,71,71,PF,500000,1000000,50.16
WL,1,0,72,72,PF,500000,1000000,59.54
WL,1,0,73,73,PF,500000,1000000,68.92
WL,1,0,74,74,PF,500000,1000000,78.3
WL,1,0,75,75,PF,500000,1000000,87.68
WL,1,0,76,76,PF,500000,1000000,97.05
WL,1,0,77,77,PF,500000,1000000,106.43
WL,1,0,78,78,PF,500000,1000000,115.81
WL,1,0,79,79,PF,500000,1000000,125.19
WL,1,0,80,80,PF,500000,1000000,134.57
WL,1,0,18,18,ST,500000,1000000,4.2
WL,1,0,19,19,ST,500000,1000000,4.24
WL,1,0,20,20,ST,500000,1000000,4.28
WL,1,0,21,21,ST,500000,1000000,4.5
WL,1,0,22,22,ST,500000,1000000,4.71
WL,1,0,23,23,ST,500000,1000000,4.93
WL,1,0,24,24,ST,500000,1000000,5.14
WL,1,0,25,25,ST,500000,1000000,5.36
WL,1,0,26,26,ST,500000,1000000,5.57
WL,1,0,27,27,ST,500000,1000000,5.79
WL,1,0,28,28,ST,500000,1000000,6
WL,1,0,29,29,ST,500000,1000000,6.22
WL,1,0,30,30,ST,500000,1000000,6.43
WL,1,0,31,31,ST,500000,1000000,6.81
WL,1,0,32,32,ST,500000,1000000,7.18
WL,1,0,33,33,ST,500000,1000000,7.56
WL,1,0,34,34,ST,500000,1000000,7.93
WL,1,0,35,35,ST,500000,1000000,8.31
WL,1,0,36,36,ST,500000,1000000,8.69
WL,1,0,37,37,ST,500000,1000000,9.06
WL,1,0,38,38,ST,500000,1000000,9.44
WL,1,0,39,39,ST,500000,1000000,9.81
WL,1,0,40,40,ST,500000,1000000,10.19
WL,1,0,41,41,ST,500000,1000000,10.81
WL,1,0,42,42,ST,500000,1000000,11.44
WL,1,0,43,43,ST,500000,1000000,12.06
WL,1,0,44,44,ST,500000,1000000,12.69
WL,1,0,45,45,ST,500000,1000000,13.31
WL,1,0,46,46,ST,500000,1000000,13.93
WL,1,0,47,47,ST,500000,1000000,14.56
WL,1,0,48,48,ST,500000,1000000,15.18
WL,1,0,49,49,ST,500000,1000000,15.81
WL,1,0,50,50,ST,500000,1000000,16.43
WL,1,0,51,51,ST,500000,1000000,17.51
WL,1,0,52,52,ST,500000,1000000,18.59
WL,1,0,53,53,ST,500000,1000000,19.67
WL,1,0,54,54,ST,500000,1000000,20.75
WL,1,0,55,55,ST,500000,1000000,21.83
WL,1,0,56,56,ST,500000,1000000,22.9
WL,1,0,57,57,ST,500000,1000000,23.98
WL,1,0,58,58,ST,500000,1000000,25.06
WL,1,0,59,59,ST,500000,1000000,26.14
WL,1,0,60,60,ST,500000,1000000,27.22
WL,1,0,61,61,ST,500000,1000000,28.97
WL,1,0,62,62,ST,500000,1000000,30.72
WL,1,0,63,63,ST,500000,1000000,32.46
