Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
TERMDWPD,0,0,18,18,ST,25000,1000000,0.22
TERMDWPD,0,0,19,19,ST,25000,1000000,0.23
TERMDWPD,0,0,20,20,ST,25000,1000000,0.23
TERMDWPD,0,0,21,21,ST,25000,1000000,0.24
TERMDWPD,0,0,22,22,ST,25000,1000000,0.25
TERMDWPD,0,0,23,23,ST,25000,1000000,0.27
TERMDWPD,0,0,24,24,ST,25000,1000000,0.28
TERMDWPD,0,0,25,25,ST,25000,1000000,0.29
TERMDWPD,0,0,26,26,ST,25000,1000000,0.3
TERMDWPD,0,0,27,27,ST,25000,1000000,0.31
TERMDWPD,0,0,28,28,ST,25000,1000000,0.33
TERMDWPD,0,0,29,29,ST,25000,1000000,0.34
TERMDWPD,0,0,30,30,ST,25000,1000000,0.35
TERMDWPD,0,0,31,31,ST,25000,1000000,0.38
TERMDWPD,0,0,32,32,ST,25000,1000000,0.4
TERMDWPD,0,0,33,33,ST,25000,1000000,0.43
TERMDWPD,0,0,34,34,ST,25000,1000000,0.46
TERMDWPD,0,0,35,35,ST,25000,1000000,0.49
TERMDWPD,0,0,36,36,ST,25000,1000000,0.51
TERMDWPD,0,0,37,37,ST,25000,1000000,0.54
TERMDWPD,0,0,38,38,ST,25000,1000000,0.57
TERMDWPD,0,0,39,39,ST,25000,1000000,0.59
TERMDWPD,0,0,40,40,ST,25000,1000000,0.62
TERMDWPD,0,0,41,41,ST,25000,1000000,0.7
TERMDWPD,0,0,42,42,ST,25000,1000000,0.78
TERMDWPD,0,0,43,43,ST,25000,1000000,0.85
TERMDWPD,0,0,44,44,ST,25000,1000000,0.93
TERMDWPD,0,0,45,45,ST,25000,1000000,1.01
TERMDWPD,0,0,46,46,ST,25000,1000000,1.09
TERMDWPD,0,0,47,47,ST,25000,1000000,1.17
TERMDWPD,0,0,48,48,ST,25000,1000000,1.24
TERMDWPD,0,0,49,49,ST,25000,1000000,1.32
TERMDWPD,0,0,50,50,ST,25000,1000000,1.4
TERMDWPD,0,0,51,51,ST,25000,1000000,1.64
TERMDWPD,0,0,52,52,ST,25000,1000000,1.88
TERMDWPD,0,0,53,53,ST,25000,1000000,2.11
TERMDWPD,0,0,54,54,ST,25000,1000000,2.35
TERMDWPD,0,0,55,55,ST,25000,1000000,2.59
TERMDWPD,0,0,56,56,ST,25000,1000000,2.83
TERMDWPD,0,0,57,57,ST,25000,1000000,3.06
TERMDWPD,0,0,58,58,ST,25000,1000000,3.3
TERMDWPD,0,0,59,59,ST,25000,1000000,3.3
TERMDWPD,1,0,18,18,ST,25000,1000000,0.2
TERMDWPD,1,0,19,19,ST,25000,1000000,0.2
TERMDWPD,1,0,20,20,ST,25000,1000000,0.2
TERMDWPD,1,0,21,21,ST,25000,1000000,0.21
TERMDWPD,1,0,22,22,ST,25000,1000000,0.22
TERMDWPD,1,0,23,23,ST,25000,1000000,0.23
TERMDWPD,1,0,24,24,ST,25000,1000000,0.24
TERMDWPD,1,0,25,25,ST,25000,1000000,0.26
TERMDWPD,1,0,26,26,ST,25000,1000000,0.27
TERMDWPD,1,0,27,27,ST,25000,1000000,0.28
TERMDWPD,1,0,28,28,ST,25000,1000000,0.29
TERMDWPD,1,0,29,29,ST,25000,1000000,0.3
TERMDWPD,1,0,30,30,ST,25000,1000000,0.31
TERMDWPD,1,0,31,31,ST,25000,1000000,0.34
TERMDWPD,1,0,32,32,ST,25000,1000000,0.36
TERMDWPD,1,0,33,33,ST,25000,1000000,0.39
TERMDWPD,1,0,34,34,ST,25000,1000000,0.41
TERMDWPD,1,0,35,35,ST,25000,1000000,0.44
TERMDWPD,1,0,36,36,ST,25000,1000000,0.46
TERMDWPD,1,0,37,37,ST,25000,1000000,0.49
