Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
TERM10D,0,0,18,18,ST,25000,99000,2.55
TERM10D,0,0,19,19,ST,25000,99000,2.56
TERM10D,0,0,20,20,ST,25000,99000,2.57
TERM10D,0,0,21,21,ST,25000,99000,2.58
TERM10D,0,0,22,22,ST,25000,99000,2.6
TERM10D,0,0,23,23,ST,25000,99000,2.61
TERM10D,0,0,24,24,ST,25000,99000,2.62
TERM10D,0,0,25,25,ST,25000,99000,2.64
TERM10D,0,0,26,26,ST,25000,99000,2.65
TERM10D,0,0,27,27,ST,25000,99000,2.66
TERM10D,0,0,28,28,ST,25000,99000,2.67
TERM10D,0,0,29,29,ST,25000,99000,2.69
TERM10D,0,0,30,30,ST,25000,99000,2.7
TERM10D,0,0,31,31,ST,25000,99000,2.75
TERM10D,0,0,32,32,ST,25000,99000,2.8
TERM10D,0,0,33,33,ST,25000,99000,2.85
TERM10D,0,0,34,34,ST,25000,99000,2.9
TERM10D,0,0,35,35,ST,25000,99000,2.95
TERM10D,0,0,36,36,ST,25000,99000,2.99
TERM10D,0,0,37,37,ST,25000,99000,3.04
TERM10D,0,0,38,38,ST,25000,99000,3.09
TERM10D,0,0,39,39,ST,25000,99000,3.14
TERM10D,0,0,40,40,ST,25000,99000,3.19
TERM10D,0,0,41,41,ST,25000,99000,3.34
TERM10D,0,0,42,42,ST,25000,99000,3.49
TERM10D,0,0,43,43,ST,25000,99000,3.65
TERM10D,0,0,44,44,ST,25000,99000,3.8
TERM10D,0,0,45,45,ST,25000,99000,3.95
TERM10D,0,0,46,46,ST,25000,99000,4.1
TERM10D,0,0,47,47,ST,25000,99000,4.25
TERM10D,0,0,48,48,ST,25000,99000,4.41
TERM10D,0,0,49,49,ST,25000,99000,4.56
TERM10D,0,0,50,50,ST,25000,99000,4.71
TERM10D,0,0,51,51,ST,25000,99000,5.1
TERM10D,0,0,52,52,ST,25000,99000,5.49
TERM10D,0,0,53,53,ST,25000,99000,5.88
TERM10D,0,0,54,54,ST,25000,99000,6.27
TERM10D,0,0,55,55,ST,25000,99000,6.66
TERM10D,0,0,56,56,ST,25000,99000,7.05
TERM10D,0,0,57,57,ST,25000,99000,7.44
TERM10D,0,0,58,58,ST,25000,99000,7.83
TERM10D,0,0,59,59,ST,25000,99000,8.22
TERM10D,0,0,60,60,ST,25000,99000,8.61
TERM10D,0,0,61,61,ST,25000,99000,9.59
TERM10D,0,0,62,62,ST,25000,99000,10.57
TERM10D,0,0,63,63,ST,25000,99000,11.56
TERM10D,0,0,64,64,ST,25000,99000,12.54
TERM10D,0,0,65,65,ST,25000,99000,13.52
TERM10D,0,0,66,66,ST,25000,99000,14.5
TERM10D,0,0,67,67,ST,25000,99000,15.48
TERM10D,0,0,68,68,ST,25000,99000,16.47
TERM10D,0,0,69,69,ST,25000,99000,17.45
TERM10D,0,0,70,70,ST,25000,99000,18.43
TERM10D,0,1,18,18,ST,25000,99000,3.68
TERM10D,0,1,19,19,ST,25000,99000,3.73
TERM10D,0,1,20,20,ST,25000,99000,3.78
TERM10D,0,1,21,21,ST,25000,99000,3.83
TERM10D,0,1,22,22,ST,25000,99000,3.89
TERM10D,0,1,23,23,ST,25000,99000,3.94
TERM10D,0,1,24,24,ST,25000,99000,3.99
TERM10D,0,1,25,25,ST,25000,99000,4.05
TERM10D,0,1,26,26,ST,25000,99000,4.1
TERM10D,0,1,27,27,ST,25000,99000,4.15
TERM10D,0,1,28,28,ST,25000,99000,4.2
TERM10D,0,1,29,29,ST,25000,99000,4.26
TERM10D,0,1,30,30,ST,25000,99000,4.31
TERM10D,0,1,31,31,ST,25000,99000,4.47
TERM10D,0,1,32,32,ST,25000,99000,4.62
TERM10D,0,1,33,33,ST,25000,99000,4.78
TERM10D,0,1,34,34,ST,25000,99000,4.94
TERM10D,0,1,35,35,ST,25000,99000,5.1
TERM10D,0,1,36,36,ST,25000,99000,5.25
TERM10D,0,1,37,37,ST,25000,99000,5.41
TERM10D,0,1,38,38,ST,25000,99000,5.57
TERM10D,0,1,39,39,ST,25000,99000,5.72
TERM10D,0,1,40,40,ST,25000,99000,5.88
TERM10D,0,1,41,41,ST,25000,99000,6.31
TERM10D,0,1,42,42,ST,25000,99000,6.74
TERM10D,0,1,43,43,ST,25000,99000,7.17
TERM10D,0,1,44,44,ST,25000,99000,7.6
TERM10D,0,1,45,45,ST,25000,99000,8.04
TERM10D,0,1,46,46,ST,25000,99000,8.47
TERM10D,0,1,47,47,ST,25000,99000,8.9
TERM10D,0,1,48,48,ST,25000,99000,9.33
TERM10D,0,1,49,49,ST,25000,99000,9.76
TERM10D,0,1,50,50,ST,25000,99000,10.19
TERM10D,0,1,51,51,ST,25000,99000,11.44
TERM10D,0,1,52,52,ST,25000,99000,12.69
TERM10D,0,1,53,53,ST,25000,99000,13.94
TERM10D,0,1,54,54,ST,25000,99000,15.19
TERM10D,0,1,55,55,ST,25000,99000,16.44
TERM10D,0,1,56,56,ST,25000,99000,17.68
TERM10D,0,1,57,57,ST,25000,99000,18.93
TERM10D,0,1,58,58,ST,25000,99000,20.18
TERM10D,0,1,59,59,ST,25000,99000,21.43
TERM10D,0,1,60,60,ST,25000,99000,22.68
TERM10D,0,1,61,61,ST,25000,99000,25.04
TERM10D,0,1,62,62,ST,25000,99000,27.41
TERM10D,0,1,63,63,ST,25000,99000,29.77
TERM10D,0,1,64,64,ST,25000,99000,32.13
TERM10D,0,1,65,65,ST,25000,99000,34.5
TERM10D,0,1,66,66,ST,25000,99000,36.86
TERM10D,0,1,67,67,ST,25000,99000,39.22
TERM10D,0,1,68,68,ST,25000,99000,41.58
TERM10D,0,1,69,69,ST,25000,99000,43.95
TERM10D,0,1,70,70,ST,25000,99000,46.31
TERM10D,1,0,18,18,ST,25000,99000,2.85
TERM10D,1,0,19,19,ST,25000,99000,2.88
TERM10D,1,0,20,20,ST,25000,99000,2.9
TERM10D,1,0,21,21,ST,25000,99000,2.91
TERM10D,1,0,22,22,ST,25000,99000,2.92
TERM10D,1,0,23,23,ST,25000,99000,2.94
