Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
TERM20D,0,0,18,18,PF,100000,300000,1.06
TERM20D,0,0,19,19,PF,100000,300000,1.07
TERM20D,0,0,20,20,PF,100000,300000,1.08
TERM20D,0,0,21,21,PF,100000,300000,1.1
TERM20D,0,0,22,22,PF,100000,300000,1.11
TERM20D,0,0,23,23,PF,100000,300000,1.13
TERM20D,0,0,24,24,PF,100000,300000,1.14
TERM20D,0,0,25,25,PF,100000,300000,1.16
TERM20D,0,0,26,26,PF,100000,300000,1.18
TERM20D,0,0,27,27,PF,100000,300000,1.19
TERM20D,0,0,28,28,PF,100000,300000,1.21
TERM20D,0,0,29,29,PF,100000,300000,1.22
TERM20D,0,0,30,30,PF,100000,300000,1.24
TERM20D,0,0,31,31,PF,100000,300000,1.29
TERM20D,0,0,32,32,PF,100000,300000,1.34
TERM20D,0,0,33,33,PF,100000,300000,1.39
TERM20D,0,0,34,34,PF,100000,300000,1.44
TERM20D,0,0,35,35,PF,100000,300000,1.49
TERM20D,0,0,36,36,PF,100000,300000,1.53
TERM20D,0,0,37,37,PF,100000,300000,1.58
TERM20D,0,0,38,38,PF,100000,300000,1.63
TERM20D,0,0,39,39,PF,100000,300000,1.68
TERM20D,0,0,40,40,PF,100000,300000,1.73
TERM20D,0,0,41,41,PF,100000,300000,1.89
TERM20D,0,0,42,42,PF,100000,300000,2.04
TERM20D,0,0,43,43,PF,100000,300000,2.2
TERM20D,0,0,44,44,PF,100000,300000,2.35
TERM20D,0,0,45,45,PF,100000,300000,2.51
TERM20D,0,0,46,46,PF,100000,300000,2.67
TERM20D,0,0,47,47,PF,100000,300000,2.82
TERM20D,0,0,48,48,PF,100000,300000,2.98
TERM20D,0,0,49,49,PF,100000,300000,3.13
TERM20D,0,0,50,50,PF,100000,300000,3.29
TERM20D,0,0,51,51,PF,100000,300000,3.77
TERM20D,0,0,52,52,PF,100000,300000,4.24
TERM20D,0,0,53,53,PF,100000,300000,4.72
TERM20D,0,0,54,54,PF,100000,300000,5.19
TERM20D,0,0,55,55,PF,100000,300000,5.67
TERM20D,0,0,56,56,PF,100000,300000,6.14
TERM20D,0,0,57,57,PF,100000,300000,6.62
TERM20D,0,0,58,58,PF,100000,300000,7.09
TERM20D,0,0,59,59,PF,100000,300000,7.57
TERM20D,0,0,60,60,PF,100000,300000,8.04
TERM20D,0,0,18,18,ST,100000,300000,1.1
TERM20D,0,0,19,19,ST,100000,300000,1.13
TERM20D,0,0,20,20,ST,100000,300000,1.15
TERM20D,0,0,21,21,ST,100000,300000,1.17
TERM20D,0,0,22,22,ST,100000,300000,1.2
TERM20D,0,0,23,23,ST,100000,300000,1.22
TERM20D,0,0,24,24,ST,100000,300000,1.24
TERM20D,0,0,25,25,ST,100000,300000,1.27
TERM20D,0,0,26,26,ST,100000,300000,1.29
TERM20D,0,0,27,27,ST,100000,300000,1.31
TERM20D,0,0,28,28,ST,100000,300000,1.33
TERM20D,0,0,29,29,ST,100000,300000,1.36
TERM20D,0,0,30,30,ST,100000,300000,1.38
