Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,
TERM15D,1,0,18,18,TC,500000,1000000,1.9775
TERM15D,1,0,19,19,TC,500000,1000000,1.995
TERM15D,1,0,20,20,TC,500000,1000000,1.995
TERM15D,1,0,21,21,TC,500000,1000000,2.0125
TERM15D,1,0,22,22,TC,500000,1000000,2.0125
TERM15D,1,0,23,23,TC,500000,1000000,2.03
TERM15D,1,0,24,24,TC,500000,1000000,2.03
TERM15D,1,0,25,25,TC,500000,1000000,2.0475
TERM15D,1,0,26,26,TC,500000,1000000,2.065
TERM15D,1,0,27,27,TC,500000,1000000,2.065
TERM15D,1,0,28,28,TC,500000,1000000,2.0825
TERM15D,1,0,29,29,TC,500000,1000000,2.0825
TERM15D,1,0,30,30,TC,500000,1000000,2.1
TERM15D,1,0,31,31,TC,500000,1000000,2.205
TERM15D,1,0,32,32,TC,500000,1000000,2.3275
TERM15D,1,0,33,33,TC,500000,1000000,2.4325
TERM15D,1,0,34,34,TC,500000,1000000,2.5375
TERM15D,1,0,35,35,TC,500000,1000000,2.66
TERM15D,1,0,36,36,TC,500000,1000000,2.765
TERM15D,1,0,37,37,TC,500000,1000000,2.87
TERM15D,1,0,38,38,TC,500000,1000000,2.975
TERM15D,1,0,39,39,TC,500000,1000000,3.0975
TERM15D,1,0,40,40,TC,500000,1000000,3.2025
TERM15D,1,0,41,41,TC,500000,1000000,3.5525
TERM15D,1,0,42,42,TC,500000,1000000,3.885
TERM15D,1,0,43,43,TC,500000,1000000,4.235
TERM15D,1,0,44,44,TC,500000,1000000,4.585
TERM15D,1,0,45,45,TC,500000,1000000,4.935
TERM15D,1,0,46,46,TC,500000,1000000,5.2675
TERM15D,1,0,47,47,TC,500000,1000000,5.6175
TERM15D,1,0,48,48,TC,500000,1000000,5.9675
TERM15D,1,0,49,49,TC,500000,1000000,6.3
TERM15D,1,0,50,50,TC,500000,1000000,6.65
TERM15D,1,0,51,51,TC,500000,1000000,7.595
TERM15D,1,0,52,52,TC,500000,1000000,8.5225
TERM15D,1,0,53,53,TC,500000,1000000,9.4675
TERM15D,1,0,54,54,TC,500000,1000000,10.395
TERM15D,1,0,55,55,TC,500000,1000000,11.34
TERM15D,1,0,56,56,TC,500000,1000000,12.285
TERM15D,1,0,57,57,TC,500000,1000000,13.2125
TERM15D,1,0,58,58,TC,500000,1000000,14.1575
TERM15D,1,0,59,59,TC,500000,1000000,15.085
TERM15D,1,0,60,60,TC,500000,1000000,16.03
TERM15D,1,0,61,61,TC,500000,1000000,17.7625
TERM15D,1,0,62,62,TC,500000,1000000,19.495
TERM15D,1,0,63,63,TC,500000,1000000,21.2275
TERM15D,1,0,64,64,TC,500000,1000000,22.9425
TERM15D,1,0,65,65,TC,500000,1000000,24.675
TERM15D,1,1,18,18,TC,500000,1000000,3.5875
TERM15D,1,1,19,19,TC,500000,1000000,3.6575
TERM15D,1,1,20,20,TC,500000,1000000,3.7275
TERM15D,1,1,21,21,TC,500000,1000000,3.7975
TERM15D,1,1,22,22,TC,500000,1000000,3.8675
TERM15D,1,1,23,23,TC,500000,1000000,3.9375
TERM15D,1,1,24,24,TC,500000,1000000,4.0075
TERM15D,1,1,25,25,TC,500000,1000000,4.095
TERM15D,1,1,26,26,TC,500000,1000000,4.165
TERM15D,1,1,27,27,TC,500000,1000000,4.235
TERM15D,1,1,28,28,TC,500000,1000000,4.305
TERM15D,1,1,29,29,TC,500000,1000000,4.375
TERM15D,1,1,30,30,TC,500000,1000000,4.445
TERM15D,1,1,31,31,TC,500000,1000000,4.76
TERM15D,1,1,32,32,TC,500000,1000000,5.0925
TERM15D,1,1,33,33,TC,500000,1000000,5.4075
TERM15D,1,1,34,34,TC,500000,1000000,5.74
TERM15D,1,1,35,35,TC,500000,1000000,6.055
TERM15D,1,1,36,36,TC,500000,1000000,6.37
TERM15D,1,1,37,37,TC,500000,1000000,6.7025
TERM15D,1,1,38,38,TC,500000,1000000,7.0175
TERM15D,1,1,39,39,TC,500000,1000000,7.35
TERM15D,1,1,40,40,TC,500000,1000000,7.665
TERM15D,1,1,41,41,TC,500000,1000000,8.5925
TERM15D,1,1,42,42,TC,500000,1000000,9.5025
TERM15D,1,1,43,43,TC,500000,1000000,10.43
TERM15D,1,1,44,44,TC,500000,1000000,11.34
TERM15D,1,1,45,45,TC,500000,1000000,12.2675
TERM15D,1,1,46,46,TC,500000,1000000,13.195
TERM15D,1,1,47,47,TC,500000,1000000,14.105
TERM15D,1,1,48,48,TC,500000,1000000,15.0325
TERM15D,1,1,49,49,TC,500000,1000000,15.9425
TERM15D,1,1,50,50,TC,500000,1000000,16.87
TERM15D,1,1,51,51,TC,500000,1000000,18.865
TERM15D,1,1,52,52,TC,500000,1000000,20.8425
TERM15D,1,1,53,53,TC,500000,1000000,22.8375
TERM15D,1,1,54,54,TC,500000,1000000,24.8325
TERM15D,1,1,55,55,TC,500000,1000000,26.8275
TERM15D,1,1,56,56,TC,500000,1000000,28.805
TERM15D,1,1,57,57,TC,500000,1000000,30.8
TERM15D,1,1,58,58,TC,500000,1000000,32.795
TERM15D,1,1,59,59,TC,500000,1000000,34.7725
TERM15D,1,1,60,60,TC,500000,1000000,36.7675
TERM15D,1,1,61,61,TC,500000,1000000,40.075
TERM15D,1,1,62,62,TC,500000,1000000,43.3825
TERM15D,1,1,63,63,TC,500000,1000000,46.69
TERM15D,1,1,64,64,TC,500000,1000000,49.9975
TERM15D,1,1,65,65,TC,500000,1000000,53.305
