Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
TERM30D,0,0,18,18,TC,25000,99000,5.3375
TERM30D,0,0,19,19,TC,25000,99000,5.3725
TERM30D,0,0,20,20,TC,25000,99000,5.4075
TERM30D,0,0,21,21,TC,25000,99000,5.4425
TERM30D,0,0,22,22,TC,25000,99000,5.495
TERM30D,0,0,23,23,TC,25000,99000,5.53
TERM30D,0,0,24,24,TC,25000,99000,5.565
TERM30D,0,0,25,25,TC,25000,99000,5.6175
TERM30D,0,0,26,26,TC,25000,99000,5.6525
TERM30D,0,0,27,27,TC,25000,99000,5.6875
TERM30D,0,0,28,28,TC,25000,99000,5.7225
TERM30D,0,0,29,29,TC,25000,99000,5.775
TERM30D,0,0,30,30,TC,25000,99000,5.81
TERM30D,0,0,31,31,TC,25000,99000,5.9675
TERM30D,0,0,32,32,TC,25000,99000,6.1075
TERM30D,0,0,33,33,TC,25000,99000,6.265
TERM30D,0,0,34,34,TC,25000,99000,6.4225
TERM30D,0,0,35,35,TC,25000,99000,6.58
TERM30D,0,0,36,36,TC,25000,99000,6.72
TERM30D,0,0,37,37,TC,25000,99000,6.8775
TERM30D,0,0,38,38,TC,25000,99000,7.035
TERM30D,0,0,39,39,TC,25000,99000,7.175
TERM30D,0,0,40,40,TC,25000,99000,7.3325
TERM30D,0,0,41,41,TC,25000,99000,7.805
TERM30D,0,0,42,42,TC,25000,99000,8.2775
TERM30D,0,0,43,43,TC,25000,99000,8.75
TERM30D,0,0,44,44,TC,25000,99000,9.2225
TERM30D,0,0,45,45,TC,25000,99000,9.7125
TERM30D,0,0,46,46,TC,25000,99000,10.185
TERM30D,0,0,47,47,TC,25000,99000,10.6575
TERM30D,0,0,48,48,TC,25000,99000,11.13
TERM30D,0,0,49,49,TC,25000,99000,11.6025
TERM30D,0,0,50,50,TC,25000,99000,12.075
TERM30D,0,1,18,18,TC,25000,99000,7.035
TERM30D,0,1,19,19,TC,25000,99000,7.14
TERM30D,0,1,20,20,TC,25000,99000,7.245
TERM30D,0,1,21,21,TC,25000,99000,7.35
TERM30D,0,1,22,22,TC,25000,99000,7.455
TERM30D,0,1,23,23,TC,25000,99000,7.56
TERM30D,0,1,24,24,TC,25000,99000,7.665
TERM30D,0,1,25,25,TC,25000,99000,7.77
TERM30D,0,1,26,26,TC,25000,99000,7.8575
TERM30D,0,1,27,27,TC,25000,99000,7.9625
TERM30D,0,1,28,28,TC,25000,99000,8.0675
TERM30D,0,1,29,29,TC,25000,99000,8.1725
TERM30D,0,1,30,30,TC,25000,99000,8.2775
TERM30D,0,1,31,31,TC,25000,99000,8.715
TERM30D,0,1,32,32,TC,25000,99000,9.135
TERM30D,0,1,33,33,TC,25000,99000,9.5725
TERM30D,0,1,34,34,TC,25000,99000,10.01
TERM30D,0,1,35,35,TC,25000,99000,10.4475
TERM30D,0,1,36,36,TC,25000,99000,10.8675
TERM30D,0,1,37,37,TC,25000,99000,11.305
TERM30D,0,1,38,38,TC,25000,99000,11.7425
TERM30D,0,1,39,39,TC,25000,99000,12.1625
TERM30D,0,1,40,40,TC,25000,99000,12.6
TERM30D,0,1,41,41,TC,25000,99000,13.685
TERM30D,0,1,42,42,TC,25000,99000,14.7525
TERM30D,0,1,43,43,TC,25000,99000,15.8375
TERM30D,0,1,44,44,TC,25000,99000,16.9225
TERM30D,0,1,45,45,TC,25000,99000,18.0075
TERM30D,0,1,46,46,TC,25000,99000,19.075
TERM30D,0,1,47,47,TC,25000,99000,20.16
TERM30D,0,1,48,48,TC,25000,99000,21.245
TERM30D,0,1,49,49,TC,25000,99000,22.3125
TERM30D,0,1,50,50,TC,25000,99000,23.3975
TERM30D,1,0,18,18,TC,25000,99000,6.0725
TERM30D,1,0,19,19,TC,25000,99000,6.09
TERM30D,1,0,20,20,TC,25000,99000,6.1075
TERM30D,1,0,21,21,TC,25000,99000,6.125
TERM30D,1,0,22,22,TC,25000,99000,6.16
TERM30D,1,0,23,23,TC,25000,99000,6.1775
TERM30D,1,0,24,24,TC,25000,99000,6.2125
TERM30D,1,0,25,25,TC,25000,99000,6.23
TERM30D,1,0,26,26,TC,25000,99000,6.2475
TERM30D,1,0,27,27,TC,25000,99000,6.2825
TERM30D,1,0,28,28,TC,25000,99000,6.3
TERM30D,1,0,29,29,TC,25000,99000,6.335
TERM30D,1,0,30,30,TC,25000,99000,6.3525
TERM30D,1,0,31,31,TC,25000,99000,6.58
TERM30D,1,0,32,32,TC,25000,99000,6.8075
TERM30D,1,0,33,33,TC,25000,99000,7.0525
TERM30D,1,0,34,34,TC,25000,99000,7.28
TERM30D,1,0,35,35,TC,25000,99000,7.5075
TERM30D,1,0,36,36,TC,25000,99000,7.735
TERM30D,1,0,37,37,TC,25000,99000,7.9625
TERM30D,1,0,38,38,TC,25000,99000,8.2075
TERM30D,1,0,39,39,TC,25000,99000,8.435
TERM30D,1,0,40,40,TC,25000,99000,8.6625
TERM30D,1,0,41,41,TC,25000,99000,9.31
TERM30D,1,0,42,42,TC,25000,99000,9.9575
TERM30D,1,0,43,43,TC,25000,99000,10.605
TERM30D,1,0,44,44,TC,25000,99000,11.2525
TERM30D,1,0,45,45,TC,25000,99000,11.9
TERM30D,1,0,46,46,TC,25000,99000,12.53
TERM30D,1,0,47,47,TC,25000,99000,13.1775
TERM30D,1,0,48,48,TC,25000,99000,13.825
TERM30D,1,0,49,49,TC,25000,99000,14.4725
TERM30D,1,0,50,50,TC,25000,99000,15.12
TERM30D,1,1,18,18,TC,25000,99000,8.6275
TERM30D,1,1,19,19,TC,25000,99000,8.715
TERM30D,1,1,20,20,TC,25000,99000,8.8025
TERM30D,1,1,21,21,TC,25000,99000,8.89
TERM30D,1,1,22,22,TC,25000,99000,8.9775
TERM30D,1,1,23,23,TC,25000,99000,9.065
