Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rates
TERM10D,0,0,18,18,TF,25000,99000,6.375
TERM10D,0,0,19,19,TF,25000,99000,6.4
TERM10D,0,0,20,20,TF,25000,99000,6.425
TERM10D,0,0,21,21,TF,25000,99000,6.45
TERM10D,0,0,22,22,TF,25000,99000,6.5
TERM10D,0,0,23,23,TF,25000,99000,6.525
TERM10D,0,0,24,24,TF,25000,99000,6.55
TERM10D,0,0,25,25,TF,25000,99000,6.6
TERM10D,0,0,26,26,TF,25000,99000,6.625
TERM10D,0,0,27,27,TF,25000,99000,6.65
TERM10D,0,0,28,28,TF,25000,99000,6.675
TERM10D,0,0,29,29,TF,25000,99000,6.725
TERM10D,0,0,30,30,TF,25000,99000,6.75
TERM10D,0,0,31,31,TF,25000,99000,6.875
TERM10D,0,0,32,32,TF,25000,99000,7
TERM10D,0,0,33,33,TF,25000,99000,7.125
TERM10D,0,0,34,34,TF,25000,99000,7.25
TERM10D,0,0,35,35,TF,25000,99000,7.375
TERM10D,0,0,36,36,TF,25000,99000,7.475
TERM10D,0,0,37,37,TF,25000,99000,7.6
TERM10D,0,0,38,38,TF,25000,99000,7.725
TERM10D,0,0,39,39,TF,25000,99000,7.85
TERM10D,0,0,40,40,TF,25000,99000,7.975
TERM10D,0,0,41,41,TF,25000,99000,8.35
TERM10D,0,0,42,42,TF,25000,99000,8.725
TERM10D,0,0,43,43,TF,25000,99000,9.125
TERM10D,0,0,44,44,TF,25000,99000,9.5
TERM10D,0,0,45,45,TF,25000,99000,9.875
TERM10D,0,0,46,46,TF,25000,99000,10.25
TERM10D,0,0,47,47,TF,25000,99000,10.625
TERM10D,0,0,48,48,TF,25000,99000,11.025
TERM10D,0,0,49,49,TF,25000,99000,11.4
TERM10D,0,0,50,50,TF,25000,99000,11.775
TERM10D,0,0,51,51,TF,25000,99000,12.75
TERM10D,0,0,52,52,TF,25000,99000,13.725
TERM10D,0,0,53,53,TF,25000,99000,14.7
TERM10D,0,0,54,54,TF,25000,99000,15.675
TERM10D,0,0,55,55,TF,25000,99000,16.65
TERM10D,0,0,56,56,TF,25000,99000,17.625
TERM10D,0,0,57,57,TF,25000,99000,18.6
TERM10D,0,0,58,58,TF,25000,99000,19.575
TERM10D,0,0,59,59,TF,25000,99000,20.55
TERM10D,0,0,60,60,TF,25000,99000,21.525
TERM10D,0,0,61,61,TF,25000,99000,23.975
TERM10D,0,0,62,62,TF,25000,99000,26.425
TERM10D,0,0,63,63,TF,25000,99000,28.9
TERM10D,0,0,64,64,TF,25000,99000,31.35
TERM10D,0,0,65,65,TF,25000,99000,33.8
TERM10D,0,0,66,66,TF,25000,99000,36.25
TERM10D,0,0,67,67,TF,25000,99000,38.7
TERM10D,0,0,68,68,TF,25000,99000,41.175
TERM10D,0,0,69,69,TF,25000,99000,43.625
TERM10D,0,0,70,70,TF,25000,99000,46.075
TERM10D,0,1,18,18,TF,25000,99000,9.2
TERM10D,0,1,19,19,TF,25000,99000,9.325
TERM10D,0,1,20,20,TF,25000,99000,9.45
TERM10D,0,1,21,21,TF,25000,99000,9.575
TERM10D,0,1,22,22,TF,25000,99000,9.725
TERM10D,0,1,23,23,TF,25000,99000,9.85
TERM10D,0,1,24,24,TF,25000,99000,9.975
TERM10D,0,1,25,25,TF,25000,99000,10.125
TERM10D,0,1,26,26,TF,25000,99000,10.25
