Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
TERM15D,1,0,18,18,TF,100000,300000,3.5
TERM15D,1,0,19,19,TF,100000,300000,3.525
TERM15D,1,0,20,20,TF,100000,300000,3.55
TERM15D,1,0,21,21,TF,100000,300000,3.575
TERM15D,1,0,22,22,TF,100000,300000,3.625
TERM15D,1,0,23,23,TF,100000,300000,3.65
TERM15D,1,0,24,24,TF,100000,300000,3.7
TERM15D,1,0,25,25,TF,100000,300000,3.725
TERM15D,1,0,26,26,TF,100000,300000,3.75
TERM15D,1,0,27,27,TF,100000,300000,3.8
TERM15D,1,0,28,28,TF,100000,300000,3.825
TERM15D,1,0,29,29,TF,100000,300000,3.875
TERM15D,1,0,30,30,TF,100000,300000,3.9
TERM15D,1,0,31,31,TF,100000,300000,4.075
TERM15D,1,0,32,32,TF,100000,300000,4.275
TERM15D,1,0,33,33,TF,100000,300000,4.45
TERM15D,1,0,34,34,TF,100000,300000,4.65
TERM15D,1,0,35,35,TF,100000,300000,4.825
TERM15D,1,0,36,36,TF,100000,300000,5
TERM15D,1,0,37,37,TF,100000,300000,5.2
TERM15D,1,0,38,38,TF,100000,300000,5.375
TERM15D,1,0,39,39,TF,100000,300000,5.575
TERM15D,1,0,40,40,TF,100000,300000,5.75
TERM15D,1,0,41,41,TF,100000,300000,6.35
TERM15D,1,0,42,42,TF,100000,300000,6.925
TERM15D,1,0,43,43,TF,100000,300000,7.525
TERM15D,1,0,44,44,TF,100000,300000,8.1
TERM15D,1,0,45,45,TF,100000,300000,8.7
TERM15D,1,0,46,46,TF,100000,300000,9.3
TERM15D,1,0,47,47,TF,100000,300000,9.875
TERM15D,1,0,48,48,TF,100000,300000,10.475
TERM15D,1,0,49,49,TF,100000,300000,11.05
TERM15D,1,0,50,50,TF,100000,300000,11.65
TERM15D,1,0,51,51,TF,100000,300000,13.575
TERM15D,1,0,52,52,TF,100000,300000,15.525
TERM15D,1,0,53,53,TF,100000,300000,17.45
TERM15D,1,0,54,54,TF,100000,300000,19.375
TERM15D,1,0,55,55,TF,100000,300000,21.325
TERM15D,1,0,56,56,TF,100000,300000,23.25
TERM15D,1,0,57,57,TF,100000,300000,25.175
TERM15D,1,0,58,58,TF,100000,300000,27.1
TERM15D,1,0,59,59,TF,100000,300000,29.05
TERM15D,1,0,60,60,TF,100000,300000,30.975
TERM15D,1,0,61,61,TF,100000,300000,34.275
TERM15D,1,0,62,62,TF,100000,300000,37.575
TERM15D,1,0,63,63,TF,100000,300000,40.875
TERM15D,1,0,64,64,TF,100000,300000,44.175
