Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
WLD,1,0,18,18,TC,25000,99000,7.5625
WLD,1,0,19,19,TC,25000,99000,7.6
WLD,1,0,20,20,TC,25000,99000,7.625
WLD,1,0,21,21,TC,25000,99000,7.9
WLD,1,0,22,22,TC,25000,99000,8.175
WLD,1,0,23,23,TC,25000,99000,8.45
WLD,1,0,24,24,TC,25000,99000,8.7125
WLD,1,0,25,25,TC,25000,99000,8.9875
WLD,1,0,26,26,TC,25000,99000,9.2625
WLD,1,0,27,27,TC,25000,99000,9.5375
WLD,1,0,28,28,TC,25000,99000,9.8125
WLD,1,0,29,29,TC,25000,99000,10.075
WLD,1,0,30,30,TC,25000,99000,10.35
WLD,1,0,31,31,TC,25000,99000,10.825
WLD,1,0,32,32,TC,25000,99000,11.2875
WLD,1,0,33,33,TC,25000,99000,11.7625
WLD,1,0,34,34,TC,25000,99000,12.225
WLD,1,0,35,35,TC,25000,99000,12.7
WLD,1,0,36,36,TC,25000,99000,13.175
WLD,1,0,37,37,TC,25000,99000,13.6375
WLD,1,0,38,38,TC,25000,99000,14.1125
WLD,1,0,39,39,TC,25000,99000,14.575
WLD,1,0,40,40,TC,25000,99000,15.05
WLD,1,0,41,41,TC,25000,99000,15.8375
WLD,1,0,42,42,TC,25000,99000,16.625
WLD,1,0,43,43,TC,25000,99000,17.4125
WLD,1,0,44,44,TC,25000,99000,18.2
WLD,1,0,45,45,TC,25000,99000,18.9875
WLD,1,0,46,46,TC,25000,99000,19.775
WLD,1,0,47,47,TC,25000,99000,20.5625
WLD,1,0,48,48,TC,25000,99000,21.35
WLD,1,0,49,49,TC,25000,99000,22.1375
WLD,1,0,50,50,TC,25000,99000,22.925
WLD,1,0,51,51,TC,25000,99000,24.2875
WLD,1,0,52,52,TC,25000,99000,25.6375
WLD,1,0,53,53,TC,25000,99000,27
WLD,1,0,54,54,TC,25000,99000,28.35
WLD,1,0,55,55,TC,25000,99000,29.7125
WLD,1,0,56,56,TC,25000,99000,31.075
WLD,1,0,57,57,TC,25000,99000,32.425
WLD,1,0,58,58,TC,25000,99000,33.7875
WLD,1,0,59,59,TC,25000,99000,35.1375
WLD,1,0,60,60,TC,25000,99000,36.5
WLD,1,0,61,61,TC,25000,99000,38.9625
WLD,1,0,62,62,TC,25000,99000,41.4375
WLD,1,0,63,63,TC,25000,99000,43.9
WLD,1,0,64,64,TC,25000,99000,46.375
WLD,1,0,65,65,TC,25000,99000,48.8375
WLD,1,0,66,66,TC,25000,99000,51.3
WLD,1,0,67,67,TC,25000,99000,53.775
WLD,1,0,68,68,TC,25000,99000,56.2375
WLD,1,0,69,69,TC,25000,99000,58.7125
WLD,1,0,70,70,TC,25000,99000,61.175
WLD,1,0,71,71,TC,25000,99000,75.25
WLD,1,0,72,72,TC,25000,99000,89.3125
WLD,1,0,73,73,TC,25000,99000,103.3875
WLD,1,0,74,74,TC,25000,99000,117.45
WLD,1,0,75,75,TC,25000,99000,131.525
WLD,1,0,76,76,TC,25000,99000,145.6
WLD,1,0,77,77,TC,25000,99000,159.6625
WLD,1,0,78,78,TC,25000,99000,173.7375
WLD,1,0,79,79,TC,25000,99000,187.8125
WLD,1,0,80,80,TC,25000,99000,201.875
WLD,1,1,18,18,TC,25000,99000,10.65
WLD,1,1,19,19,TC,25000,99000,10.6875
WLD,1,1,20,20,TC,25000,99000,10.725
WLD,1,1,21,21,TC,25000,99000,11.1125
WLD,1,1,22,22,TC,25000,99000,11.4875
WLD,1,1,23,23,TC,25000,99000,11.875
WLD,1,1,24,24,TC,25000,99000,12.25
WLD,1,1,25,25,TC,25000,99000,12.6375
WLD,1,1,26,26,TC,25000,99000,13.025
WLD,1,1,27,27,TC,25000,99000,13.4
WLD,1,1,28,28,TC,25000,99000,13.7875
WLD,1,1,29,29,TC,25000,99000,14.1625
WLD,1,1,30,30,TC,25000,99000,14.55
WLD,1,1,31,31,TC,25000,99000,15.2375
WLD,1,1,32,32,TC,25000,99000,15.925
WLD,1,1,33,33,TC,25000,99000,16.6125
WLD,1,1,34,34,TC,25000,99000,17.3
WLD,1,1,35,35,TC,25000,99000,17.9875
WLD,1,1,36,36,TC,25000,99000,18.675
WLD,1,1,37,37,TC,25000,99000,19.3625
WLD,1,1,38,38,TC,25000,99000,20.05
WLD,1,1,39,39,TC,25000,99000,20.7375
WLD,1,1,40,40,TC,25000,99000,21.425
WLD,1,1,41,41,TC,25000,99000,22.6
WLD,1,1,42,42,TC,25000,99000,23.7875
WLD,1,1,43,43,TC,25000,99000,24.9625
WLD,1,1,44,44,TC,25000,99000,26.15
WLD,1,1,45,45,TC,25000,99000,27.325
WLD,1,1,46,46,TC,25000,99000,28.5
WLD,1,1,47,47,TC,25000,99000,29.6875
WLD,1,1,48,48,TC,25000,99000,30.8625
WLD,1,1,49,49,TC,25000,99000,32.05
WLD,1,1,50,50,TC,25000,99000,33.225
WLD,1,1,51,51,TC,25000,99000,35.325
WLD,1,1,52,52,TC,25000,99000,37.4125
WLD,1,1,53,53,TC,25000,99000,39.5125
WLD,1,1,54,54,TC,25000,99000,41.6
WLD,1,1,55,55,TC,25000,99000,43.7
WLD,1,1,56,56,TC,25000,99000,45.8
WLD,1,1,57,57,TC,25000,99000,47.8875
WLD,1,1,58,58,TC,25000,99000,49.9875
WLD,1,1,59,59,TC,25000,99000,52.075
WLD,1,1,60,60,TC,25000,99000,54.175
WLD,1,1,61,61,TC,25000,99000,57.8625
WLD,1,1,62,62,TC,25000,99000,61.55
