Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
WLD,1,0,18,18,TF,100000,300000,7.58875
WLD,1,0,19,19,TF,100000,300000,7.6375
WLD,1,0,20,20,TF,100000,300000,7.68625
WLD,1,0,21,21,TF,100000,300000,8.06
WLD,1,0,22,22,TF,100000,300000,8.4175
WLD,1,0,23,23,TF,100000,300000,8.79125
WLD,1,0,24,24,TF,100000,300000,9.165
WLD,1,0,25,25,TF,100000,300000,9.53875
WLD,1,0,26,26,TF,100000,300000,9.89625
WLD,1,0,27,27,TF,100000,300000,10.27
WLD,1,0,28,28,TF,100000,300000,10.64375
WLD,1,0,29,29,TF,100000,300000,11.00125
WLD,1,0,30,30,TF,100000,300000,11.375
WLD,1,0,31,31,TF,100000,300000,12.00875
WLD,1,0,32,32,TF,100000,300000,12.65875
WLD,1,0,33,33,TF,100000,300000,13.2925
WLD,1,0,34,34,TF,100000,300000,13.9425
WLD,1,0,35,35,TF,100000,300000,14.57625
WLD,1,0,36,36,TF,100000,300000,15.21
WLD,1,0,37,37,TF,100000,300000,15.86
WLD,1,0,38,38,TF,100000,300000,16.49375
WLD,1,0,39,39,TF,100000,300000,17.14375
WLD,1,0,40,40,TF,100000,300000,17.7775
WLD,1,0,41,41,TF,100000,300000,18.86625
WLD,1,0,42,42,TF,100000,300000,19.955
WLD,1,0,43,43,TF,100000,300000,21.04375
WLD,1,0,44,44,TF,100000,300000,22.1325
WLD,1,0,45,45,TF,100000,300000,23.22125
WLD,1,0,46,46,TF,100000,300000,24.29375
WLD,1,0,47,47,TF,100000,300000,25.3825
WLD,1,0,48,48,TF,100000,300000,26.47125
WLD,1,0,49,49,TF,100000,300000,27.56
WLD,1,0,50,50,TF,100000,300000,28.64875
WLD,1,0,51,51,TF,100000,300000,30.5825
WLD,1,0,52,52,TF,100000,300000,32.5
WLD,1,0,53,53,TF,100000,300000,34.43375
WLD,1,0,54,54,TF,100000,300000,36.3675
WLD,1,0,55,55,TF,100000,300000,38.30125
WLD,1,0,56,56,TF,100000,300000,40.21875
WLD,1,0,57,57,TF,100000,300000,42.1525
WLD,1,0,58,58,TF,100000,300000,44.08625
WLD,1,0,59,59,TF,100000,300000,46.00375
WLD,1,0,60,60,TF,100000,300000,47.9375
WLD,1,0,61,61,TF,100000,300000,51.09
WLD,1,0,62,62,TF,100000,300000,54.25875
WLD,1,0,63,63,TF,100000,300000,57.41125
WLD,1,0,64,64,TF,100000,300000,60.58
WLD,1,0,65,65,TF,100000,300000,63.7325
WLD,1,0,66,66,TF,100000,300000,66.885
WLD,1,0,67,67,TF,100000,300000,70.05375
WLD,1,0,68,68,TF,100000,300000,73.20625
WLD,1,0,69,69,TF,100000,300000,76.375
WLD,1,0,70,70,TF,100000,300000,79.5275
WLD,1,0,71,71,TF,100000,300000,97.825
WLD,1,0,72,72,TF,100000,300000,116.10625
WLD,1,0,73,73,TF,100000,300000,134.40375
WLD,1,0,74,74,TF,100000,300000,152.685
WLD,1,0,75,75,TF,100000,300000,170.9825
WLD,1,0,76,76,TF,100000,300000,189.28
WLD,1,0,77,77,TF,100000,300000,207.56125
WLD,1,0,78,78,TF,100000,300000,225.85875
WLD,1,0,79,79,TF,100000,300000,244.15625
WLD,1,0,80,80,TF,100000,300000,262.4375
WLD,1,1,18,18,TF,100000,300000,10.80625
WLD,1,1,19,19,TF,100000,300000,10.87125
WLD,1,1,20,20,TF,100000,300000,10.92
WLD,1,1,21,21,TF,100000,300000,11.42375
WLD,1,1,22,22,TF,100000,300000,11.94375
WLD,1,1,23,23,TF,100000,300000,12.4475
WLD,1,1,24,24,TF,100000,300000,12.9675
WLD,1,1,25,25,TF,100000,300000,13.47125
WLD,1,1,26,26,TF,100000,300000,13.975
WLD,1,1,27,27,TF,100000,300000,14.495
WLD,1,1,28,28,TF,100000,300000,14.99875
WLD,1,1,29,29,TF,100000,300000,15.51875
WLD,1,1,30,30,TF,100000,300000,16.0225
WLD,1,1,31,31,TF,100000,300000,16.91625
WLD,1,1,32,32,TF,100000,300000,17.81
WLD,1,1,33,33,TF,100000,300000,18.72
WLD,1,1,34,34,TF,100000,300000,19.61375
WLD,1,1,35,35,TF,100000,300000,20.5075
WLD,1,1,36,36,TF,100000,300000,21.40125
WLD,1,1,37,37,TF,100000,300000,22.295
WLD,1,1,38,38,TF,100000,300000,23.205
WLD,1,1,39,39,TF,100000,300000,24.09875
WLD,1,1,40,40,TF,100000,300000,24.9925
WLD,1,1,41,41,TF,100000,300000,26.52
WLD,1,1,42,42,TF,100000,300000,28.0475
WLD,1,1,43,43,TF,100000,300000,29.55875
WLD,1,1,44,44,TF,100000,300000,31.08625
WLD,1,1,45,45,TF,100000,300000,32.61375
WLD,1,1,46,46,TF,100000,300000,34.14125
WLD,1,1,47,47,TF,100000,300000,35.66875
WLD,1,1,48,48,TF,100000,300000,37.18
WLD,1,1,49,49,TF,100000,300000,38.7075
WLD,1,1,50,50,TF,100000,300000,40.235
WLD,1,1,51,51,TF,100000,300000,43.095
WLD,1,1,52,52,TF,100000,300000,45.97125
WLD,1,1,53,53,TF,100000,300000,48.83125
WLD,1,1,54,54,TF,100000,300000,51.7075
WLD,1,1,55,55,TF,100000,300000,54.5675
WLD,1,1,56,56,TF,100000,300000,57.4275
WLD,1,1,57,57,TF,100000,300000,60.30375
WLD,1,1,58,58,TF,100000,300000,63.16375
WLD,1,1,59,59,TF,100000,300000,66.04
WLD,1,1,60,60,TF,100000,300000,68.9
