Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
WLD,1,0,18,18,PP,500000,1000000,3.74
WLD,1,0,19,19,PP,500000,1000000,3.78
WLD,1,0,20,20,PP,500000,1000000,3.83
WLD,1,0,21,21,PP,500000,1000000,4.04
WLD,1,0,22,22,PP,500000,1000000,4.25
WLD,1,0,23,23,PP,500000,1000000,4.45
WLD,1,0,24,24,PP,500000,1000000,4.66
WLD,1,0,25,25,PP,500000,1000000,4.87
WLD,1,0,26,26,PP,500000,1000000,5.08
WLD,1,0,27,27,PP,500000,1000000,5.29
WLD,1,0,28,28,PP,500000,1000000,5.49
WLD,1,0,29,29,PP,500000,1000000,5.7
WLD,1,0,30,30,PP,500000,1000000,5.91
WLD,1,0,31,31,PP,500000,1000000,6.24
WLD,1,0,32,32,PP,500000,1000000,6.58
WLD,1,0,33,33,PP,500000,1000000,6.91
WLD,1,0,34,34,PP,500000,1000000,7.24
WLD,1,0,35,35,PP,500000,1000000,7.58
WLD,1,0,36,36,PP,500000,1000000,7.91
WLD,1,0,37,37,PP,500000,1000000,8.24
WLD,1,0,38,38,PP,500000,1000000,8.57
WLD,1,0,39,39,PP,500000,1000000,8.91
WLD,1,0,40,40,PP,500000,1000000,9.24
WLD,1,0,41,41,PP,500000,1000000,9.78
WLD,1,0,42,42,PP,500000,1000000,10.33
WLD,1,0,43,43,PP,500000,1000000,10.87
WLD,1,0,44,44,PP,500000,1000000,11.41
WLD,1,0,45,45,PP,500000,1000000,11.96
WLD,1,0,46,46,PP,500000,1000000,12.5
WLD,1,0,47,47,PP,500000,1000000,13.04
WLD,1,0,48,48,PP,500000,1000000,13.58
WLD,1,0,49,49,PP,500000,1000000,14.13
WLD,1,0,50,50,PP,500000,1000000,14.67
WLD,1,0,51,51,PP,500000,1000000,15.57
WLD,1,0,52,52,PP,500000,1000000,16.47
WLD,1,0,53,53,PP,500000,1000000,17.37
WLD,1,0,54,54,PP,500000,1000000,18.27
WLD,1,0,55,55,PP,500000,1000000,19.17
WLD,1,0,56,56,PP,500000,1000000,20.06
WLD,1,0,57,57,PP,500000,1000000,20.96
WLD,1,0,58,58,PP,500000,1000000,21.86
WLD,1,0,59,59,PP,500000,1000000,22.76
WLD,1,0,60,60,PP,500000,1000000,23.66
WLD,1,0,61,61,PP,500000,1000000,25.35
WLD,1,0,62,62,PP,500000,1000000,27.04
WLD,1,0,63,63,PP,500000,1000000,28.73
WLD,1,0,64,64,PP,500000,1000000,30.42
WLD,1,0,65,65,PP,500000,1000000,32.11
WLD,1,0,66,66,PP,500000,1000000,33.79
WLD,1,0,67,67,PP,500000,1000000,35.48
WLD,1,0,68,68,PP,500000,1000000,37.17
WLD,1,0,69,69,PP,500000,1000000,38.86
WLD,1,0,70,70,PP,500000,1000000,40.55
WLD,1,0,71,71,PP,500000,1000000,49.88
WLD,1,0,72,72,PP,500000,1000000,59.2
WLD,1,0,73,73,PP,500000,1000000,68.53
WLD,1,0,74,74,PP,500000,1000000,77.86
WLD,1,0,75,75,PP,500000,1000000,87.19
WLD,1,0,76,76,PP,500000,1000000,96.51
WLD,1,0,77,77,PP,500000,1000000,105.84
WLD,1,0,78,78,PP,500000,1000000,115.17
WLD,1,0,79,79,PP,500000,1000000,124.49
WLD,1,0,80,80,PP,500000,1000000,133.82
WLD,1,0,18,18,PF,500000,1000000,3.98
WLD,1,0,19,19,PF,500000,1000000,4.01
WLD,1,0,20,20,PF,500000,1000000,4.04
WLD,1,0,21,21,PF,500000,1000000,4.26
WLD,1,0,22,22,PF,500000,1000000,4.47
WLD,1,0,23,23,PF,500000,1000000,4.69
WLD,1,0,24,24,PF,500000,1000000,4.9
WLD,1,0,25,25,PF,500000,1000000,5.12
WLD,1,0,26,26,PF,500000,1000000,5.34
WLD,1,0,27,27,PF,500000,1000000,5.55
WLD,1,0,28,28,PF,500000,1000000,5.77
WLD,1,0,29,29,PF,500000,1000000,5.98
WLD,1,0,30,30,PF,500000,1000000,6.2
WLD,1,0,31,31,PF,500000,1000000,6.54
WLD,1,0,32,32,PF,500000,1000000,6.88
WLD,1,0,33,33,PF,500000,1000000,7.21
WLD,1,0,34,34,PF,500000,1000000,7.55
WLD,1,0,35,35,PF,500000,1000000,7.89
WLD,1,0,36,36,PF,500000,1000000,8.23
WLD,1,0,37,37,PF,500000,1000000,8.57
WLD,1,0,38,38,PF,500000,1000000,8.9
WLD,1,0,39,39,PF,500000,1000000,9.24
WLD,1,0,40,40,PF,500000,1000000,9.58
WLD,1,0,41,41,PF,500000,1000000,10.12
WLD,1,0,42,42,PF,500000,1000000,10.67
WLD,1,0,43,43,PF,500000,1000000,11.21
WLD,1,0,44,44,PF,500000,1000000,11.75
WLD,1,0,45,45,PF,500000,1000000,12.3
WLD,1,0,46,46,PF,500000,1000000,12.84
WLD,1,0,47,47,PF,500000,1000000,13.38
WLD,1,0,48,48,PF,500000,1000000,13.92
WLD,1,0,49,49,PF,500000,1000000,14.47
WLD,1,0,50,50,PF,500000,1000000,15.01
WLD,1,0,51,51,PF,500000,1000000,15.92
WLD,1,0,52,52,PF,500000,1000000,16.83
WLD,1,0,53,53,PF,500000,1000000,17.74
WLD,1,0,54,54,PF,500000,1000000,18.65
WLD,1,0,55,55,PF,500000,1000000,19.56
WLD,1,0,56,56,PF,500000,1000000,20.47
WLD,1,0,57,57,PF,500000,1000000,21.38
WLD,1,0,58,58,PF,500000,1000000,22.29
WLD,1,0,59,59,PF,500000,1000000,23.2
WLD,1,0,60,60,PF,500000,1000000,24.11
WLD,1,0,61,61,PF,500000,1000000,25.78
WLD,1,0,62,62,PF,500000,1000000,27.44
WLD,1,0,63,63,PF,500000,1000000,29.11
WLD,1,0,64,64,PF,500000,1000000,30.78
WLD,1,0,65,65,PF,500000,1000000,32.45
WLD,1,0,66,66,PF,500000,1000000,34.11
WLD,1,0,67,67,PF,500000,1000000,35.78
WLD,1,0,68,68,PF,500000,1000000,37.45
WLD,1,0,69,69,PF,500000,1000000,39.11
WLD,1,0,70,70,PF,500000,1000000,40.78
WLD,1,0,71,71,PF,500000,1000000,50.16
WLD,1,0,72,72,PF,500000,1000000,59.54
WLD,1,0,73,73,PF,500000,1000000,68.92
WLD,1,0,74,74,PF,500000,1000000,78.3
WLD,1,0,75,75,PF,500000,1000000,87.68
WLD,1,0,76,76,PF,500000,1000000,97.05
WLD,1,0,77,77,PF,500000,1000000,106.43
WLD,1,0,78,78,PF,500000,1000000,115.81
WLD,1,0,79,79,PF,500000,1000000,125.19
WLD,1,0,80,80,PF,500000,1000000,134.57
WLD,1,0,18,18,ST,500000,1000000,4.2
WLD,1,0,19,19,ST,500000,1000000,4.24
WLD,1,0,20,20,ST,500000,1000000,4.28
WLD,1,0,21,21,ST,500000,1000000,4.5
WLD,1,0,22,22,ST,500000,1000000,4.71
WLD,1,0,23,23,ST,500000,1000000,4.93
WLD,1,0,24,24,ST,500000,1000000,5.14
WLD,1,0,25,25,ST,500000,1000000,5.36
WLD,1,0,26,26,ST,500000,1000000,5.57
WLD,1,0,27,27,ST,500000,1000000,5.79
WLD,1,0,28,28,ST,500000,1000000,6
WLD,1,0,29,29,ST,500000,1000000,6.22
WLD,1,0,30,30,ST,500000,1000000,6.43
WLD,1,0,31,31,ST,500000,1000000,6.81
WLD,1,0,32,32,ST,500000,1000000,7.18
WLD,1,0,33,33,ST,500000,1000000,7.56
WLD,1,0,34,34,ST,500000,1000000,7.93
WLD,1,0,35,35,ST,500000,1000000,8.31
WLD,1,0,36,36,ST,500000,1000000,8.69
WLD,1,0,37,37,ST,500000,1000000,9.06
WLD,1,0,38,38,ST,500000,1000000,9.44
WLD,1,0,39,39,ST,500000,1000000,9.81
WLD,1,0,40,40,ST,500000,1000000,10.19
WLD,1,0,41,41,ST,500000,1000000,10.81
WLD,1,0,42,42,ST,500000,1000000,11.44
WLD,1,0,43,43,ST,500000,1000000,12.06
WLD,1,0,44,44,ST,500000,1000000,12.69
WLD,1,0,45,45,ST,500000,1000000,13.31
WLD,1,0,46,46,ST,500000,1000000,13.93
WLD,1,0,47,47,ST,500000,1000000,14.56
WLD,1,0,48,48,ST,500000,1000000,15.18
WLD,1,0,49,49,ST,500000,1000000,15.81
