Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
TFASGOV-15,0,0,18,99,ST,10000,100000,2.55
TFASGOV-15,0,1,18,99,ST,10000,100000,2.6
TFASGOV-15,1,0,18,99,ST,10000,100000,2.55
TFASGOV-15,1,1,18,99,ST,10000,100000,2.6
TFASGOV-15,0,0,18,99,PF,10000,100000,2.5
TFASGOV-15,0,1,18,99,PF,10000,100000,2.55
TFASGOV-15,1,0,18,99,PF,10000,100000,2.5
TFASGOV-15,1,1,18,99,PF,10000,100000,2.55
TFASGOV-15,0,0,18,99,PP,10000,100000,2.45
TFASGOV-15,0,1,18,99,PP,10000,100000,2.5
TFASGOV-15,1,0,18,99,PP,10000,100000,2.45
TFASGOV-15,1,1,18,99,PP,10000,100000,2.5
TFASGOV-15,0,0,18,99,TC,10000,100000,2.6
TFASGOV-15,0,1,18,99,TC,10000,100000,2.65
TFASGOV-15,1,0,18,99,TC,10000,100000,2.6
TFASGOV-15,1,1,18,99,TC,10000,100000,2.65
TFASGOV-15,0,0,18,99,TF,10000,100000,2.65
TFASGOV-15,0,1,18,99,TF,10000,100000,2.7
TFASGOV-15,1,0,18,99,TF,10000,100000,2.65
TFASGOV-15,1,1,18,99,TF,10000,100000,2.7
Spouse-15,0,0,18,99,ST,25000,100000,2.7
Spouse-15,0,1,18,99,ST,25000,100000,2.8
Spouse-15,1,0,18,99,ST,25000,100000,2.7
Spouse-15,1,1,18,99,ST,25000,100000,2.8
Spouse-15,0,0,18,99,PF,25000,100000,2.6
Spouse-15,0,1,18,99,PF,25000,100000,2.7
Spouse-15,1,0,18,99,PF,25000,100000,2.6
Spouse-15,1,1,18,99,PF,25000,100000,2.7
Spouse-15,0,0,18,99,PP,25000,100000,2.5
Spouse-15,0,1,18,99,PP,25000,100000,2.6
Spouse-15,1,0,18,99,PP,25000,100000,2.5
Spouse-15,1,1,18,99,PP,25000,100000,2.6
Spouse-15,0,0,18,99,TC,25000,100000,2.8
Spouse-15,0,1,18,99,TC,25000,100000,2.9
Spouse-15,1,0,18,99,TC,25000,100000,2.8
Spouse-15,1,1,18,99,TC,25000,100000,2.9
Spouse-15,0,0,18,99,TF,25000,100000,2.9
Spouse-15,0,1,18,99,TF,25000,100000,3
Spouse-15,1,0,18,99,TF,25000,100000,2.9
Spouse-15,1,1,18,99,TF,25000,100000,3
Child-15,0,0,18,99,ST,25000,100000,2.8
Child-15,0,1,18,99,ST,25000,100000,2.9
Child-15,1,0,18,99,ST,25000,100000,2.8
Child-15,1,1,18,99,ST,25000,100000,2.9
Child-15,0,0,18,99,PF,25000,100000,2.7
Child-15,0,1,18,99,PF,25000,100000,2.8
Child-15,1,0,18,99,PF,25000,100000,2.7
Child-15,1,1,18,99,PF,25000,100000,2.8
Child-15,0,0,18,99,PP,25000,100000,2.6
Child-15,0,1,18,99,PP,25000,100000,2.7
Child-15,1,0,18,99,PP,25000,100000,2.6
Child-15,1,1,18,99,PP,25000,100000,2.7
Child-15,0,0,18,99,TC,25000,100000,2.9
Child-15,0,1,18,99,TC,25000,100000,3
Child-15,1,0,18,99,TC,25000,100000,2.9
Child-15,1,1,18,99,TC,25000,100000,3
Child-15,0,0,18,99,TF,25000,100000,2.9
Child-15,0,1,18,99,TF,25000,100000,3
Child-15,1,0,18,99,TF,25000,100000,3
Child-15,1,1,18,99,TF,25000,100000,3.1
DI10-GRP,0,0,18,99,ST,25000,100000,2.8
DI10-GRP,0,1,18,99,ST,25000,100000,2.9
DI10-GRP,1,0,18,99,ST,25000,100000,2.8
DI10-GRP,1,1,18,99,ST,25000,100000,2.9
DI10-GRP,0,0,18,99,PF,25000,100000,2.7
DI10-GRP,0,1,18,99,PF,25000,100000,2.8
DI10-GRP,1,0,18,99,PF,25000,100000,2.7
DI10-GRP,1,1,18,99,PF,25000,100000,2.8
DI10-GRP,0,0,18,99,PP,25000,100000,2.7
DI10-GRP,0,1,18,99,PP,25000,100000,2.8
