Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
CR,,,18,55,PP,,,5.5
CR,,,18,55,PF,,,5.5
CR,,,18,55,ST,,,5.5
CRROP,,,18,55,PP,,,5.94
CRROP,,,18,55,PF,,,5.94
CRROP,,,18,55,ST,,,5.94
CRROPWP,,,18,55,PP,,,0.22
CRROPWP,,,18,55,PF,,,0.22
CRROPWP,,,18,55,ST,,,0.22
CRWP,,,18,55,PP,,,0.2
CRWP,,,18,55,PF,,,0.2
CRWP,,,18,55,ST,,,0.2
ADI10,1,,18,18,PP,,,7.58
ADI10,1,,19,19,PP,,,7.58
ADI10,1,,20,20,PP,,,7.58
ADI10,1,,21,21,PP,,,7.58
ADI10,1,,22,22,PP,,,7.58
ADI10,1,,23,23,PP,,,7.58
ADI10,1,,24,24,PP,,,7.58
ADI10,1,,25,25,PP,,,7.58
ADI10,1,,26,26,PP,,,7.58
ADI10,1,,27,27,PP,,,7.58
ADI10,1,,28,28,PP,,,7.58
ADI10,1,,29,29,PP,,,7.58
ADI10,1,,30,30,PP,,,7.77
ADI10,1,,31,31,PP,,,7.77
ADI10,1,,32,32,PP,,,7.77
ADI10,1,,33,33,PP,,,7.77
ADI10,1,,34,34,PP,,,7.77
ADI10,1,,35,35,PP,,,7.77
ADI10,1,,36,36,PP,,,7.77
ADI10,1,,37,37,PP,,,7.77
ADI10,1,,38,38,PP,,,7.77
ADI10,1,,39,39,PP,,,7.77
ADI10,1,,40,40,PP,,,7.98
ADI10,1,,41,41,PP,,,7.98
ADI10,1,,42,42,PP,,,7.98
ADI10,1,,43,43,PP,,,7.98
ADI10,1,,44,44,PP,,,7.98
ADI10,1,,45,45,PP,,,7.98
ADI10,1,,46,46,PP,,,7.98
ADI10,1,,47,47,PP,,,7.98
ADI10,1,,48,48,PP,,,7.98
ADI10,1,,49,49,PP,,,7.98
ADI10,1,,50,50,PP,,,8.33
ADI10,1,,51,51,PP,,,8.33
ADI10,1,,52,52,PP,,,8.33
ADI10,1,,53,53,PP,,,8.33
ADI10,1,,54,54,PP,,,8.33
ADI10,1,,55,55,PP,,,8.33
ADI10,1,,56,56,PP,,,8.33
ADI10,1,,57,57,PP,,,8.33
ADI10,1,,58,58,PP,,,8.33
ADI10,1,,59,59,PP,,,8.33
ADI10,1,,60,60,PP,,,8.33
ADI10,0,,18,18,PP,,,7.73
ADI10,0,,19,19,PP,,,7.73
ADI10,0,,20,20,PP,,,7.73
ADI10,0,,21,21,PP,,,7.73
ADI10,0,,22,22,PP,,,7.73
ADI10,0,,23,23,PP,,,7.73
ADI10,0,,24,24,PP,,,7.73
ADI10,0,,25,25,PP,,,7.73
ADI10,0,,26,26,PP,,,7.73
ADI10,0,,27,27,PP,,,7.73
ADI10,0,,28,28,PP,,,7.73
ADI10,0,,29,29,PP,,,7.73
ADI10,0,,30,30,PP,,,8.54
ADI10,0,,31,31,PP,,,8.54
ADI10,0,,32,32,PP,,,8.54
ADI10,0,,33,33,PP,,,8.54
ADI10,0,,34,34,PP,,,8.54
ADI10,0,,35,35,PP,,,8.54
ADI10,0,,36,36,PP,,,8.54
ADI10,0,,37,37,PP,,,8.54
ADI10,0,,38,38,PP,,,8.54
ADI10,0,,39,39,PP,,,8.54
ADI10,0,,40,40,PP,,,9.72
ADI10,0,,41,41,PP,,,9.72
ADI10,0,,42,42,PP,,,9.72
ADI10,0,,43,43,PP,,,9.72
ADI10,0,,44,44,PP,,,9.72
ADI10,0,,45,45,PP,,,9.72
ADI10,0,,46,46,PP,,,9.72
ADI10,0,,47,47,PP,,,9.72
ADI10,0,,48,48,PP,,,9.72
ADI10,0,,49,49,PP,,,9.72
ADI10,0,,50,50,PP,,,11.19
ADI10,0,,51,51,PP,,,11.19
ADI10,0,,52,52,PP,,,11.19
ADI10,0,,53,53,PP,,,11.19
ADI10,0,,54,54,PP,,,11.19
ADI10,0,,55,55,PP,,,11.19
ADI10,0,,56,56,PP,,,11.19
ADI10,0,,57,57,PP,,,11.19
ADI10,0,,58,58,PP,,,11.19
ADI10,0,,59,59,PP,,,11.19
ADI10,0,,60,60,PP,,,11.19
ADI15,1,,18,18,PP,,,7.58
ADI15,1,,19,19,PP,,,7.58
ADI15,1,,20,20,PP,,,7.58
ADI15,1,,21,21,PP,,,7.58
ADI15,1,,22,22,PP,,,7.58
ADI15,1,,23,23,PP,,,7.58
