Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
WOP10,0,,18,18,PP,,,0.05
WOP10,0,,19,19,PP,,,0.05
WOP10,0,,20,20,PP,,,0.05
WOP10,0,,21,21,PP,,,0.05
WOP10,0,,22,22,PP,,,0.05
WOP10,0,,23,23,PP,,,0.05
WOP10,0,,24,24,PP,,,0.05
WOP10,0,,25,25,PP,,,0.05
WOP10,0,,26,26,PP,,,0.05
WOP10,0,,27,27,PP,,,0.05
WOP10,0,,28,28,PP,,,0.05
WOP10,0,,29,29,PP,,,0.05
WOP10,0,,30,30,PP,,,0.05
WOP10,0,,31,31,PP,,,0.05
WOP10,0,,32,32,PP,,,0.05
WOP10,0,,33,33,PP,,,0.06
WOP10,0,,34,34,PP,,,0.07
WOP10,0,,35,35,PP,,,0.07
WOP10,0,,36,36,PP,,,0.08
WOP10,0,,37,37,PP,,,0.09
WOP10,0,,38,38,PP,,,0.11
WOP10,0,,39,39,PP,,,0.12
WOP10,0,,40,40,PP,,,0.13
WOP10,0,,41,41,PP,,,0.15
WOP10,0,,42,42,PP,,,0.16
WOP10,0,,43,43,PP,,,0.18
WOP10,0,,44,44,PP,,,0.21
WOP10,0,,45,45,PP,,,0.23
WOP10,0,,46,46,PP,,,0.26
WOP10,0,,47,47,PP,,,0.29
WOP10,0,,48,48,PP,,,0.32
WOP10,0,,49,49,PP,,,0.36
WOP10,0,,50,50,PP,,,0.41
WOP10,0,,51,51,PP,,,0.46
WOP10,0,,52,52,PP,,,0.53
WOP10,0,,53,53,PP,,,0.6
WOP10,0,,54,54,PP,,,0.68
WOP10,0,,55,55,PP,,,0.78
WOP10,0,,56,56,PP,,,0.89
WOP10,0,,57,57,PP,,,1
WOP10,0,,58,58,PP,,,1.13
WOP10,0,,59,59,PP,,,1.27
WOP10,1,,18,18,PP,,,0.05
WOP10,1,,19,19,PP,,,0.05
WOP10,1,,20,20,PP,,,0.05
WOP10,1,,21,21,PP,,,0.06
WOP10,1,,22,22,PP,,,0.06
WOP10,1,,23,23,PP,,,0.06
WOP10,1,,24,24,PP,,,0.06
WOP10,1,,25,25,PP,,,0.06
WOP10,1,,26,26,PP,,,0.06
WOP10,1,,27,27,PP,,,0.06
WOP10,1,,28,28,PP,,,0.06
WOP10,1,,29,29,PP,,,0.06
WOP10,1,,30,30,PP,,,0.07
WOP10,1,,31,31,PP,,,0.07
WOP10,1,,32,32,PP,,,0.08
WOP10,1,,33,33,PP,,,0.08
WOP10,1,,34,34,PP,,,0.09
WOP10,1,,35,35,PP,,,0.1
WOP10,1,,36,36,PP,,,0.11
WOP10,1,,37,37,PP,,,0.12
WOP10,1,,38,38,PP,,,0.14
WOP10,1,,39,39,PP,,,0.15
WOP10,1,,40,40,PP,,,0.18
WOP10,1,,41,41,PP,,,0.2
WOP10,1,,42,42,PP,,,0.22
WOP10,1,,43,43,PP,,,0.26
WOP10,1,,44,44,PP,,,0.29
WOP10,1,,45,45,PP,,,0.33
WOP10,1,,46,46,PP,,,0.37
WOP10,1,,47,47,PP,,,0.43
WOP10,1,,48,48,PP,,,0.48
WOP10,1,,49,49,PP,,,0.55
WOP10,1,,50,50,PP,,,0.63
WOP10,1,,51,51,PP,,,0.72
WOP10,1,,52,52,PP,,,0.83
WOP10,1,,53,53,PP,,,0.96
WOP10,1,,54,54,PP,,,1.11
WOP10,1,,55,55,PP,,,1.29
WOP10,1,,56,56,PP,,,1.49
WOP10,1,,57,57,PP,,,1.7
WOP10,1,,58,58,PP,,,1.95
WOP10,1,,59,59,PP,,,2.24
WOP15,0,,18,18,PP,,,0.05
WOP15,0,,19,19,PP,,,0.05
WOP15,0,,20,20,PP,,,0.05
WOP15,0,,21,21,PP,,,0.05
WOP15,0,,22,22,PP,,,0.05
WOP15,0,,23,23,PP,,,0.05
WOP15,0,,24,24,PP,,,0.05
WOP15,0,,25,25,PP,,,0.05
WOP15,0,,26,26,PP,,,0.05
WOP15,0,,27,27,PP,,,0.05
WOP15,0,,28,28,PP,,,0.05
WOP15,0,,29,29,PP,,,0.05
