Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
MILLINI_L_MILLINI_L_TERM30WP,0,1,37,37,TF,25000,5000000,0.85
MILLINI_L_TERMDWP,0,0,37,37,PP,25000,5000000,0.32
MILLINI_L_MILLINI_L_TERM30WP,1,1,30,30,TC,25000,5000000,0.39
MILLINI_L_WLDWP,1,0,20,20,ST,25000,5000000,0.56
MILLINI_L_TERMDWP,1,1,51,51,PF,25000,5000000,1.29
MILLINI_L_TERMDWP,1,0,23,23,TF,25000,5000000,0.25
MILLINI_L_TERMDWP,1,0,58,58,TC,25000,5000000,3.6
MILLINI_L_WLDWP,1,1,44,44,TF,25000,5000000,4.20
MILLINI_L_TERMDWP,0,0,38,38,TF,25000,5000000,0.63
MILLINI_L_MILLINI_L_TERM30WP,0,1,47,47,TF,25000,5000000,1.87
MILLINI_L_TERMDWP,1,1,35,35,TC,25000,5000000,0.44
MILLINI_L_WLDWP,1,1,40,40,ST,25000,5000000,2.02
MILLINI_L_MILLINI_L_TERM30WP,1,0,35,35,PF,25000,5000000,0.42
MILLINI_L_WLDWP,0,0,24,24,ST,25000,5000000,0.90
MILLINI_L_MILLINI_L_TERM30WP,1,0,50,50,TC,25000,5000000,2.32
MILLINI_L_MILLINI_L_TERM30WP,0,1,34,34,ST,25000,5000000,0.50
MILLINI_L_TERMDWP,1,0,53,53,PP,25000,5000000,1.41
MILLINI_L_WLDWP,1,0,45,45,TF,25000,5000000,4.55
MILLINI_L_WLDWP,0,1,36,36,PF,25000,5000000,1.69
MILLINI_L_TERMDWP,1,0,57,57,PP,25000,5000000,2.01
MILLINI_L_MILLINI_L_TERM30WP,0,1,47,47,PF,25000,5000000,1.19
MILLINI_L_WLDWP,1,1,53,53,PP,25000,5000000,4.68
MILLINI_L_MILLINI_L_TERM30WP,0,0,40,40,TF,25000,5000000,1.00
MILLINI_L_WLDWP,1,1,44,44,TC,25000,5000000,3.82
MILLINI_L_MILLINI_L_TERM30WP,1,1,37,37,TF,25000,5000000,0.75
MILLINI_L_TERMDWP,1,1,18,18,TC,25000,5000000,0.2
MILLINI_L_MILLINI_L_TERM30WP,0,1,35,35,TF,25000,5000000,0.75
