Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
MILLINI_L_GIR,0,0,35,35,TC,25000,500000,2.8
MILLINI_L_GIR,1,0,30,30,ST,25000,500000,1.81
MILLINI_L_GIR,1,0,24,24,PF,25000,500000,1.43
MILLINI_L_GIR,1,0,21,21,PP,25000,500000,1.16
MILLINI_L_GIR,1,0,31,31,TC,25000,500000,2.33
MILLINI_L_GIR,0,0,36,36,TF,25000,500000,3.19
MILLINI_L_GIR,1,0,39,39,TC,25000,500000,3
MILLINI_L_GIR,0,0,23,23,PP,25000,500000,1.20
MILLINI_L_GIR,1,0,34,34,PF,25000,500000,1.89
MILLINI_L_GIR,0,1,34,34,ST,25000,500000,2.16
MILLINI_L_GIR,1,0,23,23,ST,25000,500000,1.60
MILLINI_L_GIR,0,0,21,21,TC,25000,500000,1.94
MILLINI_L_GIR,0,0,28,28,PP,25000,500000,1.34
MILLINI_L_GIR,1,0,18,18,PP,25000,500000,1.05
MILLINI_L_GIR,0,0,38,38,TF,25000,500000,3.30
MILLINI_L_GIR,1,0,26,26,ST,25000,500000,1.71
MILLINI_L_GIR,0,0,33,33,ST,25000,500000,2.08
MILLINI_L_GIR,0,1,31,31,TF,25000,500000,2.56
MILLINI_L_GIR,0,1,33,33,PF,25000,500000,1.82
MILLINI_L_GIR,0,0,18,18,PP,25000,500000,1.05
MILLINI_L_GIR,0,1,28,28,TF,25000,500000,2.45
MILLINI_L_GIR,1,1,32,32,TF,25000,500000,2.75
MILLINI_L_GIR,1,0,39,39,TF,25000,500000,3.30
MILLINI_L_GIR,1,1,20,20,TC,25000,500000,1.88
MILLINI_L_GIR,0,1,29,29,PF,25000,500000,1.57
MILLINI_L_GIR,1,1,25,25,PP,25000,500000,1.26
MILLINI_L_GIR,0,0,20,20,TC,25000,500000,1.88
MILLINI_L_GIR,1,0,37,37,ST,25000,500000,2.36
MILLINI_L_GIR,1,0,28,28,TF,25000,500000,2.45
MILLINI_L_GIR,0,1,29,29,TF,25000,500000,2.48
MILLINI_L_GIR,1,1,33,33,TC,25000,500000,2.6
MILLINI_L_GIR,0,1,29,29,TC,25000,500000,2.25
MILLINI_L_GIR,1,0,38,38,PF,25000,500000,2.10
MILLINI_L_GIR,0,0,34,34,PF,25000,500000,1.89
MILLINI_L_GIR,1,0,28,28,ST,25000,500000,1.78
MILLINI_L_GIR,0,1,23,23,TC,25000,500000,2
MILLINI_L_GIR,1,0,38,38,ST,25000,500000,2.40
MILLINI_L_GIR,0,0,29,29,TF,25000,500000,2.48
MILLINI_L_GIR,1,1,36,36,TF,25000,500000,3.19
MILLINI_L_GIR,0,1,36,36,TF,25000,500000,3.19
MILLINI_L_GIR,1,0,26,26,TC,25000,500000,2.14
MILLINI_L_GIR,0,1,23,23,TF,25000,500000,2.20
MILLINI_L_GIR,0,0,19,19,ST,25000,500000,1.46
MILLINI_L_GIR,0,0,36,36,ST,25000,500000,2.32
MILLINI_L_GIR,0,1,39,39,PF,25000,500000,2.10
MILLINI_L_GIR,1,1,22,22,TF,25000,500000,2.17
MILLINI_L_GIR,0,1,19,19,TC,25000,500000,1.82
MILLINI_L_GIR,1,1,25,25,ST,25000,500000,1.68
MILLINI_L_GIR,1,1,18,18,TC,25000,500000,1.75
MILLINI_L_GIR,0,1,20,20,PP,25000,500000,1.13
MILLINI_L_GIR,1,1,35,35,PF,25000,500000,1.96
MILLINI_L_GIR,0,0,23,23,TC,25000,500000,2
MILLINI_L_GIR,1,0,31,31,ST,25000,500000,1.86
MILLINI_L_GIR,1,1,30,30,TC,25000,500000,2.26
MILLINI_L_GIR,1,0,33,33,PF,25000,500000,1.82
MILLINI_L_GIR,0,0,28,28,ST,25000,500000,1.78
MILLINI_L_GIR,1,1,20,20,ST,25000,500000,1.50
MILLINI_L_GIR,1,1,25,25,TC,25000,500000,2.1
MILLINI_L_GIR,1,1,33,33,PP,25000,500000,1.56
MILLINI_L_GIR,1,0,32,32,ST,25000,500000,2.00
MILLINI_L_GIR,0,0,20,20,TF,25000,500000,2.07
MILLINI_L_GIR,0,1,18,18,PF,25000,500000,1.23
MILLINI_L_GIR,0,0,30,30,PP,25000,500000,1.36
MILLINI_L_GIR,1,1,37,37,PP,25000,500000,1.77
MILLINI_L_GIR,1,1,29,29,TF,25000,500000,2.48
MILLINI_L_GIR,1,0,27,27,PP,25000,500000,1.31
MILLINI_L_GIR,0,0,20,20,PF,25000,500000,1.32
MILLINI_L_GIR,0,0,23,23,TF,25000,500000,2.20
MILLINI_L_GIR,1,1,39,39,PP,25000,500000,1.80
MILLINI_L_GIR,0,1,36,36,ST,25000,500000,2.32
MILLINI_L_GIR,1,0,35,35,ST,25000,500000,2.24
MILLINI_L_GIR,1,0,38,38,PP,25000,500000,1.80
MILLINI_L_GIR,0,1,34,34,PP,25000,500000,1.62
MILLINI_L_GIR,1,0,36,36,PF,25000,500000,2.03
MILLINI_L_GIR,0,0,26,26,PP,25000,500000,1.28
MILLINI_L_GIR,0,1,31,31,TC,25000,500000,2.33
MILLINI_L_GIR,1,1,26,26,PF,25000,500000,1.50
MILLINI_L_GIR,0,0,21,21,ST,25000,500000,1.55
MILLINI_L_GIR,0,0,29,29,PP,25000,500000,1.35
MILLINI_L_GIR,0,0,34,34,TF,25000,500000,2.97
MILLINI_L_GIR,1,0,21,21,TF,25000,500000,2.13
MILLINI_L_GIR,1,0,25,25,ST,25000,500000,1.68
MILLINI_L_GIR,1,0,36,36,PP,25000,500000,1.74
MILLINI_L_GIR,1,0,19,19,PF,25000,500000,1.27
MILLINI_L_GIR,1,0,18,18,TC,25000,500000,1.75
MILLINI_L_GIR,0,0,22,22,PP,25000,500000,1.18
MILLINI_L_GIR,0,0,25,25,TC,25000,500000,2.1
MILLINI_L_GIR,0,0,24,24,TC,25000,500000,2.05
MILLINI_L_GIR,0,1,21,21,TF,25000,500000,2.13
MILLINI_L_GIR,1,1,32,32,ST,25000,500000,2.00
MILLINI_L_GIR,1,0,22,22,TC,25000,500000,1.97
MILLINI_L_GIR,1,1,26,26,TC,25000,500000,2.14
MILLINI_L_GIR,0,0,21,21,TF,25000,500000,2.13
MILLINI_L_GIR,0,1,35,35,ST,25000,500000,2.24
MILLINI_L_GIR,0,1,34,34,PF,25000,500000,1.89
MILLINI_L_GIR,0,0,27,27,PP,25000,500000,1.31
MILLINI_L_GIR,1,1,18,18,PF,25000,500000,1.23
MILLINI_L_GIR,0,1,18,18,TF,25000,500000,1.93
MILLINI_L_GIR,0,1,20,20,ST,25000,500000,1.50
MILLINI_L_GIR,1,1,39,39,TF,25000,500000,3.30
MILLINI_L_GIR,0,0,22,22,PF,25000,500000,1.38
MILLINI_L_GIR,1,1,34,34,TC,25000,500000,2.7
