Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
MILLINI_L_TERM15,1,1,37,37,TF,25000,99000,7.84
MILLINI_L_TERM15,0,0,45,45,PF,25000,99000,3.05
MILLINI_L_TERM15,0,1,39,39,ST,100000,300000,3.12
MILLINI_L_TERM15,0,1,57,57,ST,301000,500000,9.13
MILLINI_L_TERM15,0,1,51,51,ST,301000,500000,5.13
MILLINI_L_TERM15,0,0,32,32,PF,301000,500000,0.71
MILLINI_L_TERM15,0,1,41,41,TF,301000,500000,3.39
MILLINI_L_TERM15,0,1,23,23,TC,301000,500000,1.49
MILLINI_L_TERM15,0,0,39,39,TF,301000,500000,1.39
MILLINI_L_TERM15,0,1,32,32,PF,25000,99000,3.55
MILLINI_L_TERM15,0,1,18,18,PP,100000,300000,1.10
MILLINI_L_TERM15,1,0,68,68,TC,25000,99000,24.39
MILLINI_L_TERM15,0,1,34,34,ST,100000,300000,2.50
MILLINI_L_TERM15,0,0,27,27,ST,301000,500000,0.73
MILLINI_L_TERM15,0,0,43,43,PP,301000,500000,0.92
MILLINI_L_TERM15,0,0,34,34,PP,100000,300000,1.01
MILLINI_L_TERM15,0,0,61,61,PP,25000,99000,6.33
MILLINI_L_TERM15,1,1,44,44,PP,25000,99000,6.17
MILLINI_L_TERM15,0,0,62,62,TF,301000,500000,6.58
MILLINI_L_TERM15,0,1,44,44,PF,301000,500000,2.73
MILLINI_L_TERM15,1,1,21,21,TC,25000,99000,5.09
MILLINI_L_TERM15,1,1,22,22,PF,25000,99000,3.60
MILLINI_L_TERM15,1,0,30,30,TF,25000,99000,3.65
MILLINI_L_TERM15,0,1,67,67,PP,301000,500000,15.09
MILLINI_L_TERM15,0,1,43,43,PF,301000,500000,2.54
MILLINI_L_TERM15,0,1,54,54,TC,25000,99000,16.71
MILLINI_L_TERM15,0,0,30,30,TF,100000,300000,1.57
MILLINI_L_TERM15,0,1,20,20,PF,25000,99000,2.92
MILLINI_L_TERM15,0,1,30,30,PP,25000,99000,2.85
MILLINI_L_TERM15,0,1,40,40,TF,25000,99000,7.12
MILLINI_L_TERM15,0,1,38,38,ST,301000,500000,2.09
MILLINI_L_TERM15,1,1,67,67,PP,25000,99000,31.19
MILLINI_L_TERM15,0,0,49,49,TF,301000,500000,2.21
MILLINI_L_TERM15,0,1,43,43,ST,100000,300000,4.26
MILLINI_L_TERM15,0,0,52,52,ST,25000,99000,4.83
MILLINI_L_TERM15,0,1,29,29,PP,100000,300000,1.46
MILLINI_L_TERM15,0,0,56,56,TC,100000,300000,6.84
MILLINI_L_TERM15,0,1,44,44,PF,25000,99000,5.85
MILLINI_L_TERM15,0,1,68,68,TF,100000,300000,44.57
MILLINI_L_TERM15,0,1,31,31,TF,25000,99000,5.41
MILLINI_L_TERM15,0,1,54,54,TF,25000,99000,18.38
MILLINI_L_TERM15,0,1,66,66,ST,25000,99000,32.44
MILLINI_L_TERM15,0,1,29,29,PF,301000,500000,1.23
MILLINI_L_TERM15,0,1,19,19,PF,25000,99000,2.87
MILLINI_L_TERM15,0,1,38,38,PF,301000,500000,1.83
MILLINI_L_TERM15,0,0,57,57,PF,301000,500000,2.70
MILLINI_L_TERM15,0,1,29,29,TF,100000,300000,2.68
MILLINI_L_TERM15,0,0,49,49,PP,100000,300000,2.12
MILLINI_L_TERM15,0,1,51,51,ST,25000,99000,10.06
MILLINI_L_TERM15,0,0,22,22,PF,301000,500000,0.59
MILLINI_L_TERM15,1,1,68,68,PP,25000,99000,33.03
MILLINI_L_TERM15,0,0,42,42,TC,25000,99000,3.84
MILLINI_L_TERM15,0,1,59,59,TF,100000,300000,23.00
MILLINI_L_TERM15,0,0,43,43,PP,25000,99000,2.41
MILLINI_L_TERM15,1,0,70,70,TF,25000,99000,30.12
MILLINI_L_TERM15,0,0,66,66,PF,100000,300000,10.24
MILLINI_L_TERM15,0,0,41,41,TF,301000,500000,1.52
MILLINI_L_TERM15,0,1,44,44,PP,301000,500000,2.34
MILLINI_L_TERM15,1,1,35,35,ST,25000,99000,5.34
MILLINI_L_TERM15,1,0,23,23,PF,25000,99000,2.27
MILLINI_L_TERM15,0,0,43,43,PF,25000,99000,2.82
MILLINI_L_TERM15,1,1,68,68,PF,25000,99000,38.53
MILLINI_L_TERM15,1,1,58,58,ST,25000,99000,21.66
MILLINI_L_TERM15,0,0,59,59,TF,25000,99000,9.94
MILLINI_L_TERM15,0,0,26,26,ST,25000,99000,2.33
MILLINI_L_TERM15,0,0,66,66,ST,301000,500000,7.02
MILLINI_L_TERM15,0,0,40,40,TC,25000,99000,3.51
MILLINI_L_TERM15,0,0,44,44,PP,301000,500000,0.97
MILLINI_L_TERM15,0,1,47,47,ST,301000,500000,3.80
MILLINI_L_TERM15,0,1,18,18,PF,25000,99000,2.84
MILLINI_L_TERM15,0,1,35,35,TF,25000,99000,6.17
MILLINI_L_TERM15,1,1,35,35,PP,25000,99000,4.00
MILLINI_L_TERM15,0,1,18,18,TC,25000,99000,4.05
MILLINI_L_TERM15,0,0,69,69,TF,25000,99000,21.12
MILLINI_L_TERM15,0,0,36,36,TC,301000,500000,1.17
MILLINI_L_TERM15,1,0,27,27,TF,25000,99000,3.61
MILLINI_L_TERM15,0,1,33,33,PF,25000,99000,3.68
MILLINI_L_TERM15,0,1,46,46,ST,25000,99000,7.46
MILLINI_L_TERM15,0,1,18,18,PF,301000,500000,0.88
MILLINI_L_TERM15,1,0,33,33,PP,25000,99000,2.10
MILLINI_L_TERM15,1,1,70,70,TF,25000,99000,67.36
MILLINI_L_TERM15,1,0,59,59,PF,25000,99000,8.25
MILLINI_L_TERM15,0,1,46,46,TF,25000,99000,10.25
MILLINI_L_TERM15,0,1,46,46,TF,100000,300000,7.25
MILLINI_L_TERM15,0,0,35,35,PP,100000,300000,1.04
MILLINI_L_TERM15,1,1,23,23,TC,25000,99000,5.18
MILLINI_L_TERM15,1,1,41,41,TF,25000,99000,9.30
MILLINI_L_TERM15,1,1,32,32,PF,25000,99000,4.17
MILLINI_L_TERM15,0,0,42,42,PP,100000,300000,1.44
MILLINI_L_TERM15,0,1,60,60,PF,100000,300000,15.62
MILLINI_L_TERM15,0,1,62,62,PF,301000,500000,11.99
MILLINI_L_TERM15,1,0,65,65,TC,25000,99000,19.90
MILLINI_L_TERM15,0,1,69,69,TF,301000,500000,31.20
MILLINI_L_TERM15,0,1,22,22,PP,25000,99000,2.56
MILLINI_L_TERM15,1,0,68,68,PF,25000,99000,17.07
MILLINI_L_TERM15,0,1,69,69,PP,301000,500000,17.02
MILLINI_L_TERM15,0,0,30,30,TF,301000,500000,1.06
MILLINI_L_TERM15,0,0,34,34,TC,25000,99000,3.19
MILLINI_L_TERM15,0,0,63,63,TF,25000,99000,13.99
MILLINI_L_TERM15,0,1,68,68,TC,301000,500000,26.75
MILLINI_L_TERM15,1,0,53,53,ST,25000,99000,6.49
MILLINI_L_TERM15,0,1,22,22,TF,25000,99000,4.71
MILLINI_L_TERM15,0,1,39,39,TF,25000,99000,6.92
MILLINI_L_TERM15,0,0,23,23,PF,301000,500000,0.61
MILLINI_L_TERM15,0,1,48,48,TC,100000,300000,7.44
MILLINI_L_TERM15,0,0,54,54,TF,301000,500000,3.40
MILLINI_L_TERM15,0,1,55,55,ST,301000,500000,7.80
MILLINI_L_TERM15,0,0,47,47,TC,301000,500000,1.85
MILLINI_L_TERM15,0,0,53,53,TF,100000,300000,5.80
MILLINI_L_TERM15,0,0,44,44,TC,25000,99000,4.18
MILLINI_L_TERM15,0,1,29,29,ST,100000,300000,1.96
MILLINI_L_TERM15,0,0,39,39,TF,100000,300000,2.20
MILLINI_L_TERM15,0,0,25,25,PF,301000,500000,0.63
MILLINI_L_TERM15,0,1,19,19,TC,100000,300000,1.88
MILLINI_L_TERM15,0,0,68,68,PF,100000,300000,11.57
MILLINI_L_TERM15,0,1,57,57,PF,100000,300000,12.67
MILLINI_L_TERM15,0,1,40,40,ST,301000,500000,2.24
MILLINI_L_TERM15,0,1,48,48,TC,25000,99000,10.26
MILLINI_L_TERM15,0,1,67,67,TC,301000,500000,25.15
MILLINI_L_TERM15,0,0,64,64,TC,25000,99000,13.79
