Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
MILLINI_L_TERM30,1,0,66,66,TC,25000,99000,25.28
MILLINI_L_TERM30,1,1,62,62,PF,25000,99000,30.22
MILLINI_L_TERM30,0,1,39,39,TC,100000,300000,4.61
MILLINI_L_TERM30,1,0,59,59,PP,25000,99000,8.36
MILLINI_L_TERM30,0,0,57,57,PP,25000,99000,5.80
MILLINI_L_TERM30,0,0,40,40,TC,301000,500000,1.53
MILLINI_L_TERM30,0,1,32,32,PP,25000,99000,3.60
MILLINI_L_TERM30,0,1,19,19,TF,25000,99000,5.33
MILLINI_L_TERM30,1,1,61,61,TC,25000,99000,39.52
MILLINI_L_TERM30,1,1,25,25,ST,25000,99000,4.99
MILLINI_L_TERM30,0,0,67,67,PF,301000,500000,7.83
MILLINI_L_TERM30,1,0,68,68,PP,25000,99000,17.29
MILLINI_L_TERM30,1,1,45,45,TC,25000,99000,12.88
MILLINI_L_TERM30,1,0,24,24,PP,25000,99000,2.30
MILLINI_L_TERM30,1,0,35,35,ST,25000,99000,3.44
MILLINI_L_TERM30,0,1,70,70,TF,25000,99000,66.22
MILLINI_L_TERM30,1,1,44,44,ST,25000,99000,9.72
MILLINI_L_TERM30,0,1,61,61,ST,301000,500000,14.68
MILLINI_L_TERM30,0,0,63,63,TF,25000,99000,16.54
MILLINI_L_TERM30,0,0,25,25,ST,100000,300000,1.25
MILLINI_L_TERM30,0,0,63,63,PP,25000,99000,9.02
MILLINI_L_TERM30,0,1,39,39,TF,100000,300000,5.07
MILLINI_L_TERM30,1,1,69,69,ST,25000,99000,54.98
MILLINI_L_TERM30,1,1,53,53,TF,25000,99000,24.56
MILLINI_L_TERM30,0,0,28,28,ST,100000,300000,1.31
MILLINI_L_TERM30,0,0,51,51,TC,100000,300000,4.99
MILLINI_L_TERM30,0,1,35,35,PP,301000,500000,1.64
MILLINI_L_TERM30,0,1,57,57,PF,25000,99000,17.22
MILLINI_L_TERM30,0,0,37,37,PF,25000,99000,2.77
MILLINI_L_TERM30,0,0,67,67,TF,301000,500000,12.30
MILLINI_L_TERM30,1,1,53,53,TC,25000,99000,22.32
MILLINI_L_TERM30,0,0,63,63,TF,100000,300000,15.31
MILLINI_L_TERM30,0,1,42,42,TF,25000,99000,9.63
MILLINI_L_TERM30,0,1,62,62,PF,301000,500000,14.17
MILLINI_L_TERM30,0,1,43,43,TF,25000,99000,10.26
MILLINI_L_TERM30,0,1,57,57,TC,301000,500000,13.48
MILLINI_L_TERM30,0,0,41,41,ST,100000,300000,2.11
MILLINI_L_TERM30,0,0,54,54,ST,301000,500000,2.92
MILLINI_L_TERM30,0,1,50,50,PF,25000,99000,9.27
MILLINI_L_TERM30,1,0,29,29,PP,25000,99000,2.35
MILLINI_L_TERM30,0,0,53,53,PF,25000,99000,5.36
MILLINI_L_TERM30,0,0,49,49,PP,100000,300000,2.51
MILLINI_L_TERM30,1,0,28,28,TF,25000,99000,4.29
MILLINI_L_TERM30,0,1,19,19,PF,301000,500000,1.08
MILLINI_L_TERM30,0,0,69,69,ST,100000,300000,16.54
MILLINI_L_TERM30,0,1,40,40,TF,301000,500000,3.65
MILLINI_L_TERM30,1,0,24,24,TC,25000,99000,3.84
MILLINI_L_TERM30,0,1,58,58,TC,25000,99000,26.23
MILLINI_L_TERM30,0,1,52,52,PF,301000,500000,5.99
MILLINI_L_TERM30,0,1,60,60,ST,25000,99000,23.58
MILLINI_L_TERM30,0,0,66,66,PF,100000,300000,12.10
MILLINI_L_TERM30,0,0,67,67,TF,100000,300000,20.27
MILLINI_L_TERM30,0,1,20,20,TC,100000,300000,2.29
MILLINI_L_TERM30,0,1,35,35,ST,301000,500000,2.18
MILLINI_L_TERM30,1,1,65,65,TC,25000,99000,54.12
MILLINI_L_TERM30,0,0,45,45,ST,25000,99000,4.11
MILLINI_L_TERM30,0,1,56,56,PP,301000,500000,7.50
MILLINI_L_TERM30,0,0,47,47,TF,100000,300000,4.17
MILLINI_L_TERM30,0,0,19,19,TF,25000,99000,3.67
MILLINI_L_TERM30,0,0,70,70,ST,301000,500000,10.92
MILLINI_L_TERM30,0,1,23,23,TC,100000,300000,2.48
MILLINI_L_TERM30,0,1,24,24,TF,301000,500000,1.99
MILLINI_L_TERM30,0,1,63,63,ST,25000,99000,30.97
MILLINI_L_TERM30,0,1,28,28,TF,301000,500000,2.24
MILLINI_L_TERM30,0,0,29,29,TC,301000,500000,1.12
MILLINI_L_TERM30,1,0,36,36,PF,25000,99000,3.07
MILLINI_L_TERM30,1,1,49,49,TC,25000,99000,15.78
MILLINI_L_TERM30,0,1,48,48,PP,301000,500000,3.56
MILLINI_L_TERM30,0,1,36,36,TC,100000,300000,4.06
MILLINI_L_TERM30,0,0,49,49,ST,100000,300000,3.34
MILLINI_L_TERM30,0,1,39,39,PP,301000,500000,1.92
MILLINI_L_TERM30,0,0,38,38,PP,301000,500000,0.87
MILLINI_L_TERM30,0,1,18,18,TF,100000,300000,2.38
MILLINI_L_TERM30,0,1,37,37,PF,301000,500000,2.08
MILLINI_L_TERM30,0,0,58,58,PF,25000,99000,7.12
MILLINI_L_TERM30,0,1,70,70,ST,100000,300000,42.61
MILLINI_L_TERM30,0,0,63,63,ST,301000,500000,6.32
MILLINI_L_TERM30,1,1,32,32,TC,25000,99000,7.05
MILLINI_L_TERM30,0,1,27,27,TC,301000,500000,1.98
MILLINI_L_TERM30,1,0,31,31,ST,25000,99000,3.20
MILLINI_L_TERM30,0,0,59,59,TC,25000,99000,10.69
MILLINI_L_TERM30,1,0,39,39,TF,25000,99000,5.06
MILLINI_L_TERM30,1,0,64,64,ST,25000,99000,17.39
MILLINI_L_TERM30,0,0,29,29,PF,100000,300000,1.17
MILLINI_L_TERM30,0,0,45,45,ST,100000,300000,2.73
