Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
MILLINI_L_WL,0,1,43,43,TC,25000,99000,18.61
MILLINI_L_WL,0,0,46,46,PP,25000,99000,8.56
MILLINI_L_WL,0,0,24,24,PP,25000,99000,3.92
MILLINI_L_WL,1,0,77,77,TF,25000,99000,149.29
MILLINI_L_WL,0,0,26,26,TC,25000,99000,6.92
MILLINI_L_WL,0,0,76,76,PF,25000,99000,72.15
MILLINI_L_WL,0,1,44,44,PP,25000,99000,11.67
MILLINI_L_WL,1,0,79,79,PF,25000,99000,111.75
MILLINI_L_WL,1,0,80,80,PF,25000,99000,120.11
MILLINI_L_WL,0,0,25,25,PF,25000,99000,4.71
MILLINI_L_WL,1,1,65,65,TC,25000,99000,61.73
MILLINI_L_WL,0,1,79,79,TC,25000,99000,209.74
MILLINI_L_WL,0,1,19,19,PF,25000,99000,5.58
MILLINI_L_WL,0,1,48,48,TC,25000,99000,22.76
MILLINI_L_WL,0,1,43,43,ST,25000,99000,14.89
MILLINI_L_WL,0,1,62,62,TC,25000,99000,46.07
MILLINI_L_WL,0,0,31,31,PF,25000,99000,5.62
MILLINI_L_WL,0,1,43,43,PF,25000,99000,13.03
MILLINI_L_WL,1,1,71,71,PF,25000,99000,66.66
MILLINI_L_WL,1,0,75,75,TC,25000,99000,111.80
MILLINI_L_WL,0,0,54,54,PF,25000,99000,14.18
MILLINI_L_WL,1,0,55,55,ST,25000,99000,20.20
MILLINI_L_WL,1,0,51,51,PP,25000,99000,12.38
MILLINI_L_WL,1,1,46,46,TF,25000,99000,26.65
MILLINI_L_WL,0,0,65,65,TF,25000,99000,38.12
MILLINI_L_WL,0,0,32,32,ST,25000,99000,6.69
MILLINI_L_WL,0,0,63,63,TF,25000,99000,34.31
MILLINI_L_WL,1,1,69,69,TC,25000,99000,74.28
MILLINI_L_WL,1,0,30,30,PF,25000,99000,6.16
MILLINI_L_WL,0,0,30,30,PF,25000,99000,5.39
MILLINI_L_WL,0,0,53,53,PF,25000,99000,13.50
MILLINI_L_WL,1,0,75,75,ST,25000,99000,89.44
MILLINI_L_WL,0,0,30,30,PP,25000,99000,4.62
MILLINI_L_WL,0,1,72,72,TC,25000,99000,99.75
MILLINI_L_WL,1,1,54,54,TC,25000,99000,35.36
MILLINI_L_WL,1,0,24,24,TC,25000,99000,7.41
MILLINI_L_WL,0,1,68,68,PP,25000,99000,37.65
MILLINI_L_WL,1,0,24,24,PP,25000,99000,4.45
MILLINI_L_WL,1,1,38,38,PP,25000,99000,10.23
MILLINI_L_WL,0,0,48,48,TF,25000,99000,16.86
MILLINI_L_WL,1,1,41,41,PP,25000,99000,11.53
MILLINI_L_WL,1,0,66,66,PP,25000,99000,26.16
MILLINI_L_WL,0,0,47,47,PP,25000,99000,8.87
MILLINI_L_WL,1,1,60,60,ST,25000,99000,36.84
MILLINI_L_WL,1,1,31,31,PP,25000,99000,7.77
MILLINI_L_WL,1,1,51,51,PF,25000,99000,21.02
MILLINI_L_WL,1,1,69,69,ST,25000,99000,59.42
MILLINI_L_WL,1,0,70,70,PF,25000,99000,36.40
MILLINI_L_WL,0,1,27,27,PF,25000,99000,7.06
MILLINI_L_WL,1,1,70,70,PP,25000,99000,46.45
MILLINI_L_WL,0,1,27,27,ST,25000,99000,8.07
MILLINI_L_WL,1,0,60,60,TC,25000,99000,31.03
MILLINI_L_WL,1,1,62,62,TF,25000,99000,57.55
MILLINI_L_WL,1,0,60,60,PF,25000,99000,21.72
MILLINI_L_WL,0,1,62,62,PF,25000,99000,32.25
MILLINI_L_WL,1,1,63,63,TC,25000,99000,55.46
MILLINI_L_WL,0,0,69,69,PF,25000,99000,29.10
MILLINI_L_WL,1,0,26,26,ST,25000,99000,6.30
MILLINI_L_WL,0,1,50,50,TF,25000,99000,26.86
MILLINI_L_WL,1,1,45,45,TF,25000,99000,25.55
MILLINI_L_WL,0,1,25,25,PP,25000,99000,5.70
MILLINI_L_WL,0,0,51,51,TF,25000,99000,19.10
MILLINI_L_WL,0,0,26,26,TF,25000,99000,7.61
MILLINI_L_WL,0,0,24,24,PF,25000,99000,4.57
MILLINI_L_WL,0,1,52,52,PP,25000,99000,16.58
MILLINI_L_WL,1,0,52,52,ST,25000,99000,17.43
MILLINI_L_WL,0,1,35,35,TC,25000,99000,13.56
MILLINI_L_WL,1,1,38,38,TC,25000,99000,17.04
MILLINI_L_WL,0,1,45,45,TF,25000,99000,22.30
MILLINI_L_WL,0,1,51,51,PP,25000,99000,15.61
MILLINI_L_WL,0,0,79,79,TF,25000,99000,146.24
MILLINI_L_WL,1,1,56,56,PF,25000,99000,27.25
MILLINI_L_WL,0,1,30,30,ST,25000,99000,8.79
MILLINI_L_WL,0,1,80,80,PF,25000,99000,157.82
MILLINI_L_WL,1,1,75,75,PP,25000,99000,99.87
MILLINI_L_WL,0,0,69,69,PP,25000,99000,24.95
MILLINI_L_WL,1,1,46,46,TC,25000,99000,24.23
MILLINI_L_WL,0,0,67,67,TC,25000,99000,38.12
MILLINI_L_WL,1,0,40,40,TF,25000,99000,14.08
MILLINI_L_WL,1,0,18,18,PF,25000,99000,4.50
MILLINI_L_WL,0,1,34,34,PP,25000,99000,7.83
MILLINI_L_WL,1,1,42,42,PP,25000,99000,12.13
MILLINI_L_WL,1,1,64,64,TC,25000,99000,58.60
MILLINI_L_WL,0,0,55,55,PF,25000,99000,14.85
MILLINI_L_WL,0,1,70,70,TC,25000,99000,68.32
MILLINI_L_WL,0,0,62,62,PP,25000,99000,17.69
MILLINI_L_WL,1,1,71,71,PP,25000,99000,57.14
MILLINI_L_WL,1,0,54,54,PP,25000,99000,14.46
MILLINI_L_WL,1,0,30,30,ST,25000,99000,7.04
MILLINI_L_WL,1,0,34,34,ST,25000,99000,8.31
MILLINI_L_WL,0,1,40,40,TC,25000,99000,16.13
MILLINI_L_WL,0,1,24,24,PP,25000,99000,5.53
MILLINI_L_WL,1,0,38,38,TF,25000,99000,13.19
MILLINI_L_WL,0,0,23,23,PP,25000,99000,3.81
MILLINI_L_WL,1,0,70,70,PP,25000,99000,31.20
MILLINI_L_WL,1,0,30,30,TF,25000,99000,9.68
MILLINI_L_WL,1,1,27,27,TC,25000,99000,11.39
MILLINI_L_WL,1,0,46,46,PF,25000,99000,11.76
MILLINI_L_WL,0,0,35,35,PF,25000,99000,6.55
MILLINI_L_WL,0,0,32,32,PP,25000,99000,5.02
MILLINI_L_WL,1,0,73,73,PF,25000,99000,61.51
MILLINI_L_WL,0,1,47,47,TC,25000,99000,21.93
MILLINI_L_WL,0,1,47,47,ST,25000,99000,17.54
MILLINI_L_WL,0,1,33,33,PF,25000,99000,8.77
MILLINI_L_WL,0,0,79,79,TC,25000,99000,132.95
MILLINI_L_WL,0,1,54,54,PP,25000,99000,18.51
MILLINI_L_WL,0,1,48,48,PP,25000,99000,13.66
MILLINI_L_WL,0,0,35,35,TC,25000,99000,9.36
MILLINI_L_WL,1,1,59,59,ST,25000,99000,35.41
MILLINI_L_WL,0,1,49,49,PP,25000,99000,14.15
MILLINI_L_WL,1,1,20,20,ST,25000,99000,7.29
MILLINI_L_WL,1,1,30,30,PP,25000,99000,7.42
MILLINI_L_WL,1,1,48,48,TC,25000,99000,26.23
MILLINI_L_WL,0,0,77,77,ST,25000,99000,90.42
MILLINI_L_WL,1,1,80,80,ST,25000,99000,204.37
MILLINI_L_WL,0,1,35,35,PP,25000,99000,8.13
MILLINI_L_WL,0,0,51,51,PP,25000,99000,10.42
MILLINI_L_WL,0,1,66,66,PF,25000,99000,40.03
MILLINI_L_WL,0,0,29,29,TF,25000,99000,8.25
MILLINI_L_WL,1,0,39,39,ST,25000,99000,9.91
MILLINI_L_WL,0,0,52,52,ST,25000,99000,14.66
MILLINI_L_WL,0,1,27,27,TF,25000,99000,11.10
MILLINI_L_WL,1,1,28,28,TC,25000,99000,11.72
MILLINI_L_WL,0,1,62,62,TF,25000,99000,50.68
MILLINI_L_WL,1,1,53,53,ST,25000,99000,26.87
MILLINI_L_WL,1,0,34,34,TF,25000,99000,11.43
MILLINI_L_WL,0,1,47,47,PF,25000,99000,15.35
MILLINI_L_WL,1,0,23,23,TC,25000,99000,7.18
MILLINI_L_WL,0,0,47,47,TC,25000,99000,14.79
MILLINI_L_WL,0,1,49,49,ST,25000,99000,18.87
MILLINI_L_WL,1,0,41,41,ST,25000,99000,10.77
MILLINI_L_WL,1,0,49,49,TC,25000,99000,18.82
MILLINI_L_WL,0,1,71,71,TF,25000,99000,92.44
MILLINI_L_WL,1,1,33,33,TF,25000,99000,15.53
MILLINI_L_WL,1,1,33,33,TC,25000,99000,14.12
MILLINI_L_WL,1,0,26,26,TC,25000,99000,7.87
MILLINI_L_WL,1,0,58,58,TC,25000,99000,28.72
MILLINI_L_WL,0,0,18,18,TC,25000,99000,5.70
MILLINI_L_WL,1,1,58,58,PP,25000,99000,25.49
MILLINI_L_WL,0,1,64,64,TC,25000,99000,51.63
MILLINI_L_WL,0,1,41,41,TF,25000,99000,18.66
MILLINI_L_WL,0,1,69,69,TF,25000,99000,72.09
MILLINI_L_WL,0,0,52,52,TC,25000,99000,18.33
MILLINI_L_WL,1,0,71,71,PF,25000,99000,44.77
MILLINI_L_WL,0,0,72,72,TC,25000,99000,63.23
MILLINI_L_WL,1,1,59,59,TC,25000,99000,44.26
MILLINI_L_WL,0,0,69,69,TF,25000,99000,45.73
MILLINI_L_WL,0,1,71,71,TC,25000,99000,84.03
MILLINI_L_WL,0,1,44,44,TC,25000,99000,19.44
MILLINI_L_WL,1,0,49,49,PF,25000,99000,13.18
MILLINI_L_WL,0,0,64,64,PF,25000,99000,23.05
MILLINI_L_WL,1,0,65,65,TC,25000,99000,41.51
MILLINI_L_WL,1,1,72,72,TC,25000,99000,113.03
MILLINI_L_WL,1,1,29,29,PF,25000,99000,8.42
MILLINI_L_WL,1,0,60,60,TF,25000,99000,34.13
MILLINI_L_WL,1,1,67,67,TF,25000,99000,74.80
MILLINI_L_WL,0,1,47,47,PP,25000,99000,13.16
MILLINI_L_WL,0,1,29,29,PF,25000,99000,7.48
MILLINI_L_WL,0,1,77,77,ST,25000,99000,142.65
MILLINI_L_WL,1,1,62,62,PF,25000,99000,36.62
MILLINI_L_WL,0,1,41,41,PF,25000,99000,11.87
MILLINI_L_WL,0,1,20,20,TF,25000,99000,8.81
MILLINI_L_WL,1,1,62,62,PP,25000,99000,31.39
MILLINI_L_WL,1,1,69,69,PF,25000,99000,51.99
MILLINI_L_WL,0,1,63,63,TF,25000,99000,53.73
MILLINI_L_WL,1,1,74,74,PP,25000,99000,89.18
MILLINI_L_WL,1,0,43,43,TF,25000,99000,16.28
MILLINI_L_WL,1,0,76,76,TC,25000,99000,123.76
MILLINI_L_WL,1,0,70,70,ST,25000,99000,41.60
MILLINI_L_WL,1,1,32,32,PP,25000,99000,8.13
MILLINI_L_WL,0,1,53,53,PF,25000,99000,20.47
MILLINI_L_WL,1,1,78,78,TF,25000,99000,241.84
MILLINI_L_WL,1,0,80,80,PP,25000,99000,102.96
MILLINI_L_WL,1,0,42,42,PF,25000,99000,9.89
MILLINI_L_WL,0,1,46,46,PF,25000,99000,14.77
MILLINI_L_WL,0,1,24,24,TF,25000,99000,10.12
MILLINI_L_WL,0,0,27,27,ST,25000,99000,5.69
MILLINI_L_WL,0,1,30,30,TC,25000,99000,10.99
MILLINI_L_WL,1,0,32,32,TC,25000,99000,9.59
MILLINI_L_WL,0,0,41,41,TF,25000,99000,12.72
MILLINI_L_WL,0,1,44,44,ST,25000,99000,15.55
MILLINI_L_WL,1,1,49,49,ST,25000,99000,21.79
MILLINI_L_WL,1,1,40,40,PP,25000,99000,10.93
MILLINI_L_WL,0,0,23,23,TC,25000,99000,6.34
MILLINI_L_WL,0,1,40,40,TF,25000,99000,17.74
MILLINI_L_WL,1,0,71,71,TF,25000,99000,70.36
MILLINI_L_WL,1,1,20,20,TF,25000,99000,10.03
MILLINI_L_WL,1,0,48,48,PP,25000,99000,10.89
MILLINI_L_WL,1,0,62,62,PF,25000,99000,24.66
MILLINI_L_WL,1,1,52,52,TC,25000,99000,31.80
MILLINI_L_WL,0,0,68,68,PP,25000,99000,23.91
MILLINI_L_WL,0,1,71,71,ST,25000,99000,67.23
MILLINI_L_WL,1,1,61,61,PF,25000,99000,34.42
MILLINI_L_WL,1,1,57,57,PP,25000,99000,24.42
MILLINI_L_WL,0,0,57,57,TC,25000,99000,23.13
MILLINI_L_WL,0,0,41,41,ST,25000,99000,9.26
MILLINI_L_WL,0,0,25,25,ST,25000,99000,5.38
MILLINI_L_WL,0,1,32,32,ST,25000,99000,9.61
MILLINI_L_WL,0,0,52,52,PP,25000,99000,11.00
MILLINI_L_WL,0,1,44,44,TF,25000,99000,21.39
MILLINI_L_WL,1,0,69,69,ST,25000,99000,39.92
MILLINI_L_WL,0,1,45,45,ST,25000,99000,16.22
