Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate,,,,Rate Basis Value,Zip
MOOMED_PlanA,1,1,1,64,ST,,,2109.25,,,,1,98501-98510
MOOMED_PlanA,0,1,1,64,ST,,,1898.33,,,,1,98501-98510
MOOMED_PlanA,1,0,1,64,ST,,,1687.4,,,,1,98501-98510
MOOMED_PlanA,0,0,1,64,ST,,,1518.66,,,,1,98501-98510
MOOMED_PlanA,1,1,65,69,ST,,,1320.42,,,,1,98501-98510
MOOMED_PlanA,0,1,65,69,ST,,,1188.38,,,,1,98501-98510
MOOMED_PlanA,1,0,65,69,ST,,,1056.34,,,,1,98501-98510
MOOMED_PlanA,0,0,65,69,ST,,,950.7,,,,1,98501-98510
MOOMED_PlanA,1,1,70,74,ST,,,1562.02,,,,1,98501-98510
MOOMED_PlanA,0,1,70,74,ST,,,1405.82,,,,1,98501-98510
MOOMED_PlanA,1,0,70,74,ST,,,1249.62,,,,1,98501-98510
MOOMED_PlanA,0,0,70,74,ST,,,1124.65,,,,1,98501-98510
MOOMED_PlanA,1,1,75,79,ST,,,1732,,,,1,98501-98510
MOOMED_PlanA,0,1,75,79,ST,,,1558.8,,,,1,98501-98510
MOOMED_PlanA,1,0,75,79,ST,,,1385.6,,,,1,98501-98510
MOOMED_PlanA,0,0,75,79,ST,,,1247.04,,,,1,98501-98510
MOOMED_PlanA,1,1,80,84,ST,,,1839.71,,,,1,98501-98510
MOOMED_PlanA,0,1,80,84,ST,,,1655.74,,,,1,98501-98510
MOOMED_PlanA,1,0,80,84,ST,,,1471.77,,,,1,98501-98510
MOOMED_PlanA,0,0,80,84,ST,,,1324.59,,,,1,98501-98510
MOOMED_PlanA,1,1,85,89,ST,,,1917.89,,,,1,98501-98510
MOOMED_PlanA,0,1,85,89,ST,,,1726.1,,,,1,98501-98510
MOOMED_PlanA,1,0,85,89,ST,,,1534.31,,,,1,98501-98510
MOOMED_PlanA,0,0,85,89,ST,,,1380.88,,,,1,98501-98510
MOOMED_PlanF,1,1,1,64,ST,,,3078.35,,,,1,98501-98510
MOOMED_PlanF,0,1,1,64,ST,,,2770.52,,,,1,98501-98510
MOOMED_PlanF,1,0,1,64,ST,,,2462.68,,,,1,98501-98510
MOOMED_PlanF,0,0,1,64,ST,,,2216.41,,,,1,98501-98510
MOOMED_PlanF,1,1,65,69,ST,,,1891.83,,,,1,98501-98510
MOOMED_PlanF,0,1,65,69,ST,,,1702.65,,,,1,98501-98510
MOOMED_PlanF,1,0,65,69,ST,,,1513.46,,,,1,98501-98510
MOOMED_PlanF,0,0,65,69,ST,,,1362.12,,,,1,98501-98510
